web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,Tag25,ODD_15+,ODD_15-,Tag15,ODD_35+,ODD_35-,Tag35,ODD_BthScore_Yes,ODD_BthScore_No,TagBS,ODD_1X,ODD_12,ODD_X2,Tag1X,Tag12,TagX2,Current_Date,SOdds
"1604264165-46","https://www.betano.pt/sport/futebol/escocia/premiership/1647r/","FC St Johnstone
              
                Kilmarnock FC","https://www.betano.pt/odds/fc-st-johnstone-kilmarnock-fc/6732449/","Premiership","Sexta-feira, 6 Novembro 2020 19:45","FC St Johnstone","Kilmarnock FC","2.18","3.00","3.25","2.02","1.53","Mais de2.5","1.33","2.52","Mais de1.5","3.45","1.16","Mais de3.5","1.75","1.72","Ambas Equipas Marcam (Sim/Não)","1.28","1.28","1.60","1X","12","2X","Domingo, 1 Novembro 2020 20:55","null"
"1604263804-4","https://www.betano.pt/sport/futebol/holanda/eredivisie/17067r/","Vitesse
              
                FC Emmen","https://www.betano.pt/odds/vitesse-fc-emmen/6742883/","Eredivisie","Domingo, 8 Novembro 2020 13:30","Vitesse","FC Emmen","1.45","4.35","6.15","1.47","2.11","Mais de2.5","1.13","3.75","Mais de1.5","2.20","1.44","Mais de3.5","1.60","1.91","Ambas Equipas Marcam (Sim/Não)","1.09","1.14","2.54","1X","12","2X","Domingo, 1 Novembro 2020 20:49","null"
"1604264355-68","https://www.betano.pt/sport/futebol/espanha/laliga/5/","Valência
              
                Getafe
                    AO VIVO","https://www.betano.pt/live/valencia-getafe/6828740/","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Domingo, 1 Novembro 2020 20:57","null"
"1604264558-92","https://www.betano.pt/sport/futebol/italia/serie-a/1635/","Sampdoria
              
                Génova
                    AO VIVO","https://www.betano.pt/live/sampdoria-genova/6850079/","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Domingo, 1 Novembro 2020 21:01","null"
"1604264325-64","https://www.betano.pt/sport/futebol/espanha/laliga/5/","Barcelona
              
                Bétis","https://www.betano.pt/odds/barcelona-betis/6903487/","LaLiga","Sábado, 7 Novembro 2020 15:15","Barcelona","Bétis","1.38","4.95","6.50","1.47","2.20","Mais de2.5","1.12","4.20","Mais de1.5","2.20","1.47","Mais de3.5","1.67","1.87","Ambas Equipas Marcam (Sim/Não)","1.08","1.11","2.80","1X","12","2X","Domingo, 1 Novembro 2020 20:57","null"
"1604263826-7","https://www.betano.pt/sport/futebol/holanda/eredivisie/17067r/","VVV Venlo
              
                Heracles Almelo","https://www.betano.pt/odds/vvv-venlo-heracles-almelo/6741232/","Eredivisie","Sábado, 7 Novembro 2020 17:45","VVV Venlo","Heracles Almelo","2.94","3.25","2.30","1.60","1.90","Mais de2.5","1.18","3.30","Mais de1.5","2.45","1.35","Mais de3.5","1.47","2.12","Ambas Equipas Marcam (Sim/Não)","1.53","1.25","1.35","1X","12","2X","Domingo, 1 Novembro 2020 20:49","null"
"1604263841-9","https://www.betano.pt/sport/futebol/holanda/eredivisie/17067r/","Fortuna Sittard
              
                PEC Zwolle","https://www.betano.pt/odds/fortuna-sittard-pec-zwolle/6732094/","Eredivisie","Sexta-feira, 6 Novembro 2020 19:00","Fortuna Sittard","PEC Zwolle","2.70","3.25","2.50","1.60","1.91","Mais de2.5","1.17","3.40","Mais de1.5","2.40","1.36","Mais de3.5","1.47","2.15","Ambas Equipas Marcam (Sim/Não)","1.47","1.24","1.42","1X","12","2X","Domingo, 1 Novembro 2020 20:49","null"
"1604264061-34","https://www.betano.pt/sport/futebol/inglaterra/championship/2r/","Derby County
              
                Queens Park Rangers","https://www.betano.pt/odds/derby-county-queens-park-rangers/6713848/","Championship","Quarta-feira, 4 Novembro 2020 19:45","Derby County","Queens Park Rangers","2.25","3.15","2.92","1.87","1.63","Mais de2.5","1.27","2.76","Mais de1.5","3.10","1.21","Mais de3.5","1.65","1.83","Ambas Equipas Marcam (Sim/Não)","1.35","1.25","1.53","1X","12","2X","Domingo, 1 Novembro 2020 20:53","null"
"1604264409-74","https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/","Famalicão
              
                CS Marítimo","https://www.betano.pt/odds/famalicao-cs-maritimo/6930465/","Primeira Liga","Sábado, 7 Novembro 2020 18:00","Famalicão","CS Marítimo","2.37","3.15","2.94","1.67","1.80","Mais de2.5","1.20","3.15","Mais de1.5","2.62","1.30","Mais de3.5","1.53","2.04","Ambas Equipas Marcam (Sim/Não)","1.35","1.26","1.50","1X","12","2X","Domingo, 1 Novembro 2020 20:59","null"
"1604263968-23","https://www.betano.pt/sport/futebol/franca/ligue-1/215r/","Nimes
              
                Angers","https://www.betano.pt/odds/nimes-angers/6751310/","Ligue 1","Domingo, 8 Novembro 2020 14:00","Nimes","Angers","2.86","3.15","2.40","1.95","1.57","Mais de2.5","1.30","2.62","Mais de1.5","3.30","1.18","Mais de3.5","1.72","1.75","Ambas Equipas Marcam (Sim/Não)","1.50","1.26","1.36","1X","12","2X","Domingo, 1 Novembro 2020 20:52","null"
