,web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,Tag25,ODD_15+,ODD_15-,Tag15,ODD_35+,ODD_35-,Tag35,ODD_BthScore_Yes,ODD_BthScore_No,TagBS,ODD_1X,ODD_12,ODD_X2,Tag1X,Tag12,TagX2,Current_Date,SOdds
71,1601466318-24,https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/,"Mainz 05
              
                Bayer Leverkusen",https://www.betano.pt/odds/mainz-05-bayer-leverkusen/6632980/,Bundesliga,"Sábado, 17 Outubro 2020 14:30",Mainz 05,Bayer Leverkusen,4.55,3.9,1.65,1.95,1.63,Mais de3.5,1.1,4.55,Mais de1.5,1.38,2.45,Mais de2.5,1.4,2.4,Ambas Equipas Marcam (Sim/Não),2.10,1.18,1.16,1X,12.0,2X,"Quarta-feira, 30 Setembro 2020 12:44",
72,1601466497-43,https://www.betano.pt/sport/futebol/franca/ligue-1/215r/,"Montpellier
              
                Nimes",https://www.betano.pt/odds/montpellier-nimes/6422092/,Ligue 1,"Domingo, 4 Outubro 2020 12:00",Montpellier,Nimes,1.67,3.65,4.85,1.75,1.72,Mais de2.5,1.23,2.96,Mais de1.5,2.82,1.26,Mais de3.5,1.7,1.78,Ambas Equipas Marcam (Sim/Não),1.14,1.2,2.05,1X,12.0,2X,"Quarta-feira, 30 Setembro 2020 12:47",
73,1601467313-130,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Inter de Milão
              
                AC Milão",https://www.betano.pt/odds/inter-de-milao-ac-milao/6650712/,Série A,"Sábado, 17 Outubro 2020 17:00",Inter de Milão,AC Milão,1.83,3.65,3.85,1.65,1.91,Mais de2.5,1.19,3.45,Mais de1.5,2.62,1.33,Mais de3.5,1.6,2.0,Ambas Equipas Marcam (Sim/Não),1.22,1.21,1.88,1X,12.0,2X,"Quarta-feira, 30 Setembro 2020 13:00",
74,1601467108-108,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,"CS Marítimo
              
                Portimonense",https://www.betano.pt/odds/cs-maritimo-portimonense/6644922/,Primeira Liga,"Terça-feira, 20 Outubro 2020 20:00",CS Marítimo,Portimonense,2.3,3.15,3.05,2.05,1.5,Mais de2.5,1.35,2.45,Mais de1.5,3.65,1.14,Mais de3.5,1.8,1.67,Ambas Equipas Marcam (Sim/Não),1.33,1.27,1.55,1X,12.0,2X,"Quarta-feira, 30 Setembro 2020 12:57",
75,1601466116-2,https://www.betano.pt/sport/futebol/holanda/eredivisie/17067r/,"PEC Zwolle
              
                PSV Eindhoven",https://www.betano.pt/odds/pec-zwolle-psv-eindhoven/6549969/,Eredivisie,"Domingo, 18 Outubro 2020 15:45",PEC Zwolle,PSV Eindhoven,6.75,4.35,1.42,2.45,1.04,1X,,,,,,,,,,,,,,,,"Quarta-feira, 30 Setembro 2020 12:41",
76,1601466685-64,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Rotherham
              
                Huddersfield",https://www.betano.pt/odds/rotherham-huddersfield/6411310/,Championship,"Sábado, 3 Outubro 2020 15:00",Rotherham,Huddersfield,2.4,3.0,3.05,2.05,1.5,Mais de2.5,1.35,2.45,Mais de1.5,3.55,1.15,Mais de3.5,1.75,1.72,Ambas Equipas Marcam (Sim/Não),1.33,1.28,1.5,1X,12.0,2X,"Quarta-feira, 30 Setembro 2020 12:48",
77,1601467464-146,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Leeds United
              
                Wolverhampton",https://www.betano.pt/odds/leeds-united-wolverhampton/6493467/,Premier League,"Sábado, 17 Outubro 2020 16:00",Leeds United,Wolverhampton,2.74,3.25,2.45,2.00,1.6,Mais de2.5,1.31,2.72,Mais de1.5,3.45,1.19,Mais de3.5,1.75,1.8,Ambas Equipas Marcam (Sim/Não),1.47,1.27,1.4,1X,12.0,2X,"Quarta-feira, 30 Setembro 2020 13:03",
78,1601467021-99,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"Sevilha
              
                Levante",https://www.betano.pt/odds/sevilha-levante/6567512/,LaLiga,"Quinta-feira, 1 Outubro 2020 18:00",Sevilha,Levante,1.45,4.25,6.55,1.55,2.05,Mais de2.5,1.16,3.7,Mais de1.5,2.37,1.42,Mais de3.5,1.67,1.87,Ambas Equipas Marcam (Sim/Não),1.07,1.16,2.56,1X,12.0,2X,"Quarta-feira, 30 Setembro 2020 12:55",
79,1601466211-13,https://www.betano.pt/sport/futebol/holanda/eredivisie/17067r/,"FC Groningen
              
                Ajax",https://www.betano.pt/odds/fc-groningen-ajax/6418630/,Eredivisie,"Domingo, 4 Outubro 2020 11:15",FC Groningen,Ajax,6.25,4.75,1.4,2.00,1.53,Mais de3.5,1.09,4.33,Mais de1.5,1.38,2.35,Mais de2.5,1.53,2.0,Ambas Equipas Marcam (Sim/Não),2.70,1.11,1.08,1X,12.0,2X,"Quarta-feira, 30 Setembro 2020 12:41",
80,1601466703-66,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Nottingham Forest
              
                Bristol City",https://www.betano.pt/odds/nottingham-forest-bristol-city/6411304/,Championship,"Sábado, 3 Outubro 2020 15:00",Nottingham Forest,Bristol City,2.4,3.2,2.86,2.02,1.53,Mais de2.5,1.32,2.54,Mais de1.5,3.5,1.16,Mais de3.5,1.78,1.7,Ambas Equipas Marcam (Sim/Não),1.36,1.26,1.5,1X,12.0,2X,"Quarta-feira, 30 Setembro 2020 12:48",
