AAD,ABS,ACCC,ACorn,AF,AOff,AP,APass,AR,AS,ASOT,AST,ASaves,AT,ATack,AY,Attendance,Date,FTAG,FTHG,GameID,HAD,HBS,HCCC,HCorn,HF,HOff,HP,HPass,HR,HS,HSOT,HST,HSaves,HT,HTack,HY,League
57.9,3,1,5,10,1,49.8,77.4,2,13,8,2,7,VVV-Venlo,57.9,1,"6,500.","7:00pm, Saturday 26th September 2020.",0,1,431763,42.1,1,0,8,13,1,50.2,81.7,0,16,7,8,2,Heerenveen,38.5,1, Dutch Eredivisie
57.9,1,1,3,4,3,64.4,82.2,0,11,5,5,4,Groningen,60.0,1,"8,000.","7:00pm, Friday 25th September 2020.",1,3,431759,42.1,0,3,1,11,3,35.6,67.1,0,7,0,7,4,FC Twente,75.0,0, Dutch Eredivisie
51.9,3,0,5,10,0,31.3,72.1,1,9,4,2,4,Sparta Rotterdam,52.6,1,"2,933.","3:30pm, Saturday 26th September 2020.",0,4,431762,48.1,7,1,9,12,3,68.7,87.2,0,20,5,8,2,PEC Zwolle,73.3,1, Dutch Eredivisie
51.9,2,2,8,11,1,57.0,80.9,0,12,4,6,0,Groningen,64.3,1,"3,378.","11:15am, Sunday 20th September 2020.",1,0,431755,48.1,3,0,3,12,0,43.0,71.4,0,6,3,0,5,ADO Den Haag,60.7,1, Dutch Eredivisie
42.2,4,2,7,7,1,45.6,79.1,0,14,8,2,1,Willem II,50.0,1,"2,312.","3:45pm, Sunday 27th September 2020.",1,1,431764,57.8,3,1,3,14,3,54.4,80.5,1,10,5,2,1,Emmen,50.0,1, Dutch Eredivisie
62.2,4,0,2,11,1,56.8,73.0,0,9,3,2,1,PSV Eindhoven,100.0,2,"3,083.","3:45pm, Sunday 27th September 2020.",1,1,431767,37.8,3,0,4,16,5,43.2,68.5,0,9,4,2,1,Heracles Almelo,69.2,4, Dutch Eredivisie
46.7,3,0,1,14,1,47.6,84.6,0,12,5,4,4,RKC Waalwijk,83.3,0,"4,944.","1:30pm, Sunday 27th September 2020.",1,3,431765,53.3,1,3,6,7,3,52.4,84.6,0,12,4,7,2,FC Utrecht,64.0,0, Dutch Eredivisie
35.7,1,1,4,11,0,36.7,68.0,0,10,4,5,8,ADO Den Haag,75.0,1,"13,000.","11:15am, Sunday 27th September 2020.",2,4,431766,64.3,6,4,10,10,0,63.3,81.0,0,24,6,12,3,Feyenoord,66.7,2, Dutch Eredivisie
52.6,2,2,8,13,3,53.6,82.4,0,12,6,4,2,AZ Alkmaar,44.4,1,"3,000.","5:45pm, Saturday 26th September 2020.",3,3,431761,47.4,4,2,5,9,0,46.4,77.7,0,13,4,5,1,Fortuna Sittard,62.5,2, Dutch Eredivisie
40.7,2,0,2,14,0,40.1,77.1,1,10,5,3,4,Heerenveen,66.7,0,,"7:00pm, Friday 2nd October 2020.",1,1,431768,59.3,18,1,16,7,3,59.9,85.0,0,38,14,6,2,FC Utrecht,61.1,1, Dutch Eredivisie
36.7,3,0,4,12,0,55.4,75.3,0,12,7,2,1,Kilmarnock,57.1,1,,"3:00pm, Saturday 1st August 2020.",1,2,425567,63.3,2,2,5,13,1,44.6,66.2,0,11,6,3,2,Hibernian,81.8,1, Scottish Premiership
50.0,1,0,3,8,4,39.0,59.4,1,9,4,4,3,St. Johnstone,52.6,2,,"3:00pm, Saturday 1st August 2020.",1,1,425566,50.0,8,1,3,12,3,61.0,76.1,0,16,4,4,3,Dundee United,72.2,1, Scottish Premiership
53.5,5,2,6,14,2,60.1,85.3,0,15,6,4,0,Rangers,50.0,0,,"12:30pm, Saturday 1st August 2020.",1,0,425565,46.5,1,0,2,18,1,39.9,74.7,1,4,3,0,2,Aberdeen,77.8,1, Scottish Premiership
50.0,2,2,1,15,0,61.0,71.8,0,10,2,6,4,Ross County,53.3,1,,"3:00pm, Saturday 8th August 2020.",1,0,425571,50.0,2,0,9,14,3,39.0,51.2,0,9,3,4,5,Hamilton Academical,52.2,0, Scottish Premiership
59.2,6,1,4,11,1,47.5,56.9,0,18,4,8,2,Hibernian,63.6,1,,"3:00pm, Saturday 8th August 2020.",4,1,425572,40.8,4,0,5,17,0,52.5,61.0,0,12,5,3,4,Livingston,69.2,1, Scottish Premiership
42.3,2,1,8,12,0,39.9,60.8,0,11,6,3,4,Dundee United,81.3,0,,"3:00pm, Saturday 8th August 2020.",1,0,425573,57.7,7,1,7,11,4,60.1,79.0,0,18,7,4,2,Motherwell,87.5,2, Scottish Premiership
40.7,1,0,1,8,2,26.5,66.9,0,4,1,2,10,St Mirren,52.2,2,,"3:00pm, Sunday 9th August 2020.",0,3,425574,59.3,8,1,14,9,0,73.5,90.3,0,28,8,12,2,Rangers,55.6,0, Scottish Premiership
53.8,4,1,3,11,2,47.3,74.9,0,12,3,5,3,Kilmarnock,66.7,2,,"7:45pm, Wednesday 12th August 2020.",2,2,425581,46.2,3,2,3,18,2,52.7,78.7,0,14,6,5,3,Ross County,33.3,3, Scottish Premiership
58.7,6,2,8,12,3,59.8,82.2,1,15,8,1,2,Motherwell,66.7,1,,"7:45pm, Monday 3rd August 2020.",0,1,425570,41.3,3,0,5,24,1,40.2,67.3,0,9,3,3,1,Ross County,81.3,3, Scottish Premiership
40.6,7,0,2,14,2,69.8,86.6,0,17,8,2,1,Celtic,66.7,1,,"4:30pm, Sunday 9th August 2020.",1,1,425576,59.4,1,0,1,13,1,30.2,57.3,0,6,4,1,1,Kilmarnock,63.6,2, Scottish Premiership
39.5,1,0,8,8,2,19.3,54.5,0,7,5,1,9,Hamilton Academical,37.0,3,,"4:30pm, Sunday 2nd August 2020.",1,5,425569,60.5,6,6,11,9,0,80.7,88.0,0,25,4,15,1,Celtic,85.7,1, Scottish Premiership
60.7,1,0,3,13,3,46.7,66.5,0,8,4,3,1,Hibernian,65.0,2,,"6:00pm, Tuesday 11th August 2020.",1,0,425577,39.3,3,1,7,16,1,53.3,72.7,0,10,6,1,2,Dundee United,55.6,3, Scottish Premiership
35.0,1,1,2,10,0,24.8,69.3,0,4,1,2,2,St. Johnstone,42.1,2,,"7:45pm, Wednesday 12th August 2020.",0,3,425580,65.0,2,2,6,10,1,75.2,90.1,0,15,8,5,2,Rangers,55.6,0, Scottish Premiership
48.8,4,0,6,18,1,53.9,59.3,0,15,6,5,0,Livingston,44.4,1,,"7:45pm, Wednesday 12th August 2020.",2,2,425579,51.2,2,0,4,13,1,46.1,56.8,0,9,4,3,4,Motherwell,64.7,2, Scottish Premiership
44.4,6,0,10,17,2,57.0,75.5,0,17,9,2,2,Motherwell,70.0,1,,"5:30pm, Saturday 15th August 2020.",0,0,425585,55.6,5,2,6,10,0,43.0,62.8,0,12,5,2,2,Hibernian,44.4,0, Scottish Premiership
50.9,2,1,1,9,2,54.2,71.7,0,17,10,5,3,St. Johnstone,83.3,2,,"3:00pm, Saturday 15th August 2020.",2,1,425586,49.1,3,1,11,10,2,45.8,68.9,1,11,4,4,3,Kilmarnock,50.0,1, Scottish Premiership
60.0,3,1,7,13,2,47.5,72.9,0,13,6,4,1,Dundee United,64.7,1,,"3:00pm, Saturday 15th August 2020.",2,1,425587,40.0,3,2,5,13,2,52.5,72.2,0,12,7,2,2,Ross County,58.8,2, Scottish Premiership
43.7,8,1,9,12,2,45.2,55.4,0,19,4,7,5,St Mirren,76.9,3,,"3:00pm, Saturday 15th August 2020.",1,0,425584,56.3,2,0,2,6,1,54.8,62.2,0,12,5,5,6,Hamilton Academical,46.7,0, Scottish Premiership
61.1,10,0,9,7,1,78.5,84.5,0,23,10,3,1,Rangers,57.1,1,,"4:30pm, Sunday 16th August 2020.",0,0,425588,38.9,0,0,0,10,0,21.5,44.6,0,2,1,1,3,Livingston,68.0,0, Scottish Premiership
54.8,7,2,4,12,1,62.8,73.3,0,18,9,2,5,Ross County,53.8,2,,"3:00pm, Saturday 22nd August 2020.",1,1,425593,45.2,3,1,3,11,3,37.2,58.8,1,12,3,6,1,St Mirren,75.0,0, Scottish Premiership
54.8,1,0,2,10,1,24.8,61.6,0,2,1,0,7,Kilmarnock,63.6,1,,"3:00pm, Saturday 22nd August 2020.",0,2,425592,45.2,4,4,9,18,1,75.2,87.2,0,26,12,10,0,Rangers,75.0,1, Scottish Premiership
59.5,4,2,10,10,0,64.2,82.9,0,23,10,9,1,Celtic,60.0,2,,"5:30pm, Saturday 22nd August 2020.",1,0,425590,40.5,3,0,6,18,1,35.8,68.3,0,7,3,1,9,Dundee United,78.9,2, Scottish Premiership
46.3,1,0,1,13,0,54.5,73.5,0,6,2,3,1,Aberdeen,88.9,3,,"7:30pm, Thursday 20th August 2020.",1,0,425575,53.7,6,0,5,17,3,45.5,69.3,0,11,4,1,2,St. Johnstone,78.6,1, Scottish Premiership
48.3,4,2,5,12,0,32.3,57.0,0,8,2,2,4,Hamilton Academical,68.2,1,,"3:00pm, Saturday 22nd August 2020.",1,0,425591,51.7,9,0,13,17,1,67.7,81.2,0,17,4,4,1,Motherwell,53.3,2, Scottish Premiership
60.9,1,0,3,18,0,45.4,67.3,0,5,2,2,1,Ross County,57.1,3,,"3:00pm, Saturday 19th September 2020.",1,0,425612,39.1,5,0,9,15,2,54.6,68.9,0,11,5,1,1,St. Johnstone,62.5,2, Scottish Premiership
51.7,3,1,4,14,1,53.6,73.2,0,10,4,3,1,Hibernian,69.2,2,,"4:30pm, Sunday 23rd August 2020.",1,0,425594,48.3,3,0,5,16,1,46.4,65.9,1,11,7,1,2,St. Johnstone,63.6,2, Scottish Premiership
55.6,2,1,1,11,2,28.3,57.5,0,7,2,3,3,Livingston,50.0,1,,"3:00pm, Saturday 19th September 2020.",2,3,425608,44.4,5,2,3,8,2,71.7,86.5,0,17,6,6,1,Celtic,57.1,1, Scottish Premiership
58.8,1,1,6,12,2,56.0,75.3,0,5,1,3,0,Kilmarnock,62.5,0,,"3:00pm, Saturday 26th September 2020.",1,0,425618,41.2,1,0,5,16,1,44.0,68.1,0,6,5,0,2,St Mirren,42.9,5, Scottish Premiership
54.1,4,1,5,15,4,34.0,61.7,0,9,2,3,0,Motherwell,86.7,0,,"3:00pm, Sunday 20th September 2020.",3,0,425607,45.9,3,1,4,13,1,66.0,79.4,0,9,6,0,0,Aberdeen,40.0,3, Scottish Premiership
52.9,4,1,4,13,1,41.9,61.6,1,16,8,4,6,St Mirren,50.0,1,,"3:00pm, Saturday 19th September 2020.",1,2,425609,47.1,2,3,8,11,3,58.1,72.8,0,17,7,8,3,Dundee United,79.2,3, Scottish Premiership
44.4,8,5,5,14,2,69.2,86.2,0,19,4,7,3,Rangers,66.7,1,,"12:00pm, Sunday 20th September 2020.",2,2,425610,55.6,1,1,6,17,2,30.8,67.4,0,7,1,5,5,Hibernian,66.7,4, Scottish Premiership
55.0,5,0,8,12,1,55.8,79.5,0,15,6,4,6,Hamilton Academical,53.8,3,,"3:00pm, Saturday 19th September 2020.",1,2,425611,45.0,6,1,6,10,3,44.2,69.8,1,17,3,8,3,Kilmarnock,78.6,1, Scottish Premiership
53.3,6,3,5,18,3,51.9,64.4,0,12,4,2,0,Dundee United,71.4,1,,"3:00pm, Saturday 26th September 2020.",1,1,425614,46.7,4,1,7,18,5,48.1,56.2,0,12,7,1,1,Hamilton Academical,80.0,4, Scottish Premiership
65.9,2,1,7,11,1,49.7,60.3,0,13,9,2,0,St. Johnstone,64.3,0,,"3:00pm, Saturday 26th September 2020.",0,2,425615,34.1,3,0,8,18,2,50.3,59.5,0,8,3,2,1,Livingston,70.6,2, Scottish Premiership
40.0,2,0,5,11,0,35.1,78.1,0,9,7,0,6,Hibernian,57.1,2,,"3:00pm, Sunday 27th September 2020.",0,3,425613,60.0,5,1,6,9,0,64.9,89.4,0,20,6,9,0,Celtic,72.7,0, Scottish Premiership
31.3,3,0,2,12,0,43.1,74.4,0,8,1,4,6,Hamilton Academical,64.7,2,,"7:45pm, Friday 2nd October 2020.",2,3,425621,68.8,5,4,7,10,3,56.9,81.5,0,18,4,9,3,Hibernian,100.0,1, Scottish Premiership
51.6,7,1,6,14,3,54.1,84.9,0,18,3,8,0,Aberdeen,64.3,0,,"3:00pm, Sunday 27th September 2020.",3,0,425617,48.4,5,0,2,16,2,45.9,77.6,1,8,3,0,5,Ross County,66.7,2, Scottish Premiership
34.5,3,1,4,8,0,56.1,84.1,0,15,3,9,1,Rangers,52.4,0,,"12:00pm, Sunday 27th September 2020.",5,1,425616,65.5,6,0,7,14,0,43.9,80.3,0,8,1,1,4,Motherwell,46.2,1, Scottish Premiership
51.4,3,5,11,10,6,56.5,59.6,0,14,5,6,0,Livingston,100.0,0,,"7:45pm, Friday 2nd October 2020.",2,1,425620,48.6,0,0,3,15,0,43.5,48.9,0,1,0,1,4,Dundee United,100.0,0, Scottish Premiership
