AAD,ABS,ACCC,ACorn,AF,AOff,AP,APass,AR,AS,ASOT,AST,ASaves,AT,ATack,AY,Attendance,Date,FTAG,FTHG,GameID,HAD,HBS,HCCC,HCorn,HF,HOff,HP,HPass,HR,HS,HSOT,HST,HSaves,HT,HTack,HY,League
61.5,6,3,7,16,0,69.1,87.8,0,19,9,4,0,Atalanta,69.2,1,"24,413.","2:00pm, Sunday 9th December 2018.",3,1,399980,38.5,2,1,2,16,5,30.9,73,0,7,4,1,1,Udinese,53.6,1, Italian Serie A
55.9,5,0,7,9,6,55.2,78.1,0,16,9,2,1,Lazio,70.8,4,"17,401.","7:30pm, Monday 17th December 2018.",0,1,399981,44.1,2,0,8,9,5,44.8,71.7,0,8,4,2,2,Atalanta,68.2,2, Italian Serie A
44.1,6,0,1,12,1,71.5,88.6,1,18,8,4,5,AC Milan,76.5,3,"22,214.","7:30pm, Tuesday 18th December 2018.",0,0,399982,55.9,3,0,2,12,4,28.5,73.6,0,9,1,5,4,Bologna,50,2, Italian Serie A
66,3,0,10,15,3,61.4,82.9,0,18,10,5,2,Napoli,60,2,"15,081.","5:00pm, Sunday 16th December 2018.",1,0,399983,34,4,1,2,15,1,38.6,72.4,0,10,4,2,4,Cagliari,64.3,2, Italian Serie A
50,3,1,3,20,0,40.2,74.4,0,11,4,4,5,Empoli,60,1,"28,918.","2:00pm, Sunday 16th December 2018.",1,3,399984,50,3,1,2,20,3,59.8,83.2,0,21,10,8,3,Fiorentina,66.7,2, Italian Serie A
40.6,6,1,5,17,1,65,87.8,0,21,13,2,3,Sassuolo,53.3,2,"12,377.","2:00pm, Sunday 16th December 2018.",2,0,399985,59.4,3,0,6,17,2,35,75.4,0,14,8,3,1,Frosinone,52.9,3, Italian Serie A
43.8,0,0,0,11,1,35.4,79.4,0,7,6,1,4,Udinese,64.7,1,"57,025.","5:00pm, Saturday 15th December 2018.",0,1,399986,56.3,7,1,10,11,1,64.6,87.7,0,22,11,4,1,Inter Milan,65.2,3, Italian Serie A
39.5,2,1,4,10,9,44.9,74.4,0,15,4,9,3,Genoa,70.6,2,"29,111.","7:30pm, Sunday 16th December 2018.",2,3,399987,60.5,3,1,6,10,0,55.1,80.5,0,16,7,6,7,Roma,68.8,2, Italian Serie A
58.1,0,1,4,13,4,41.5,76.2,0,9,5,4,1,Chievo,63.6,4,"11,882.","11:30am, Sunday 16th December 2018.",0,0,399988,41.9,7,0,6,13,1,58.5,83.5,0,15,7,1,3,Spal,50,2, Italian Serie A
45.5,3,1,4,10,2,28.9,69.1,0,5,2,0,5,Parma,31.6,1,"19,000.","2:00pm, Sunday 16th December 2018.",0,2,399989,54.5,2,3,8,10,1,71.1,88.5,0,13,4,7,0,Sampdoria,92.3,2, Italian Serie A
47.5,3,0,5,17,3,57.8,75.8,0,12,5,4,3,Juventus,61.5,4,"26,588.","7:30pm, Saturday 15th December 2018.",1,0,399990,52.5,6,1,7,17,2,42.2,68.6,0,10,1,3,4,Torino,61.5,2, Italian Serie A
48.5,3,4,7,10,3,62.8,83.3,0,12,6,3,2,Inter Milan,58.3,2,"15,200.","5:00pm, Saturday 22nd December 2018.",1,1,399991,51.5,2,1,5,10,2,37.2,76.3,0,9,4,3,2,Chievo,50,3, Italian Serie A
78.9,2,3,5,16,6,70.7,89.6,0,16,3,11,1,Sampdoria,50,4,"8,815.","2:00pm, Saturday 22nd December 2018.",4,2,399992,21.1,3,1,8,16,4,29.3,72.6,0,10,4,3,7,Empoli,50,3, Italian Serie A
56,1,0,6,14,2,62.6,77.1,2,13,7,5,3,Atalanta,69.2,0,"19,841.","2:00pm, Saturday 22nd December 2018.",1,3,399993,44,6,1,9,14,0,37.4,67,0,19,8,5,4,Genoa,42.9,3, Italian Serie A
41.9,2,0,2,9,1,49.5,82.5,0,7,1,4,5,Roma,55.6,3,"40,069.","7:30pm, Saturday 22nd December 2018.",0,1,399994,58.1,3,3,13,9,2,50.5,83.1,0,20,11,6,4,Juventus,56.5,0, Italian Serie A
50,3,1,5,17,0,49.9,81.6,0,11,3,5,7,Cagliari,72.7,1,"30,000.","11:30am, Saturday 22nd December 2018.",1,3,399995,50,5,3,7,17,1,50.1,84,0,24,9,10,4,Lazio,56.3,2, Italian Serie A
68.4,1,0,7,12,0,45,79.2,0,8,6,1,5,Fiorentina,81,4,"52,592.","2:00pm, Saturday 22nd December 2018.",1,0,399996,31.6,3,0,9,12,2,55,81.8,0,13,4,6,0,AC Milan,50,3, Italian Serie A
43.8,1,1,5,13,4,38.2,83.8,0,11,4,6,4,Spal,83.3,2,"37,093.","2:00pm, Saturday 22nd December 2018.",0,1,399997,56.3,10,3,3,13,4,61.8,88.6,0,24,9,5,6,Napoli,66.7,2, Italian Serie A
44.2,2,0,2,8,2,37.5,69.9,0,9,6,1,0,Bologna,73.9,3,"15,058.","5:00pm, Saturday 22nd December 2018.",0,0,399998,55.8,5,1,4,8,3,62.5,82.4,0,13,8,0,1,Parma,64.3,3, Italian Serie A
37.8,2,0,2,13,10,40.7,73.3,0,6,2,2,4,Torino,29.2,3,"11,148.","2:00pm, Saturday 22nd December 2018.",1,1,399999,62.2,8,3,12,13,5,59.3,79.3,0,20,7,5,1,Sassuolo,78.6,2, Italian Serie A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
