web-scraper-order,web-scraper-start-url,Games,Games-href,HomeTeam,AwayTeam,League,Date,HGoals,AGoals,HxG,AxG,HShots,AShots,HST,AST,HDEEP,ADEEP,HPPDA,APPDA,HxPTS,AxPTS
"1595328318-821","https://understat.com/league/Bundesliga","000.501.19","https://understat.com/match/12650","Augsburg","Paderborn","Bundesliga","May 27 2020","0","0","0.50","1.19","12","15","2","2","4","0","12.50","23.25","0.69","2.01"
"1595328505-893","https://understat.com/league/EPL","121.651.63","https://understat.com/match/11654","Aston Villa","Bournemouth","EPL","Aug 17 2019","1","2","1.65","1.63","22","12","7","4","12","9","13.00","10.72","1.37","1.36"
"1595328475-879","https://understat.com/league/EPL","312.570.64","https://understat.com/match/11649","Tottenham","Aston Villa","EPL","Aug 10 2019","3","1","2.57","0.64","31","7","7","4","15","2","5.25","13.42","2.59","0.28"
"1595328883-1071","https://understat.com/league/EPL","020.860.98","https://understat.com/match/11825","Chelsea","Southampton","EPL","Dec 26 2019","0","2","0.86","0.98","10","5","3","3","10","2","5.11","12.54","1.19","1.47"
"1595329759-1463","https://understat.com/league/La_liga","211.381.14","https://understat.com/match/12252","Celta Vigo","Sevilla","La liga","Feb 09 2020","2","1","1.38","1.14","13","11","7","4","9","5","9.30","7.86","1.55","1.17"
"1595329645-1409","https://understat.com/league/La_liga","121.210.92","https://understat.com/match/12189","Granada","Levante","La liga","Dec 14 2019","1","2","1.21","0.92","18","13","4","6","4","8","7.00","5.86","1.57","1.13"
"1595329329-1263","https://understat.com/league/La_liga","321.810.85","https://understat.com/match/12051","Atletico Madrid","Eibar","La liga","Sep 01 2019","3","2","1.81","0.85","7","6","3","2","7","3","7.43","10.44","2.23","0.53"
"1595329504-1343","https://understat.com/league/La_liga","010.130.39","https://understat.com/match/12133","Celta Vigo","Getafe","La liga","Nov 03 2019","0","1","0.13","0.39","6","9","2","5","3","5","7.75","7.31","0.87","1.52"
"1595327253-336","https://understat.com/league/Serie_A","121.630.77","https://understat.com/match/13179","Brescia","Inter","Serie A","Oct 29 2019","1","2","1.63","0.77","15","13","6","2","8","7","16.39","6.75","2.16","0.60"
"1595328924-1090","https://understat.com/league/EPL","102.031.53","https://understat.com/match/11860","Everton","Brighton","EPL","Jan 11 2020","1","0","2.03","1.53","14","9","6","2","10","6","8.69","17.44","1.72","1.03"
"1595326828-152","https://understat.com/league/RFPL","122.140.95","https://understat.com/match/11181","PFC Sochi","Arsenal Tula","RFPL","Mar 01 2020","1","2","2.14","0.95","13","5","8","2","5","1","9.92","15.00","2.32","0.46"
"1595329168-1202","https://understat.com/league/EPL","401.760.15","https://understat.com/match/11953","Arsenal","Norwich","EPL","Jul 01 2020","4","0","1.76","0.15","13","8","8","2","6","2","11.50","21.67","2.63","0.22"
"1595328322-823","https://understat.com/league/Bundesliga","311.262.25","https://understat.com/match/12648","Hoffenheim","FC Cologne","Bundesliga","May 27 2020","3","1","1.26","2.25","8","17","6","6","5","8","20.86","17.19","0.68","2.11"
"1595328469-876","https://understat.com/league/EPL","402.371.10","https://understat.com/match/11652","Manchester United","Chelsea","EPL","Aug 11 2019","4","0","2.37","1.10","11","18","5","7","8","4","9.06","6.45","2.32","0.50"
"1595329371-1282","https://understat.com/league/La_liga","010.391.24","https://understat.com/match/12068","Sevilla","Real Madrid","La liga","Sep 22 2019","0","1","0.39","1.24","9","7","0","4","1","9","8.92","10.45","0.56","2.17"
"1595329768-1467","https://understat.com/league/La_liga","100.930.90","https://understat.com/match/12250","Atletico Madrid","Granada","La liga","Feb 08 2020","1","0","0.93","0.90","6","10","3","2","6","3","6.37","5.43","1.34","1.29"
"1595329694-1432","https://understat.com/league/La_liga","101.430.19","https://understat.com/match/12214","Barcelona","Granada","La liga","Jan 19 2020","1","0","1.43","0.19","18","5","6","1","16","0","3.50","22.58","2.41","0.35"
"1595328847-1054","https://understat.com/league/EPL","110.482.48","https://understat.com/match/11806","Crystal Palace","Brighton","EPL","Dec 16 2019","1","1","0.48","2.48","11","15","4","10","5","11","19.31","5.25","0.15","2.77"
"1595330026-1589","https://understat.com/league/La_liga","121.621.81","https://understat.com/match/12363","Athletic Club","Sevilla","La liga","Jul 09 2020","1","2","1.62","1.81","13","20","4","7","1","8","13.04","9.64","1.24","1.50"
"1595327413-411","https://understat.com/league/Serie_A","020.761.22","https://understat.com/match/13269","Cagliari","AC Milan","Serie A","Jan 11 2020","0","2","0.76","1.22","9","13","2","4","8","7","7.92","16.68","0.87","1.78"
"1595326573-33","https://understat.com/league/RFPL","000.660.71","https://understat.com/match/11060","CSKA Moscow","PFC Sochi","RFPL","Aug 11 2019","0","0","0.66","0.71","18","10","5","1","9","2","6.14","17.82","1.20","1.41"
"1595328015-679","https://understat.com/league/Bundesliga","425.291.53","https://understat.com/match/12511","Borussia M.Gladbach","Freiburg","Bundesliga","Dec 01 2019","4","2","5.29","1.53","23","12","13","4","19","3","15.65","14.17","2.93","0.05"
"1595327610-503","https://understat.com/league/Serie_A","101.001.86","https://understat.com/match/13357","Torino","Udinese","Serie A","Jun 23 2020","1","0","1.00","1.86","6","16","3","3","1","4","22.17","7.61","0.67","2.09"
"1595330022-1587","https://understat.com/league/La_liga","202.361.31","https://understat.com/match/12372","Real Madrid","Alaves","La liga","Jul 10 2020","2","0","2.36","1.31","18","10","8","4","14","3","12.54","14.21","2.15","0.64"
"1595328098-718","https://understat.com/league/Bundesliga","011.321.51","https://understat.com/match/12539","Bayer Leverkusen","Hertha Berlin","Bundesliga","Dec 18 2019","0","1","1.32","1.51","17","10","7","5","6","1","5.75","16.92","1.20","1.53"
"1595326768-124","https://understat.com/league/RFPL","010.391.58","https://understat.com/match/11145","Rubin Kazan","Dinamo Moscow","RFPL","Nov 09 2019","0","1","0.39","1.58","9","11","3","6","5","6","8.54","13.20","0.40","2.40"
"1595327336-375","https://understat.com/league/Serie_A","110.571.08","https://understat.com/match/13238","Udinese","Napoli","Serie A","Dec 07 2019","1","1","0.57","1.08","5","18","1","3","2","17","14.89","6.11","0.88","1.77"
"1595326995-229","https://understat.com/league/RFPL","130.410.93","https://understat.com/match/11254","Ural","Arsenal Tula","RFPL","Jul 15 2020","1","3","0.41","0.93","11","12","6","5","2","6","7.71","23.75","0.74","1.92"
"1595328836-1049","https://understat.com/league/EPL","100.710.99","https://understat.com/match/11818","Newcastle United","Crystal Palace","EPL","Dec 21 2019","1","0","0.71","0.99","8","16","3","4","6","14","12.50","8.65","1.12","1.52"
"1595326888-180","https://understat.com/league/RFPL","231.580.80","https://understat.com/match/11203","Arsenal Tula","Spartak Moscow","RFPL","Jun 20 2020","2","3","1.58","0.80","22","15","6","6","4","4","17.00","16.23","2.06","0.68"
"1595329766-1466","https://understat.com/league/La_liga","101.820.67","https://understat.com/match/12243","Espanyol","Mallorca","La liga","Feb 09 2020","1","0","1.82","0.67","12","7","7","3","6","2","6.34","7.62","2.28","0.50"
"1595326980-222","https://understat.com/league/RFPL","020.261.00","https://understat.com/match/11199","FC Krasnodar","Dinamo Moscow","RFPL","Jul 19 2020","0","2","0.26","1.00","9","14","1","7","9","2","11.64","44.56","0.64","2.00"
"1595329013-1131","https://understat.com/league/EPL","010.382.07","https://understat.com/match/11899","Norwich","Liverpool","EPL","Feb 15 2020","0","1","0.38","2.07","5","17","1","6","3","13","45.43","8.15","0.20","2.67"
"1595329876-1518","https://understat.com/league/La_liga","202.020.05","https://understat.com/match/12294","Espanyol","Alaves","La liga","Jun 13 2020","2","0","2.02","0.05","19","1","9","0","3","1","4.64","16.25","2.81","0.10"
"1595328964-1108","https://understat.com/league/EPL","412.911.16","https://understat.com/match/11876","Leicester","West Ham","EPL","Jan 22 2020","4","1","2.91","1.16","19","6","8","2","18","2","5.95","15.80","2.62","0.24"
"1595326591-41","https://understat.com/league/RFPL","200.900.81","https://understat.com/match/11068","FC Ufa","FC Rostov","RFPL","Aug 18 2019","2","0","0.90","0.81","14","14","4","3","3","5","9.19","6.26","1.41","1.24"
"1595329304-1253","https://understat.com/league/La_liga","010.381.39","https://understat.com/match/12036","Leganes","Atletico Madrid","La liga","Aug 25 2019","0","1","0.38","1.39","8","6","3","4","10","7","10.85","10.29","0.48","2.27"
"1595327417-413","https://understat.com/league/Serie_A","010.750.80","https://understat.com/match/13264","Lecce","Udinese","Serie A","Jan 06 2020","0","1","0.75","0.80","15","10","4","4","6","8","9.21","11.76","1.27","1.37"
"1595328260-794","https://understat.com/league/Bundesliga","020.551.39","https://understat.com/match/12636","Union Berlin","Bayern Munich","Bundesliga","May 17 2020","0","2","0.55","1.39","9","13","2","3","4","10","20.30","4.60","0.57","2.17"
"1595328190-761","https://understat.com/league/Bundesliga","232.021.55","https://understat.com/match/12600","Union Berlin","Bayer Leverkusen","Bundesliga","Feb 15 2020","2","3","2.02","1.55","21","13","7","5","5","7","8.08","6.55","1.72","1.04"
"1595327740-564","https://understat.com/league/Serie_A","110.670.87","https://understat.com/match/13418","Bologna","Napoli","Serie A","Jul 15 2020","1","1","0.67","0.87","13","9","1","3","10","5","9.46","19.14","1.14","1.51"
"1595328806-1035","https://understat.com/league/EPL","030.281.70","https://understat.com/match/11803","Arsenal","Manchester City","EPL","Dec 15 2019","0","3","0.28","1.70","6","14","1","7","1","6","18.13","8.51","0.30","2.52"
"1595328058-699","https://understat.com/league/Bundesliga","111.381.79","https://understat.com/match/12537","Paderborn","Union Berlin","Bundesliga","Dec 14 2019","1","1","1.38","1.79","13","16","3","2","2","7","4.68","9.67","1.08","1.66"
"1595328664-968","https://understat.com/league/EPL","110.601.93","https://understat.com/match/11738","Newcastle United","Wolverhampton Wanderers","EPL","Oct 27 2019","1","1","0.60","1.93","13","13","2","5","3","6","38.63","9.60","0.41","2.41"
"1595329817-1490","https://understat.com/league/La_liga","333.100.91","https://understat.com/match/12266","Real Betis","Mallorca","La liga","Feb 21 2020","3","3","3.10","0.91","19","11","6","4","13","5","7.05","16.29","2.72","0.19"
"1595329085-1163","https://understat.com/league/EPL","402.410.67","https://understat.com/match/11927","Leicester","Aston Villa","EPL","Mar 09 2020","4","0","2.41","0.67","15","4","7","1","8","2","5.38","13.22","2.60","0.27"
"1595329164-1200","https://understat.com/league/EPL","211.181.80","https://understat.com/match/11958","Everton","Leicester","EPL","Jul 01 2020","2","1","1.18","1.80","7","15","2","3","4","11","15.67","5.84","0.85","1.87"
"1595327047-240","https://understat.com/league/Serie_A","412.661.24","https://understat.com/match/13107","Sassuolo","Sampdoria","Serie A","Sep 01 2019","4","1","2.66","1.24","13","11","8","4","9","8","11.33","18.63","2.36","0.46"
"1595327689-540","https://understat.com/league/Serie_A","030.331.35","https://understat.com/match/13396","SPAL 2013","Udinese","Serie A","Jul 09 2020","0","3","0.33","1.35","13","8","2","3","4","5","14.05","14.90","0.44","2.32"
"1595330086-1617","https://understat.com/league/La_liga","231.651.40","https://understat.com/match/12383","Celta Vigo","Levante","La liga","Jul 16 2020","2","3","1.65","1.40","15","8","6","4","9","3","5.29","9.08","1.54","1.17"
"1595328994-1122","https://understat.com/league/EPL","010.970.86","https://understat.com/match/11885","Crystal Palace","Sheffield United","EPL","Feb 01 2020","0","1","0.97","0.86","13","10","3","3","6","4","11.00","10.31","1.41","1.25"
"1595326619-54","https://understat.com/league/RFPL","020.831.43","https://understat.com/match/11071","FC Tambov","Dinamo Moscow","RFPL","Aug 24 2019","0","2","0.83","1.43","14","14","5","4","14","4","15.88","15.39","0.87","1.86"
"1595328013-678","https://understat.com/league/Bundesliga","232.711.29","https://understat.com/match/12519","Wolfsburg","Werder Bremen","Bundesliga","Dec 01 2019","2","3","2.71","1.29","20","10","6","3","7","2","5.58","12.29","2.38","0.44"
"1595326599-45","https://understat.com/league/RFPL","130.891.95","https://understat.com/match/11064","Ural","Krylya Sovetov Samara","RFPL","Aug 17 2019","1","3","0.89","1.95","13","13","6","5","6","7","15.62","20.27","0.58","2.21"
"1595329080-1161","https://understat.com/league/EPL","101.561.62","https://understat.com/match/11923","Arsenal","West Ham","EPL","Mar 07 2020","1","0","1.56","1.62","9","14","2","6","7","10","11.80","23.13","1.32","1.39"
"1595326608-49","https://understat.com/league/RFPL","211.480.48","https://understat.com/match/11076","FC Rostov","Rubin Kazan","RFPL","Aug 25 2019","2","1","1.48","0.48","30","6","9","2","10","2","10.25","15.54","2.14","0.60"
"1595329986-1570","https://understat.com/league/La_liga","211.390.12","https://understat.com/match/12350","Real Sociedad","Espanyol","La liga","Jul 02 2020","2","1","1.39","0.12","12","4","4","3","3","0","6.67","14.75","2.51","0.28"
"1595327575-487","https://understat.com/league/Serie_A","413.172.51","https://understat.com/match/13329","Atalanta","Sassuolo","Serie A","Jun 21 2020","4","1","3.17","2.51","13","14","4","5","10","5","9.21","11.90","1.81","1.00"
"1595326698-91","https://understat.com/league/RFPL","130.652.37","https://understat.com/match/11114","Ural","Zenit St. Petersburg","RFPL","Oct 06 2019","1","3","0.65","2.37","17","13","4","5","10","18","18.22","8.52","0.28","2.60"
"1595328220-775","https://understat.com/league/Bundesliga","110.931.17","https://understat.com/match/12611","RasenBallsport Leipzig","Bayer Leverkusen","Bundesliga","Mar 01 2020","1","1","0.93","1.17","9","15","2","6","10","4","14.69","11.24","1.15","1.51"
"1595329479-1331","https://understat.com/league/La_liga","100.360.66","https://understat.com/match/12109","Granada","Osasuna","La liga","Oct 18 2019","1","0","0.36","0.66","6","9","2","4","4","3","8.11","7.79","0.96","1.60"
"1595327484-444","https://understat.com/league/Serie_A","302.910.91","https://understat.com/match/13302","Juventus","Fiorentina","Serie A","Feb 02 2020","3","0","2.91","0.91","15","9","8","3","7","2","4.96","19.85","2.71","0.19"
"1595328915-1086","https://understat.com/league/EPL","030.322.30","https://understat.com/match/11857","Bournemouth","Watford","EPL","Jan 12 2020","0","3","0.32","2.30","10","18","1","6","5","7","13.07","11.44","0.17","2.72"
"1595329155-1196","https://understat.com/league/EPL","010.550.90","https://understat.com/match/11969","Norwich","Brighton","EPL","Jul 04 2020","0","1","0.55","0.90","12","8","1","2","9","8","15.94","19.56","0.92","1.73"
"1595326691-88","https://understat.com/league/RFPL","211.641.00","https://understat.com/match/11116","FC Krasnodar","Spartak Moscow","RFPL","Oct 06 2019","2","1","1.64","1.00","17","10","3","3","6","3","9.48","8.18","1.85","0.89"
"1595329293-1248","https://understat.com/league/La_liga","211.690.79","https://understat.com/match/12025","Mallorca","Eibar","La liga","Aug 17 2019","2","1","1.69","0.79","15","11","3","5","3","6","15.18","6.95","2.08","0.68"
"1595326678-82","https://understat.com/league/RFPL","121.730.70","https://understat.com/match/11107","Spartak Moscow","FC Orenburg","RFPL","Sep 29 2019","1","2","1.73","0.70","24","14","8","3","9","1","6.35","13.06","2.17","0.60"
"1595327567-483","https://understat.com/league/Serie_A","121.951.87","https://understat.com/match/13343","AC Milan","Genoa","Serie A","Mar 08 2020","1","2","1.95","1.87","23","11","4","3","18","10","7.31","23.50","1.39","1.33"
"1595327927-638","https://understat.com/league/Bundesliga","111.361.69","https://understat.com/match/12470","RasenBallsport Leipzig","Wolfsburg","Bundesliga","Oct 19 2019","1","1","1.36","1.69","15","13","5","6","6","6","7.07","10.12","1.08","1.63"
"1595330069-1609","https://understat.com/league/La_liga","021.141.74","https://understat.com/match/12392","Getafe","Atletico Madrid","La liga","Jul 16 2020","0","2","1.14","1.74","15","11","6","3","3","8","10.50","6.47","0.87","1.88"
"1595328904-1081","https://understat.com/league/EPL","101.511.08","https://understat.com/match/11851","Southampton","Tottenham","EPL","Jan 01 2020","1","0","1.51","1.08","12","11","3","5","4","4","6.38","6.43","1.70","1.01"
"1595326890-181","https://understat.com/league/RFPL","120.771.20","https://understat.com/match/11206","Ural","Rubin Kazan","RFPL","Jun 20 2020","1","2","0.77","1.20","18","13","5","6","4","3","8.86","14.00","0.91","1.78"
