web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,Teams,Warning,Country
1600463784-93,https://www.oddsportal.com/soccer/netherlands/eredivisie/,Utrecht - Waalwijk,https://www.oddsportal.com/soccer/netherlands/eredivisie/utrecht-waalwijk-zVlOtXuc/,Eredivisie,"Sunday, 27 Sep  2020, 12:30",Utrecht - Waalwijk,,Netherlands
1600464311-160,https://www.oddsportal.com/soccer/france/ligue-1/,Nimes - Lens,https://www.oddsportal.com/soccer/france/ligue-1/nimes-lens-Y7sjdE8e/,Ligue 1,"Sunday, 27 Sep  2020, 13:00",Nimes - Lens,,France
1600464214-148,https://www.oddsportal.com/soccer/italy/serie-a/,Sampdoria - Benevento,https://www.oddsportal.com/soccer/italy/serie-a/sampdoria-benevento-fk2xSgmd/,Serie A,"Saturday, 26 Sep  2020, 16:00",Sampdoria - Benevento,,Italy
1600463284-30,https://www.oddsportal.com/soccer/europe/europa-league/,FK Sarajevo (Bih)  - Buducnost (Mne),https://www.oddsportal.com/soccer/europe/europa-league/fk-sarajevo-buducnost-bcDjJ4xn/,Europa League,"Thursday, 24 Sep  2020, 18:00",FK Sarajevo (Bih)  - Buducnost (Mne),,Europe
1600463187-18,https://www.oddsportal.com/soccer/europe/champions-league/,Olympiacos Piraeus (Gre)  - Omonia (Cyp),https://www.oddsportal.com/soccer/europe/champions-league/olympiacos-piraeus-omonia-jBAAKcea/,Champions League,"Wednesday, 23 Sep  2020, 19:00",Olympiacos Piraeus (Gre)  - Omonia (Cyp),,Europe
1600464102-134,https://www.oddsportal.com/soccer/portugal/primeira-liga/,Nacional - Boavista,https://www.oddsportal.com/soccer/portugal/primeira-liga/nacional-boavista-thuMO5WP/,Primeira Liga,"Tomorrow, 19 Sep  2020, 15:00",Nacional - Boavista,,Portugal
1600464006-122,https://www.oddsportal.com/soccer/germany/bundesliga/,Werder Bremen - Hertha Berlin,https://www.oddsportal.com/soccer/germany/bundesliga/werder-bremen-hertha-berlin-0I3OJK77/,Bundesliga,"Tomorrow, 19 Sep  2020, 13:30",Werder Bremen - Hertha Berlin,,Germany
1600463457-53,https://www.oddsportal.com/soccer/europe/europa-league/,Apollon (Cyp)  - Lech Poznan (Pol),https://www.oddsportal.com/soccer/europe/europa-league/apollon-limassol-lech-poznan-EH3Tux2T/,Europa League,"Thursday, 24 Sep  2020, 17:00",Apollon (Cyp)  - Lech Poznan (Pol),,Europe
1600463173-17,https://www.oddsportal.com/soccer/spain/laliga/,Villarreal - Eibar,https://www.oddsportal.com/soccer/spain/laliga/villarreal-eibar-CEpqID4B/,LaLiga,"Tomorrow, 19 Sep  2020, 14:00",Villarreal - Eibar,,Spain
1600464646-203,https://www.oddsportal.com/soccer/england/premier-league/,Fulham - Aston Villa,https://www.oddsportal.com/soccer/england/premier-league/fulham-aston-villa-n9pnlook/,Premier League,"Monday, 28 Sep  2020, 17:00",Fulham - Aston Villa,,England
1600463695-82,https://www.oddsportal.com/soccer/usa/mls/,Real Salt Lake - Vancouver Whitecaps,https://www.oddsportal.com/soccer/usa/mls/real-salt-lake-vancouver-whitecaps-b3nuq2NS/,MLS,"Sunday, 20 Sep  2020, 01:30",Real Salt Lake - Vancouver Whitecaps,,USA
1600463375-42,https://www.oddsportal.com/soccer/europe/europa-league/,Granada CF (Esp)  - Lokomotiv Tbilisi (Geo),https://www.oddsportal.com/soccer/europe/europa-league/granada-cf-lokomotiv-tbilisi-n5Ysaa2i/,Europa League,"Thursday, 24 Sep  2020, 17:00",Granada CF (Esp)  - Lokomotiv Tbilisi (Geo),,Europe
1600463443-51,https://www.oddsportal.com/soccer/europe/europa-league/,Basel (Sui)  - Anorthosis (Cyp),https://www.oddsportal.com/soccer/europe/europa-league/basel-anorthosis-tGiiMEtD/,Europa League,"Thursday, 24 Sep  2020, 17:00",Basel (Sui)  - Anorthosis (Cyp),,Europe
1600463113-9,https://www.oddsportal.com/soccer/spain/laliga/,Atl. Madrid - Granada CF,https://www.oddsportal.com/soccer/spain/laliga/atl-madrid-granada-cf-bB6EXh4b/,LaLiga,"Sunday, 27 Sep  2020, 15:00",Atl. Madrid - Granada CF,,Spain
1600463998-121,https://www.oddsportal.com/soccer/germany/bundesliga/,Dortmund - B. Monchengladbach,https://www.oddsportal.com/soccer/germany/bundesliga/dortmund-b-monchengladbach-SAGyTOpL/,Bundesliga,"Tomorrow, 19 Sep  2020, 16:30",Dortmund - B. Monchengladbach,,Germany
1600464364-167,https://www.oddsportal.com/soccer/france/ligue-1/,Lille - Nantes,https://www.oddsportal.com/soccer/france/ligue-1/lille-nantes-6gR9GrfA/,Ligue 1,"Friday, 25 Sep  2020, 19:00",Lille - Nantes,,France
1600463644-76,https://www.oddsportal.com/soccer/scotland/premiership/,Kilmarnock - Hamilton,https://www.oddsportal.com/soccer/scotland/premiership/kilmarnock-hamilton-lhDE79Zf/,Premiership,"Tomorrow, 19 Sep  2020, 14:00",Kilmarnock - Hamilton,,Scotland
1600463210-21,https://www.oddsportal.com/soccer/europe/champions-league/,Slavia Prague (Cze)  - Midtjylland (Den),https://www.oddsportal.com/soccer/europe/champions-league/slavia-prague-midtjylland-UNS9EELu/,Champions League,"Tuesday, 22 Sep  2020, 19:00",Slavia Prague (Cze)  - Midtjylland (Den),,Europe
1600463688-81,https://www.oddsportal.com/soccer/usa/mls/,Los Angeles Galaxy - Colorado Rapids,https://www.oddsportal.com/soccer/usa/mls/los-angeles-galaxy-colorado-rapids-4UIuKfl0/,MLS,"Sunday, 20 Sep  2020, 02:30",Los Angeles Galaxy - Colorado Rapids,,USA
1600464408-173,https://www.oddsportal.com/soccer/france/ligue-1/,Brest - Lorient,https://www.oddsportal.com/soccer/france/ligue-1/brest-lorient-nXrN67Qo/,Ligue 1,"Sunday, 20 Sep  2020, 13:00",Brest - Lorient,,France
1600463592-70,https://www.oddsportal.com/soccer/russia/premier-league/,FK Rostov - R. Volgograd,https://www.oddsportal.com/soccer/russia/premier-league/fk-rostov-r-volgograd-WtINKwbI/,Premier League,"Tomorrow, 19 Sep  2020, 16:00",FK Rostov - R. Volgograd,Postponed,Russia
1600464549-191,https://www.oddsportal.com/soccer/england/championship/,Swansea - Birmingham,https://www.oddsportal.com/soccer/england/championship/swansea-birmingham-E3bk69QC/,Championship,"Tomorrow, 19 Sep  2020, 14:00",Swansea - Birmingham,,England
1600464109-135,https://www.oddsportal.com/soccer/portugal/primeira-liga/,Vitoria Guimaraes - Belenenses,https://www.oddsportal.com/soccer/portugal/primeira-liga/vitoria-guimaraes-belenenses-CzWiJqfm/,Primeira Liga,"Today, 18 Sep  2020, 20:15",Vitoria Guimaraes - Belenenses,The match has already started.,Portugal
1600463076-4,https://www.oddsportal.com/soccer/spain/laliga/,Elche - Real Sociedad,https://www.oddsportal.com/soccer/spain/laliga/elche-real-sociedad-hY5IWCJ4/,LaLiga,"Sunday, 27 Sep  2020, 15:00",Elche - Real Sociedad,,Spain
1600463761-91,https://www.oddsportal.com/soccer/usa/mls/,Seattle Sounders - Los Angeles FC,https://www.oddsportal.com/soccer/usa/mls/seattle-sounders-los-angeles-fc-QaqURTTm/,MLS,"Tomorrow, 19 Sep  2020, 02:00",Seattle Sounders - Los Angeles FC,,USA
1600463121-10,https://www.oddsportal.com/soccer/spain/laliga/,Alaves - Getafe,https://www.oddsportal.com/soccer/spain/laliga/alaves-getafe-2qD5ZEZo/,LaLiga,"Sunday, 27 Sep  2020, 15:00",Alaves - Getafe,,Spain
1600463143-13,https://www.oddsportal.com/soccer/spain/laliga/,Betis - Valladolid,https://www.oddsportal.com/soccer/spain/laliga/betis-valladolid-UDNCJ5OI/,LaLiga,"Sunday, 20 Sep  2020, 16:30",Betis - Valladolid,,Spain
1600464579-195,https://www.oddsportal.com/soccer/england/championship/,Norwich - Preston,https://www.oddsportal.com/soccer/england/championship/norwich-preston-hCQGVqq2/,Championship,"Tomorrow, 19 Sep  2020, 14:00",Norwich - Preston,,England
1600463337-37,https://www.oddsportal.com/soccer/europe/europa-league/,Mura (Slo)  - PSV (Ned),https://www.oddsportal.com/soccer/europe/europa-league/mura-psv-lU6LHPVp/,Europa League,"Thursday, 24 Sep  2020, 17:00",Mura (Slo)  - PSV (Ned),,Europe
1600463069-3,https://www.oddsportal.com/soccer/spain/laliga/,Osasuna - Levante,https://www.oddsportal.com/soccer/spain/laliga/osasuna-levante-nXxdFBlU/,LaLiga,"Sunday, 27 Sep  2020, 15:00",Osasuna - Levante,,Spain
1600464266-155,https://www.oddsportal.com/soccer/italy/serie-a/,Parma - Napoli,https://www.oddsportal.com/soccer/italy/serie-a/parma-napoli-bsukcax7/,Serie A,"Sunday, 20 Sep  2020, 10:30",Parma - Napoli,,Italy
1600464304-159,https://www.oddsportal.com/soccer/france/ligue-1/,Lorient - Lyon,https://www.oddsportal.com/soccer/france/ligue-1/lorient-lyon-0GQDF29G/,Ligue 1,"Sunday, 27 Sep  2020, 15:00",Lorient - Lyon,,France
