web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,Teams,Warning
1599412816-132,https://www.oddsportal.com/soccer/france/ligue-1/,Lorient - Lens,https://www.oddsportal.com/soccer/france/ligue-1/lorient-lens-hfDHYME2/,Ligue 1,"Sunday, 13 Sep  2020, 13:00",Lorient - Lens,
1599412858-137,https://www.oddsportal.com/soccer/france/ligue-1/,Montpellier - Nice,https://www.oddsportal.com/soccer/france/ligue-1/montpellier-nice-0KGPW0qF/,Ligue 1,"Saturday, 12 Sep  2020, 15:00",Montpellier - Nice,
1599412690-117,https://www.oddsportal.com/soccer/france/ligue-1/,Marseille - Lille,https://www.oddsportal.com/soccer/france/ligue-1/marseille-lille-YmoZ35A4/,Ligue 1,"Sunday, 20 Sep  2020, 19:00",Marseille - Lille,
1599412320-77,https://www.oddsportal.com/soccer/netherlands/eredivisie/,Zwolle - Feyenoord,https://www.oddsportal.com/soccer/netherlands/eredivisie/zwolle-feyenoord-jL5rBujC/,Eredivisie,"Saturday, 12 Sep  2020, 18:00",Zwolle - Feyenoord,
1599412724-121,https://www.oddsportal.com/soccer/france/ligue-1/,Metz - Reims,https://www.oddsportal.com/soccer/france/ligue-1/metz-reims-Ea2W2PPA/,Ligue 1,"Sunday, 20 Sep  2020, 13:00",Metz - Reims,
1599412211-65,https://www.oddsportal.com/soccer/usa/mls/,New York Red Bulls - Philadelphia Union,https://www.oddsportal.com/soccer/usa/mls/new-york-red-bulls-philadelphia-union-fqqGfkTA/,MLS,"Today, 06 Sep  2020, 23:00",New York Red Bulls - Philadelphia Union,
1599412892-140,https://www.oddsportal.com/soccer/england/championship/,QPR - Nottingham,https://www.oddsportal.com/soccer/england/championship/qpr-nottingham-Y1fLtAi3/,Championship,"Saturday, 12 Sep  2020, 14:00",QPR - Nottingham,
1599413101-164,https://www.oddsportal.com/soccer/england/premier-league/,Tottenham - Everton,https://www.oddsportal.com/soccer/england/premier-league/tottenham-everton-l05DweXT/,Premier League,"Sunday, 13 Sep  2020, 15:30",Tottenham - Everton,
1599411666-5,https://www.oddsportal.com/soccer/spain/laliga/,Celta Vigo - Valencia,https://www.oddsportal.com/soccer/spain/laliga/celta-vigo-valencia-84MGIPwP/,LaLiga,"Saturday, 19 Sep  2020, 19:00",Celta Vigo - Valencia,
1599412077-50,https://www.oddsportal.com/soccer/scotland/premiership/,Motherwell - St Johnstone,https://www.oddsportal.com/soccer/scotland/premiership/motherwell-st-johnstone-OzBmgAK1/,Premiership,"Saturday, 12 Sep  2020, 14:00",Motherwell - St Johnstone,
1599412278-72,https://www.oddsportal.com/soccer/netherlands/eredivisie/,Groningen - PSV,https://www.oddsportal.com/soccer/netherlands/eredivisie/groningen-psv-APx9R0zg/,Eredivisie,"Sunday, 13 Sep  2020, 14:45",Groningen - PSV,
1599413018-154,https://www.oddsportal.com/soccer/england/premier-league/,Newcastle - Brighton,https://www.oddsportal.com/soccer/england/premier-league/newcastle-utd-brighton-0CCbckO2/,Premier League,"Sunday, 20 Sep  2020, 13:00",Newcastle - Brighton,
1599413035-156,https://www.oddsportal.com/soccer/england/premier-league/,Arsenal - West Ham,https://www.oddsportal.com/soccer/england/premier-league/arsenal-west-ham-vVXZfd24/,Premier League,"Sunday, 20 Sep  2020, 13:00",Arsenal - West Ham,
1599413118-166,https://www.oddsportal.com/soccer/england/premier-league/,Liverpool - Leeds,https://www.oddsportal.com/soccer/england/premier-league/liverpool-leeds-KQ09vyIN/,Premier League,"Saturday, 12 Sep  2020, 16:30",Liverpool - Leeds,
1599412069-49,https://www.oddsportal.com/soccer/scotland/premiership/,Rangers - Dundee Utd,https://www.oddsportal.com/soccer/scotland/premiership/rangers-dundee-utd-xvFihUZ7/,Premiership,"Saturday, 12 Sep  2020, 14:00",Rangers - Dundee Utd,
1599412521-99,https://www.oddsportal.com/soccer/portugal/primeira-liga/,Tondela - Rio Ave,https://www.oddsportal.com/soccer/portugal/primeira-liga/tondela-rio-ave-ltNCEL8I/,Primeira Liga,"Sunday, 20 Sep  2020, 20:00",Tondela - Rio Ave,
1599412286-73,https://www.oddsportal.com/soccer/netherlands/eredivisie/,Sparta Rotterdam - Ajax,https://www.oddsportal.com/soccer/netherlands/eredivisie/sparta-rotterdam-ajax-0jmZX2cP/,Eredivisie,"Sunday, 13 Sep  2020, 12:30",Sparta Rotterdam - Ajax,
1599413143-169,https://www.oddsportal.com/soccer/england/premier-league/,Fulham - Arsenal,https://www.oddsportal.com/soccer/england/premier-league/fulham-arsenal-tz25uH2H/,Premier League,"Saturday, 12 Sep  2020, 11:30",Fulham - Arsenal,
1599412715-120,https://www.oddsportal.com/soccer/france/ligue-1/,Montpellier - Angers,https://www.oddsportal.com/soccer/france/ligue-1/montpellier-angers-hj1z2quH/,Ligue 1,"Sunday, 20 Sep  2020, 13:00",Montpellier - Angers,
1599412186-62,https://www.oddsportal.com/soccer/usa/mls/,Inter Miami - Nashville SC,https://www.oddsportal.com/soccer/usa/mls/inter-miami-nashville-sc-pUR4QMVP/,MLS,"Tomorrow, 07 Sep  2020, 00:00",Inter Miami - Nashville SC,
1599411875-28,https://www.oddsportal.com/soccer/europe/europa-league/,Riteriai (Ltu)  - Liberec (Cze),https://www.oddsportal.com/soccer/europe/europa-league/riteriai-liberec-zH1lVe1k/,Europa League,"Thursday, 17 Sep  2020, 16:00",Riteriai (Ltu)  - Liberec (Cze),
1599412354-80,https://www.oddsportal.com/soccer/germany/bundesliga/,Freiburg - Wolfsburg,https://www.oddsportal.com/soccer/germany/bundesliga/freiburg-wolfsburg-KMWpyMxr/,Bundesliga,"Sunday, 27 Sep  2020, 16:00",Freiburg - Wolfsburg,
1599412203-64,https://www.oddsportal.com/soccer/usa/mls/,Chicago Fire - New England Revolution,https://www.oddsportal.com/soccer/usa/mls/chicago-fire-new-england-revolution-lQtPZmio/,MLS,"Today, 06 Sep  2020, 23:30",Chicago Fire - New England Revolution,
1599413043-157,https://www.oddsportal.com/soccer/england/premier-league/,Southampton - Tottenham,https://www.oddsportal.com/soccer/england/premier-league/southampton-tottenham-v3B2d9w9/,Premier League,"Sunday, 20 Sep  2020, 11:00",Southampton - Tottenham,
1599412001-42,https://www.oddsportal.com/soccer/russia/premier-league/,CSKA Moscow - Spartak Moscow,https://www.oddsportal.com/soccer/russia/premier-league/cska-moscow-spartak-moscow-p44AP1qm/,Premier League,"Sunday, 13 Sep  2020, 16:00",CSKA Moscow - Spartak Moscow,
1599412732-122,https://www.oddsportal.com/soccer/france/ligue-1/,Brest - Lorient,https://www.oddsportal.com/soccer/france/ligue-1/brest-lorient-nXrN67Qo/,Ligue 1,"Sunday, 20 Sep  2020, 13:00",Brest - Lorient,
1599412774-127,https://www.oddsportal.com/soccer/france/ligue-1/,Paris SG - Metz,https://www.oddsportal.com/soccer/france/ligue-1/paris-sg-metz-WppIdT1o/,Ligue 1,"Wednesday, 16 Sep  2020, 19:00",Paris SG - Metz,
1599411917-32,https://www.oddsportal.com/soccer/russia/premier-league/,Lokomotiv Moscow - Tambov,https://www.oddsportal.com/soccer/russia/premier-league/lokomotiv-moscow-fc-tambov-lbnxv1bt/,Premier League,"Sunday, 20 Sep  2020, 16:00",Lokomotiv Moscow - Tambov,
1599411934-34,https://www.oddsportal.com/soccer/russia/premier-league/,Ufa - CSKA Moscow,https://www.oddsportal.com/soccer/russia/premier-league/ufa-cska-moscow-vmukyara/,Premier League,"Sunday, 20 Sep  2020, 11:00",Ufa - CSKA Moscow,
1599412328-78,https://www.oddsportal.com/soccer/netherlands/eredivisie/,Heerenveen - Willem II,https://www.oddsportal.com/soccer/netherlands/eredivisie/heerenveen-willem-ii-CU6vCLz6/,Eredivisie,"Saturday, 12 Sep  2020, 16:45",Heerenveen - Willem II,
1599412614-109,https://www.oddsportal.com/soccer/italy/serie-a/,Benevento - Inter,https://www.oddsportal.com/soccer/italy/serie-a/benevento-inter-YHn363FK/,Serie A,"Wednesday, 30 Sep  2020, 18:00",Benevento - Inter,
