AAD,ABS,Time,ACCC,ACorn,AF,AOff,AP,APass,AR,AS,ASOT,AST,ASaves,AT,ATack,AY,Attendance,Date,FTAG,FTHG,GameID,HAD,HBS,HCCC,HCorn,HF,HOff,HP,HPass,HR,HS,HSOT,HST,HSaves,HT,HTack,HY,League
50.0,2,1430,0,4,15,3,68.6,86.5,0,12,8,2,3,Bayer Leverkusen,62.5,3,,2020-06-20,0,2,413026,50.0,3,3,5,14,3,31.4,64.7,0,14,6,5,2,Hertha Berlin,57.9,4,Bundesliga
65.4,2,1430,1,9,15,0,61.8,76.4,0,9,4,3,1,Eintracht Frankfurt,58.8,2,,2020-06-20,1,1,413021,34.6,2,0,5,8,5,38.2,68.2,0,4,0,2,2,Cologne,66.7,1,Bundesliga
52.9,1,1430,0,5,16,1,47.1,78.6,0,6,3,2,3,Cologne,75.0,2,,2020-06-27,1,6,413036,47.1,5,3,7,22,1,52.9,83.6,0,18,4,9,1,Werder Bremen,50.0,1,Bundesliga
51.4,1,1430,2,4,15,1,40.9,76.2,0,7,4,2,4,1. FC Union Berlin,50.0,3,,2020-06-20,0,4,413029,48.6,4,1,6,10,1,59.1,83.8,0,16,4,8,2,Hoffenheim,55.6,1,Bundesliga
21.1,1,1430,1,3,15,2,44.2,81.3,0,5,2,2,6,Hertha Berlin,85.7,2,,2020-06-27,1,2,413033,78.9,6,3,3,7,0,55.8,86.0,0,23,9,8,1,M'gladbach,72.7,1,Bundesliga
45.5,0,1430,5,6,9,1,61.1,85.9,0,16,7,9,4,Bayern Munich,45.0,0,,2020-06-27,4,0,413038,54.5,1,1,3,13,1,38.9,78.2,1,12,7,4,6,Wolfsburg,50.0,1,Bundesliga
61.5,4,1430,2,8,10,3,65.3,83.4,0,14,5,5,0,RB Leipzig,70.6,1,,2020-06-27,2,1,413035,38.5,3,0,2,12,1,34.7,73.1,0,5,1,1,3,FC Augsburg,43.3,4,Bundesliga
32.1,3,1430,2,2,3,2,39.0,74.8,0,17,9,5,1,SC Paderborn 07,75.0,1,,2020-06-27,2,3,413034,67.9,4,3,6,13,3,61.0,85.2,0,13,5,4,3,Eintracht Frankfurt,53.3,0,Bundesliga
57.1,1,1430,0,4,10,3,33.0,73.6,0,6,4,1,1,Mainz,38.5,1,,2020-06-27,0,1,413031,42.9,8,2,11,10,3,67.0,89.1,0,13,3,2,1,Bayer Leverkusen,63.2,1,Bundesliga
58.3,5,1430,5,5,5,0,40.9,85.6,0,16,4,7,4,Hoffenheim,70.0,0,,2020-06-27,4,0,413032,41.7,2,0,2,7,0,59.1,89.0,0,7,1,4,3,Borussia Dortmund,58.3,1,Bundesliga
63.9,14,1430,0,10,6,1,57.5,79.4,0,27,11,2,2,Fortuna Dusseldorf,66.7,1,,2020-06-27,0,3,413030,36.1,2,4,6,15,2,42.5,69.3,0,11,4,5,2,1. FC Union Berlin,58.8,0,Bundesliga
31.6,6,1430,0,5,5,1,43.8,85.6,0,22,10,6,4,Schalke,72.7,0,,2020-06-27,0,4,413037,68.4,4,1,1,14,3,56.2,86.9,0,15,3,8,6,SC Freiburg,41.7,1,Bundesliga
64.4,5,1800,0,12,14,0,64.3,81.2,0,9,4,0,2,Tottenham Hotspur,76.2,2,,2020-07-09,0,0,408313,35.6,4,1,8,11,1,35.7,67.9,0,9,3,2,0,Bournemouth,73.3,3,Premier_League
42.6,0,1230,2,4,15,3,52.3,72.8,0,8,4,4,3,Newcastle United,92.3,4,,2020-07-11,1,2,408329,57.4,7,1,2,23,3,47.7,68.4,0,17,5,5,3,Watford,75.0,1,Premier_League
50.0,6,2000,7,7,3,1,70.2,90.5,0,26,12,8,0,Manchester City,81.3,0,,2020-07-11,5,0,408323,50.0,0,0,2,7,6,29.8,76.4,0,3,3,0,3,Brighton and Hove Albion,58.3,1,Premier_League
48.4,2,1500,0,6,4,3,29.2,59.6,0,6,2,2,8,Burnley,36.4,2,,2020-07-11,1,1,408324,51.6,9,1,12,7,2,70.8,85.6,0,23,5,9,1,Liverpool,60.0,1,Premier_League
44.4,4,1730,2,6,6,0,76.3,88.0,0,15,7,4,1,Chelsea,87.5,0,,2020-07-11,0,3,408327,55.6,2,1,4,8,1,23.7,63.3,0,9,3,4,4,Sheffield United,42.9,1,Premier_League
42.9,2,2015,0,1,9,1,32.3,76.7,0,2,0,0,5,Norwich City,80.0,2,,2020-07-14,0,1,408333,57.1,4,3,8,10,0,67.7,89.2,0,22,12,6,0,Chelsea,87.5,2,Premier_League
59.3,1,1230,5,6,8,0,47.5,83.3,0,19,11,7,2,West Ham United,66.7,0,,2020-07-11,4,0,408326,40.7,3,0,1,9,1,52.5,86.9,0,11,6,2,3,Norwich City,31.3,1,Premier_League
52.5,1,1415,1,1,21,0,55.1,79.3,1,9,3,5,7,Crystal Palace,53.3,4,,2020-07-12,0,2,408321,47.5,2,3,5,21,1,44.9,73.6,0,12,1,9,5,Aston Villa,66.7,2,Premier_League
52.8,9,2015,3,13,10,4,68.9,85.0,0,24,7,8,0,Liverpool,83.3,1,,2020-07-15,1,2,408331,47.2,0,1,2,14,5,31.1,64.0,0,3,1,2,8,Arsenal,42.9,3,Premier_League
41.4,2,1800,2,4,13,1,47.2,86.4,0,8,1,5,5,Tottenham Hotspur,35.7,3,,2020-07-15,3,1,408338,58.6,6,1,5,6,0,52.8,87.5,0,22,10,6,2,Newcastle United,57.1,2,Premier_League
56.1,5,1900,0,6,12,1,55.9,80.4,1,13,3,5,1,Leicester City,58.8,1,,2020-07-12,1,4,408322,43.9,2,1,2,11,4,44.1,72.2,0,9,3,4,4,Bournemouth,100.0,2,Premier_League
48.3,2,2000,2,6,15,0,52.5,80.8,0,9,2,5,2,Southampton,60.0,3,,2020-07-13,2,2,408325,51.7,1,2,4,14,1,47.5,79.5,0,8,3,4,3,Manchester United,53.8,1,Premier_League
41.4,3,1630,0,5,11,0,62.7,89.0,0,13,6,4,7,Arsenal,58.3,3,,2020-07-12,1,2,408328,58.6,5,3,6,16,2,37.3,81.0,0,15,1,9,3,Tottenham Hotspur,59.1,5,Premier_League
71.4,3,2015,1,7,15,0,59.6,87.2,0,17,9,5,5,Manchester United,78.6,2,,2020-07-16,2,0,408334,28.6,4,0,2,10,1,40.4,78.8,0,13,4,5,3,Crystal Palace,46.2,1,Premier_League
48.2,3,1800,1,8,8,1,53.3,76.8,0,14,6,5,0,Wolverhampton Wanderers,77.8,0,,2020-07-15,1,1,408332,51.8,4,1,3,10,1,46.7,71.0,0,9,4,1,4,Burnley,50.0,0,Premier_League
57.1,6,1800,2,5,10,2,27.5,65.1,0,15,6,3,2,Bournemouth,66.7,1,,2020-07-15,1,2,408337,42.9,0,0,3,10,2,72.5,88.5,0,8,4,4,2,Manchester City,60.0,1,Premier_League
57.8,4,2015,0,2,10,2,32.2,59.5,0,10,4,2,4,Brighton and Hove Albion,73.7,0,,2020-07-16,1,1,408339,42.2,8,3,8,6,1,67.8,82.0,0,21,7,6,1,Southampton,80.0,1,Premier_League
50.0,7,1800,2,5,13,0,45.1,80.3,0,15,7,1,0,Aston Villa,60.0,1,,2020-07-16,1,1,408335,50.0,2,1,5,15,0,54.9,86.2,0,9,6,1,0,Everton,70.0,2,Premier_League
53.8,1,1800,1,5,10,4,45.8,74.1,0,5,3,1,5,Sheffield United,54.5,2,,2020-07-16,0,2,408336,46.2,5,5,9,12,3,54.2,79.1,0,15,3,7,1,Leicester City,50.0,1,Premier_League
66.7,2,1400,0,6,5,1,55.6,82.3,0,12,8,2,3,Reims,75.0,1,"24,868.",2020-02-23,1,1,408621,33.3,3,1,8,14,0,44.4,78.7,0,7,0,4,1,St Etienne,58.8,1,Ligue_1
56.8,0,1900,2,3,12,5,59.4,87.3,0,11,7,4,2,Rennes,40.0,1,"13,301.",2020-02-29,2,0,408632,43.2,5,0,9,13,1,40.6,78.7,0,15,8,2,2,Toulouse,73.3,3,Ligue_1
52.6,4,1900,1,7,15,1,54.6,84.4,0,15,4,7,8,Strasbourg,55.6,2,"11,799.",2020-02-29,0,3,408628,47.4,3,2,5,8,0,45.4,83.4,0,23,9,11,7,Montpellier,80.0,1,Ligue_1
53.1,3,1945,3,9,14,1,52.1,74.8,0,13,6,4,4,Marseille,57.7,3,"13,755.",2020-02-28,3,2,408630,46.9,4,3,8,15,1,47.9,72.5,0,16,6,6,1,Nimes,65.2,4,Ligue_1
24.1,5,1900,1,2,13,4,42.9,80.7,0,16,3,8,6,Reims,68.8,3,"4,237.",2020-02-29,1,1,408627,75.9,6,1,3,20,1,57.1,82.9,0,19,6,7,7,Monaco,75.0,2,Ligue_1
62.5,1,1900,0,0,9,1,35.1,77.4,0,6,3,2,4,Angers,87.5,1,"13,313.",2020-02-29,1,0,408625,37.5,5,0,12,12,1,64.9,87.6,0,16,7,4,1,Brest,60.0,3,Ligue_1
66.7,1,1600,0,3,12,0,58.8,87.4,0,9,4,4,3,Nice,63.6,3,"15,799.",2020-03-01,1,1,408624,33.3,3,3,10,18,2,41.2,82.7,0,12,5,4,3,Bordeaux,31.3,3,Ligue_1
56.1,2,1900,1,3,10,0,40.9,67.0,0,13,5,6,5,Metz,66.7,1,"12,375.",2020-02-29,1,0,408623,43.9,1,1,6,17,1,59.1,77.9,0,12,6,5,5,Amiens,66.7,2,Ligue_1
47.8,0,1630,0,0,3,1,30.3,81.3,0,9,6,3,7,Dijon,70.0,0,"47,542.",2020-02-29,0,4,408631,52.2,2,5,8,7,2,69.7,90.1,0,23,10,11,3,Paris Saint-Germain,46.2,1,Ligue_1
45.1,1,2000,1,4,14,0,33.9,69.8,0,8,3,4,7,St Etienne,37.5,4,"52,772.",2020-03-01,0,2,408626,54.9,3,2,5,15,4,66.1,85.2,0,16,4,9,4,Lyon,60.0,4,Ligue_1
56.4,3,2000,2,4,17,4,44.5,77.7,0,12,6,3,4,Amiens,40.0,2,"49,748.",2020-03-06,2,2,408636,43.6,3,1,4,13,0,55.5,81.6,0,13,4,6,1,Marseille,73.9,2,Ligue_1
48.4,2,1900,0,5,13,0,51.7,85.9,0,12,6,4,2,Brest,40.0,2,"11,062.",2020-03-07,0,1,408639,51.6,2,1,5,7,1,48.3,84.4,1,12,7,3,4,Reims,61.5,1,Ligue_1
61.7,4,1400,4,12,13,3,48.7,72.1,0,15,6,5,3,Lille,64.3,3,"20,704.",2020-03-01,1,0,408629,38.3,1,0,3,13,2,51.3,70.8,0,6,2,3,4,Nantes,60.0,4,Ligue_1
54.4,5,1900,2,6,11,1,43.4,69.6,0,16,4,7,3,Nimes,50.0,0,"14,797.",2020-03-07,1,2,408637,45.6,2,2,8,9,2,56.6,75.9,0,14,7,5,6,Metz,82.4,0,Ligue_1
64.7,3,1900,2,3,15,0,49.2,84.6,1,14,7,4,3,Monaco,60.0,4,"21,001.",2020-03-07,1,2,408638,35.3,4,2,6,11,1,50.8,87.4,0,12,3,5,3,Nice,64.7,1,Ligue_1
76.5,3,1900,2,6,6,1,54.9,84.1,0,15,8,4,1,Nantes,63.2,3,"12,132.",2020-03-07,0,2,408633,23.5,3,1,4,9,3,45.1,79.8,0,8,2,3,4,Angers,56.5,0,Ligue_1
32.6,2,1900,1,1,17,1,43.8,72.9,0,6,2,2,1,Toulouse,66.7,2,"12,549.",2020-03-07,1,2,408634,67.4,4,0,5,14,2,56.2,81.0,0,14,7,3,1,Dijon,60.0,2,Ligue_1
45.0,2,2000,2,3,13,2,56.7,79.0,0,9,5,2,2,Lyon,60.9,3,"40,164.",2020-03-08,0,1,408635,55.0,1,4,4,21,0,43.3,73.2,0,12,8,3,2,Lille,87.5,1,Ligue_1
76.2,2,1830,1,5,13,0,64.7,87.9,0,9,1,6,4,Barcelona,64.3,2,,2020-07-11,1,0,416001,23.8,3,1,4,15,0,35.3,81.4,0,13,6,4,5,Real Valladolid,62.5,2,La_Liga
46.9,6,2100,0,4,10,1,62.3,85.7,0,21,12,3,3,Real Betis,61.5,3,,2020-07-11,0,1,415983,53.1,2,1,2,10,2,37.7,76.8,1,9,3,4,3,Atletico Madrid,68.4,1,La_Liga
73.3,5,1600,1,7,10,0,45.6,85.2,0,11,5,1,4,Montpellier,44.4,3,"24,818.",2020-03-08,0,5,408640,26.7,2,3,2,9,0,54.4,88.6,0,16,5,9,1,Rennes,78.6,2,Ligue_1
43.9,2,1600,1,4,11,1,47.3,70.7,0,12,7,3,3,Celta Vigo,71.4,2,,2020-07-11,1,2,415988,56.1,3,2,3,10,1,52.7,71.5,0,15,7,5,2,Osasuna,63.2,2,La_Liga
66.7,1,1600,1,6,14,1,43.8,74.5,0,12,6,5,0,Athletic Bilbao,83.3,1,,2020-07-12,2,1,415987,33.3,2,1,2,11,2,56.2,80.9,0,5,2,1,3,Levante,28.6,0,La_Liga
59.4,5,2100,0,6,7,0,36.7,76.3,0,14,4,5,3,Real Mallorca,66.7,2,,2020-07-12,0,2,415989,40.6,5,1,5,14,4,63.3,85.9,0,14,4,5,5,Sevilla,55.0,3,La_Liga
37.3,1,1300,0,2,14,1,27.8,59.0,0,11,4,6,3,Eibar,56.3,2,,2020-07-12,2,0,415984,62.7,4,0,7,13,2,72.2,82.1,0,14,7,3,4,Espanyol,57.1,2,La_Liga
42.9,2,1830,0,8,9,2,68.4,86.2,0,16,9,5,0,Valencia,62.5,1,,2020-07-12,0,1,415986,57.1,2,0,2,21,1,31.6,68.7,1,10,7,1,5,Leganes,75.0,4,La_Liga
62.1,3,1830,3,10,11,1,47.6,81.2,0,11,2,6,2,Real Sociedad,50.0,2,,2020-07-13,2,1,415991,37.9,2,0,2,12,1,52.4,84.1,0,9,4,3,4,Villarreal,50.0,2,La_Liga
52.4,3,2100,0,3,18,2,62.0,88.9,0,11,3,5,2,Real Madrid,41.7,2,,2020-07-13,2,1,415985,47.6,2,1,5,18,0,38.0,79.5,0,13,7,4,3,Granada,82.4,2,La_Liga
40.3,3,1830,0,4,15,3,53.6,58.0,0,14,7,4,1,Getafe,57.1,2,,2020-07-13,0,0,415982,59.7,1,0,2,26,7,46.4,57.4,0,3,1,1,4,Alaves,46.2,4,La_Liga
48.8,1,2000,4,6,18,3,27.2,69.4,1,9,3,5,6,Alaves,50.0,4,,2020-07-16,2,1,415998,51.2,3,3,6,14,2,72.8,88.0,1,14,4,7,3,Real Betis,66.7,4,La_Liga
36.8,1,2000,1,2,13,1,43.0,85.3,0,8,3,4,5,Villarreal,53.8,2,,2020-07-16,1,2,415999,63.2,1,1,4,13,2,57.0,89.0,0,12,4,7,3,Real Madrid,53.8,3,La_Liga
55.3,4,2000,1,6,18,3,47.4,74.7,0,14,4,6,4,Granada,64.3,5,,2020-07-16,2,1,415997,44.7,6,1,5,14,0,52.6,80.4,2,18,7,5,4,Real Mallorca,45.5,5,La_Liga
50.9,2,2000,1,2,13,3,62.4,83.4,0,8,3,3,4,Sevilla,61.1,2,,2020-07-16,0,0,416000,49.1,4,1,3,16,1,37.6,75.4,0,11,3,4,3,Real Sociedad,70.6,1,La_Liga
57.7,2,2000,2,4,18,0,52.3,85.8,0,18,10,6,2,Espanyol,61.5,4,,2020-07-16,0,1,416011,42.3,4,2,4,9,1,47.7,84.6,1,9,2,3,6,Valencia,58.3,2,La_Liga
50.0,3,2000,2,3,11,4,63.7,77.0,0,11,5,3,5,Atletico Madrid,70.6,2,,2020-07-16,2,0,415996,50.0,2,0,4,14,2,36.3,61.7,1,15,7,6,1,Getafe,65.0,1,La_Liga
44.0,1,2000,3,4,15,1,42.9,74.3,1,8,3,4,4,Levante,57.1,0,,2020-07-16,3,2,415994,56.0,3,2,8,11,3,57.1,80.2,1,16,7,6,1,Celta Vigo,62.5,1,La_Liga
50.0,1,2045,1,2,18,0,49.2,87.6,1,5,1,3,5,AC Milan,55.6,2,,2020-07-12,2,2,419391,50.0,4,1,7,9,3,50.8,89.5,0,17,6,7,1,Napoli,87.5,2,Serie_A
44.8,0,2000,1,2,14,1,20.3,60.4,1,9,4,5,1,Osasuna,62.5,1,,2020-07-16,2,1,415993,55.2,4,1,10,7,2,79.7,89.9,0,18,12,2,3,Barcelona,70.0,4,La_Liga
45.9,6,2000,3,3,11,1,39.2,76.9,0,16,6,4,3,Leganes,64.7,3,,2020-07-16,2,0,415992,54.1,2,1,3,11,3,60.8,84.6,1,10,5,3,2,Athletic Bilbao,72.7,2,La_Liga
53.1,5,1830,0,7,10,0,52.3,84.3,0,16,4,7,3,Sampdoria,57.1,4,,2020-07-12,3,1,419393,46.9,2,1,10,16,0,47.7,81.5,0,11,5,4,4,Udinese,63.2,1,Serie_A
39.0,0,1615,0,2,19,2,44.7,71.7,0,3,3,0,6,Spal,72.0,2,,2020-07-12,0,2,419387,61.0,5,3,7,15,0,55.3,80.7,0,16,3,8,0,Genoa,66.7,1,Serie_A
29.2,1,2045,0,1,10,0,31.0,73.6,0,6,1,4,1,Brescia,47.4,0,,2020-07-14,2,6,419394,70.8,1,3,1,11,1,69.0,90.7,0,14,6,7,2,Atalanta,71.4,0,Serie_A
