HT,AT,League,Date,FTHG,FTAG,HxG,AxG,HShots,AShots,HST,AST,HDEEP,ADEEP,HPPDA,APPDA,HxPTS,AxPTS
Union Berlin,Mainz 05,Bundesliga,2020-10-02,4,0,2.07,0.19,11,5,7,0,1,2,11.08,13.35,2.72,0.17
Eintracht Frankfurt,Hoffenheim,Bundesliga,2020-10-03,2,1,3.57,0.77,16,12,8,4,10,6,12.27,17.6,2.88,0.08
Arsenal,Sheffield United,Premier_League,2020-10-04,2,1,0.67,0.14,6,6,5,2,4,3,13.92,19.35,1.89,0.66
Bayern Munich,Hertha Berlin,Bundesliga,2020-10-04,4,3,3.99,1.25,22,10,9,5,11,1,4.13,12.17,2.82,0.13
Strasbourg,Lille,Ligue_1,2020-10-04,0,3,0.84,1.96,14,12,3,6,10,8,11.86,10.22,0.52,2.28
Bordeaux,Dijon,Ligue_1,2020-10-04,3,0,1.5,0.24,17,5,7,1,2,2,9.26,13.12,2.47,0.33
Rubin Kazan,FK Akhmat,RFPL,2020-10-04,1,1,0.95,0.98,10,8,5,2,8,11,7.69,6.8,1.25,1.37
Werder Bremen,Arminia Bielefeld,Bundesliga,2020-10-03,1,0,0.35,1.02,7,10,2,5,5,7,20.58,7.7,0.65,2.03
Osasuna,Celta Vigo,La_Liga,2020-10-04,2,0,1.12,0.36,13,9,5,3,6,8,7.14,5.52,2.11,0.59
Southampton,West Bromwich Albion,Premier_League,2020-10-04,2,0,0.95,0.16,13,5,7,2,6,1,5.09,15.84,2.12,0.52
Elche,SD Huesca,La_Liga,2020-10-03,0,0,0.19,1.7,2,18,0,4,0,12,10.39,7.72,0.24,2.6
Parma Calcio 1913,Verona,Serie_A,2020-10-04,1,0,1.23,0.63,11,8,4,2,3,10,24.33,6.82,1.91,0.78
Wolfsburg,Augsburg,Bundesliga,2020-10-04,0,0,1.32,1.81,19,8,6,1,7,4,6.28,15.13,0.93,1.82
Real Madrid,Real Valladolid,La_Liga,2020-09-30,1,0,2.65,0.54,15,11,5,5,9,2,11.21,17.74,2.76,0.16
Athletic Club,Cadiz,La_Liga,2020-10-01,0,1,0.55,0.26,13,3,4,1,5,4,4.4,11.57,1.55,0.94
Real Valladolid,Eibar,La_Liga,2020-10-03,1,2,1.09,1.69,9,11,3,5,3,2,8.0,7.68,0.79,1.9
Dinamo Moscow,FC Krasnodar,RFPL,2020-10-04,2,0,1.48,1.11,15,14,10,3,1,13,9.59,7.17,1.67,1.05
FC Cologne,Borussia M.Gladbach,Bundesliga,2020-10-03,1,3,0.24,2.06,8,15,2,11,2,12,12.94,7.06,0.16,2.73
Newcastle United,Burnley,Premier_League,2020-10-03,3,1,1.96,0.44,10,7,5,3,4,10,20.75,9.42,2.61,0.25
