HT,AT,League,Date,FTHG,FTAG,HxG,AxG,HShots,AShots,HST,AST,HDEEP,ADEEP,HPPDA,APPDA,HxPTS,AxPTS
Dijon,Brest,Ligue_1,2020-09-13,0,2,0.3,2.2,7,19,3,5,5,4,11.43,9.97,0.18,2.71
PFC Sochi,Khimki,RFPL,2020-08-14,1,1,1.08,1.24,15,13,5,5,5,5,12.06,11.0,1.19,1.51
Zenit St. Petersburg,FC Tambov,RFPL,2020-08-22,4,1,3.73,0.3,25,6,10,4,13,2,8.62,29.44,2.96,0.03
Arsenal Tula,FK Akhmat,RFPL,2020-08-09,0,0,0.81,0.45,6,10,1,2,6,4,7.73,9.31,1.73,0.88
Sheffield United,Wolverhampton Wanderers,Premier_League,2020-09-14,0,2,0.95,1.61,9,11,2,4,10,3,8.23,31.33,0.8,1.91
Khimki,FC Rotor Volgograd,RFPL,2020-08-29,1,1,1.32,0.56,17,8,3,2,5,2,7.82,12.89,2.01,0.7
FC Krasnodar,Arsenal Tula,RFPL,2020-08-18,2,0,1.95,0.66,14,11,7,4,9,2,6.0,11.33,2.42,0.39
Lorient,Lens,Ligue_1,2020-09-13,2,3,0.92,1.99,6,12,3,6,3,8,6.91,7.15,0.49,2.26
Metz,Monaco,Ligue_1,2020-08-30,0,1,0.63,0.19,14,3,4,2,4,2,8.74,10.37,1.76,0.77
Spartak Moscow,PFC Sochi,RFPL,2020-08-09,2,2,1.46,2.13,13,15,4,4,9,4,25.0,22.77,0.86,1.9
Zenit St. Petersburg,CSKA Moscow,RFPL,2020-08-19,2,1,1.18,0.68,16,13,7,4,22,7,12.43,15.79,1.78,0.91
Lille,Rennes,Ligue_1,2020-08-22,1,1,0.4,1.3,5,16,1,3,1,6,16.5,23.07,0.54,2.18
Spartak Moscow,Lokomotiv Moscow,RFPL,2020-08-23,2,1,1.56,0.71,17,9,8,3,10,4,6.6,8.87,2.05,0.7
Arsenal Tula,Khimki,RFPL,2020-08-25,1,1,1.39,0.29,27,3,4,2,8,1,7.2,11.2,2.28,0.46
