web-scraper-order,web-scraper-start-url,Games,Games-href,HomeTeam,AwayTeam,League,Date,HGoals,AGoals,HxG,AxG,HShots,AShots,HST,AST,HDEEP,ADEEP,HPPDA,APPDA,HxPTS,AxPTS
1604424124-193,https://understat.com/league/La_liga,110.230.81,https://understat.com/match/14850,Granada,Levante,La liga,Nov 01 2020,1,1,0.23,0.81,5,19,2,4,4,15,35.17,5.06,0.7,1.88
1604423989-175,https://understat.com/league/Bundesliga,311.791.01,https://understat.com/match/15187,Augsburg,Mainz 05,Bundesliga,Oct 31 2020,3,1,1.79,1.01,13,9,6,4,6,5,16.6,8.2,2.01,0.73
1604423925-166,https://understat.com/league/Serie_A,223.050.76,https://understat.com/match/15478,Inter,Parma Calcio 1913,Serie A,Oct 31 2020,2,2,3.05,0.76,25,5,9,3,10,2,4.03,28.11,2.72,0.19
1604423918-165,https://understat.com/league/Serie_A,321.471.27,https://understat.com/match/15476,Bologna,Cagliari,Serie A,Oct 31 2020,3,2,1.47,1.27,22,7,9,3,11,9,11.0,6.54,1.5,1.24
1604424097-190,https://understat.com/league/EPL,141.753.08,https://understat.com/match/14498,Leeds,Leicester,EPL,Nov 02 2020,1,4,1.75,3.08,11,10,4,8,7,5,6.74,36.9,0.52,2.3
1604424060-184,https://understat.com/league/EPL,211.560.27,https://understat.com/match/14499,Liverpool,West Ham,EPL,Oct 31 2020,2,1,1.56,0.27,9,4,5,3,12,0,6.91,35.38,2.56,0.27
1604423982-174,https://understat.com/league/Bundesliga,020.262.76,https://understat.com/match/15188,Arminia Bielefeld,Borussia Dortmund,Bundesliga,Oct 31 2020,0,2,0.26,2.76,5,21,2,10,0,18,26.5,7.57,0.09,2.85
1604424117-192,https://understat.com/league/La_liga,221.762.36,https://understat.com/match/14853,Valencia,Getafe,La liga,Nov 01 2020,2,2,1.76,2.36,11,16,5,5,4,8,6.72,3.25,0.91,1.85
1604424215-206,https://understat.com/league/Ligue_1,010.780.86,https://understat.com/match/15840,Nimes,Metz,Ligue 1,Nov 01 2020,0,1,0.78,0.86,16,8,2,5,6,1,6.57,15.9,1.22,1.43
1604423900-162,https://understat.com/league/Serie_A,342.471.76,https://understat.com/match/15483,Torino,Lazio,Serie A,Nov 01 2020,3,4,2.47,1.76,11,12,4,5,2,9,23.43,7.09,1.93,0.83
