web-scraper-order,web-scraper-start-url,Games,Games-href,League,Teams,Date,Time,ODDH,ODDD,ODDA,ODD_25+2,ODD_25-2,ODD_BthScore_Yes2,ODD_BthScore_No2,Tag25,TagBthScore ,ODD_1X,ODD_12,ODD_X2,TagDC
"1595158326-357","https://www.betclic.pt/futebol-s1/italia-serie-a-c6","Hoje



18:30

                    Itália - Serie A
                
                Fiorentina - Torino
            

            
            
                

    Resultado
    
        
            
    
        Fioren
        tina
    
    1,92
    


            
    
        Emp
        ate
    
    3,60
    


            
    
        Tor
        ino
    
    3,97
    


        
    


                

    Resultado duplo
    
        
            
    
        Fiorentina ou em
        pate
    
    1,27
    


            
    
        Fiorentina ou To
        rino
    
    1,30
    


            
    
        Torino ou em
        pate
    
    1,85
    


        
    


                
    193
    
        apostas","https://www.betclic.pt/futebol-s1/italia-serie-a-c6/fiorentina-torino-m2567277","Itália - Serie A","Fiorentina - Torino","Hoje","18:30","1,92","3,60","3,97","1,62","1,95","1,55","2,00","Acima de 2.5","As duas equipas marcam","1,27","1,30","1,85","Resultado duplo"
"1595157891-280","https://www.betclic.pt/futebol-s1/escocia-premiership-c33","01/08/2020
15:00

                    Escócia - Premiership
                
                Hibernian - Kilmarnock
            

            
            
                

    Resultado
    
        
            
    
        Hibe
        rnian
    
    2,05
    


            
    
        Emp
        ate
    
    3,30
    


            
    
        Kilmar
        nock
    
    3,23
    


        
    


                

    Resultado duplo
    
        
            
    
        Hibernian ou em
        pate
    
    1,28
    


            
    
        Hibernian ou Kilmar
        nock
    
    1,27
    


            
    
        Kilmarnock ou em
        pate
    
    1,65
    


        
    


                
    105
    
        apostas","https://www.betclic.pt/futebol-s1/escocia-premiership-c33/hibernian-kilmarnock-m2564688","Escócia - Premiership","Hibernian - Kilmarnock","01/08/2020","15:00","2,05","3,30","3,23","1,72","1,68","1,65","1,88","Acima de 2.5","As duas equipas marcam","1,28","1,27","1,65","Resultado duplo"
"1595158028-304","https://www.betclic.pt/futebol-s1/liga-europa-c3453","06/08/2020
20:00

                    Liga Europa
                
                Wolves - Olympiacos
            

            
            
                

    Resultado
    
        
            
    
        Wol
        ves
    
    1,82
    


            
    
        Emp
        ate
    
    3,15
    


            
    
        Olympi
        acos
    
    4,08
    


        
    


                

    Resultado duplo
    
        
            
    
        Wolves ou em
        pate
    
    1,19
    


            
    
        Wolves ou Olympi
        acos
    
    1,27
    


            
    
        Olympiacos ou em
        pate
    
    1,80
    


        
    


                
    108
    
        apostas","https://www.betclic.pt/futebol-s1/liga-europa-c3453/wolves-olympiacos-m2564053","Liga Europa","Wolves - Olympiacos","06/08/2020","20:00","1,82","3,15","4,08","null","null","1,52","2,00","null","Total de golos visitantes","1,32","2,55","null","Vencedor da eliminatória"
"1595158137-323","https://www.betclic.pt/futebol-s1/inglaterra-premier-lg-c3","Amanhã


18:00

                    Inglaterra - Premier Lg.
                
                Brighton - Newcastle
            

            
            
                

    Resultado
    
        
            
    
        Brig
        hton
    
    1,77
    


            
    
        Emp
        ate
    
    3,42
    


            
    
        Newc
        astle
    
    4,28
    


        
    


                

    Resultado duplo
    
        
            
    
        Brighton ou em
        pate
    
    1,19
    


            
    
        Brighton ou Newca
        stle
    
    1,27
    


            
    
        Newcastle ou em
        pate
    
    1,88
    


        
    


                
    193
    
        apostas","https://www.betclic.pt/futebol-s1/inglaterra-premier-lg-c3/brighton-newcastle-m2570202","Inglaterra - Premier Lg.","Brighton - Newcastle","Amanhã","18:00","1,77","3,42","4,28","1,88","1,62","1,80","1,70","Acima de 2.5","As duas equipas marcam","1,19","1,27","1,88","Resultado duplo"
"1595157993-298","https://www.betclic.pt/futebol-s1/inglaterra-championship-c28","22/07/2020
19:30

                    Inglaterra - Championship
                
                Brentford - Barnsley
            

            
            
                

    Resultado
    
        
            
    
        Bren
        tford
    
    1,31
    


            
    
        Emp
        ate
    
    4,75
    


            
    
        Barn
        sley
    
    8,05
    


        
    


                

    Resultado duplo
    
        
            
    
        Brentford ou em
        pate
    
    1,07
    


            
    
        Brentford ou Barn
        sley
    
    1,13
    


            
    
        Barnsley ou em
        pate
    
    3,10
    


        
    


                
    103
    
        apostas","https://www.betclic.pt/futebol-s1/inglaterra-championship-c28/brentford-barnsley-m2576829","Inglaterra - Championship","Brentford - Barnsley","22/07/2020","19:30","1,31","4,75","8,05","1,48","1,95","1,85","1,68","Acima de 2.5","As duas equipas marcam","1,07","1,13","3,10","Resultado duplo"
"1595158372-365","https://www.betclic.pt/futebol-s1/espanha-la-liga-c7","Hoje



20:00

                    Espanha - La Liga
                
                Atlético Madrid - Real Sociedad
            

            
            
                

    Resultado
    
        
            
    
        Atlético Ma
        drid
    
    2,12
    


            
    
        Emp
        ate
    
    2,99
    


            
    
        Real Soci
        edad
    
    3,95
    


        
    


                

    Resultado duplo
    
        
            
    
        Atlético Madrid ou em
        pate
    
    1,25
    


            
    
        Atlético Madrid ou Real Soci
        edad
    
    1,38
    


            
    
        Real Sociedad ou em
        pate
    
    1,68
    


        
    


                
    196
    
        apostas","https://www.betclic.pt/futebol-s1/espanha-la-liga-c7/atletico-madrid-real-sociedad-m2572612","Espanha - La Liga","Atlético Madrid - Real Sociedad","Hoje","20:00","2,12","2,99","3,95","2,20","1,48","1,90","1,65","Acima de 2.5","As duas equipas marcam","1,25","1,38","1,68","Resultado duplo"
"1595158357-362","https://www.betclic.pt/futebol-s1/espanha-la-liga-c7","Hoje



20:00

                    Espanha - La Liga
                
                Osasuna - Maiorca
            

            
            
                

    Resultado
    
        
            
    
        Osa
        suna
    
    1,85
    


            
    
        Emp
        ate
    
    3,75
    


            
    
        Mai
        orca
    
    3,97
    


        
    


                

    Resultado duplo
    
        
            
    
        Osasuna ou em
        pate
    
    1,25
    


            
    
        Osasuna ou Mai
        orca
    
    1,28
    


            
    
        Maiorca ou em
        pate
    
    1,90
    


        
    


                
    189
    
        apostas","https://www.betclic.pt/futebol-s1/espanha-la-liga-c7/osasuna-maiorca-m2572615","Espanha - La Liga","Osasuna - Maiorca","Hoje","20:00","1,85","3,75","3,97","1,62","1,95","1,58","1,95","Acima de 2.5","As duas equipas marcam","1,25","1,28","1,90","Resultado duplo"
"1595158383-367","https://www.betclic.pt/futebol-s1/espanha-la-liga-c7","Hoje



20:00

                    Espanha - La Liga
                
                Espanyol - Celta Vigo
            

            
            
                

    Resultado
    
        
            
    
        Espa
        nyol
    
    5,05
    


            
    
        Emp
        ate
    
    3,62
    


            
    
        Celta 
        Vigo
    
    1,71
    


        
    


                

    Resultado duplo
    
        
            
    
        Espanyol ou em
        pate
    
    2,10
    


            
    
        Espanyol ou Celta 
        Vigo
    
    1,30
    


            
    
        Celta Vigo ou em
        pate
    
    1,19
    


        
    


                
    188
    
        apostas","https://www.betclic.pt/futebol-s1/espanha-la-liga-c7/espanyol-celta-vigo-m2572610","Espanha - La Liga","Espanyol - Celta Vigo","Hoje","20:00","5,05","3,62","1,71","2,00","1,60","1,90","1,62","Acima de 2.5","As duas equipas marcam","2,10","1,30","1,19","Resultado duplo"
"1595158168-328","https://www.betclic.pt/futebol-s1/eua-mls-c504","23/07/2020
03:30

                    EUA - MLS
                
                Rapids - Minnesota United
            

            
            
                

    Resultado
    
        
            
    
        Rap
        ids
    
    2,98
    


            
    
        Emp
        ate
    
    3,38
    


            
    
        Minnesota Un
        ited
    
    2,00
    


        
    


                

    Resultado duplo
    
        
            
    
        Rapids ou em
        pate
    
    1,60
    


            
    
        Rapids ou Minnesota Un
        ited
    
    1,22
    


            
    
        Minnesota United ou em
        pate
    
    1,27
    


        
    


                
    105
    
        apostas","https://www.betclic.pt/futebol-s1/eua-mls-c504/rapids-minnesota-united-m2560439","EUA - MLS","Rapids - Minnesota United","23/07/2020","03:30","2,98","3,38","2,00","1,50","1,95","1,45","2,05","Acima de 2.5","As duas equipas marcam","1,60","1,22","1,27","Resultado duplo"
"1595158106-317","https://www.betclic.pt/futebol-s1/inglaterra-premier-lg-c3","22/07/2020
20:15

                    Inglaterra - Premier Lg.
                
                Liverpool - Chelsea
            

            
            
                

    Resultado
    
        
            
    
        Live
        rpool
    
    1,97
    


            
    
        Emp
        ate
    
    3,55
    


            
    
        Che
        lsea
    
    3,33
    


        
    


                

    Resultado duplo
    
        
            
    
        Liverpool ou em
        pate
    
    1,28
    


            
    
        Liverpool ou Che
        lsea
    
    1,25
    


            
    
        Chelsea ou em
        pate
    
    1,70
    


        
    


                
    153
    
        apostas","https://www.betclic.pt/futebol-s1/inglaterra-premier-lg-c3/liverpool-chelsea-m2572590","Inglaterra - Premier Lg.","Liverpool - Chelsea","22/07/2020","20:15","1,97","3,55","3,33","1,48","2,10","1,42","2,20","Acima de 2.5","As duas equipas marcam","1,28","1,25","1,70","Resultado duplo"
