web-scraper-order,web-scraper-start-url,Games,Games-href,Date,Teams,ODDH,ODDD,ODDA,Warning
"1600973252-620","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Charlton - Reading","https://www.oddsportal.com/soccer/england/championship-2019-2020/charlton-reading-lIb6AXCA/","Saturday, 11 Jul  2020, 11:30","Charlton - Reading","2.47","3.14","3.09","Final result"
"1600972587-354","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Nottingham - Middlesbrough","https://www.oddsportal.com/soccer/england/championship-2019-2020/nottingham-middlesbrough-ChF69sZn/","Tuesday, 10 Dec  2019, 18:45","Nottingham - Middlesbrough","1.76","3.68","4.86","Final result"
"1600972379-271","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","West Brom - Charlton","https://www.oddsportal.com/soccer/england/championship-2019-2020/west-brom-charlton-t4TIDAxQ/","Saturday, 26 Oct  2019, 14:00","West Brom - Charlton","1.41","4.80","7.78","Final result"
"1600972574-349","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Fulham - Bristol City","https://www.oddsportal.com/soccer/england/championship-2019-2020/fulham-bristol-city-QXEh2QRJ/","Saturday, 07 Dec  2019, 14:00","Fulham - Bristol City","1.65","4.13","5.12","Final result"
"1600972907-481","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Huddersfield - QPR","https://www.oddsportal.com/soccer/england/championship-2019-2020/huddersfield-qpr-WCjSUtsS/","Saturday, 08 Feb  2020, 14:00","Huddersfield - QPR","2.28","3.33","3.26","Final result"
"1600973339-655","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","West Brom - QPR","https://www.oddsportal.com/soccer/england/championship-2019-2020/west-brom-qpr-4nzYk0WJ/","Wednesday, 22 Jul  2020, 18:30","West Brom - QPR","1.24","6.37","12.06","Final result"
"1600973045-537","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Reading - Barnsley","https://www.oddsportal.com/soccer/england/championship-2019-2020/reading-barnsley-O0hr92Fp/","Saturday, 29 Feb  2020, 14:00","Reading - Barnsley","2.42","3.32","3.03","Final result"
"1600973344-657","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Reading - Swansea","https://www.oddsportal.com/soccer/england/championship-2019-2020/reading-swansea-rs5Qpp6F/","Wednesday, 22 Jul  2020, 18:30","Reading - Swansea","3.75","3.67","1.97","Final result"
"1600973229-611","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Millwall - Middlesbrough","https://www.oddsportal.com/soccer/england/championship-2019-2020/millwall-middlesbrough-ABBvdYcH/","Wednesday, 08 Jul  2020, 14:00","Millwall - Middlesbrough","2.25","3.17","3.46","Final result"
"1600972788-435","https://www.oddsportal.com/soccer/england/championship-2019-2020/results/","Barnsley - Huddersfield","https://www.oddsportal.com/soccer/england/championship-2019-2020/barnsley-huddersfield-UmrFKs1U/","Saturday, 11 Jan  2020, 14:00","Barnsley - Huddersfield","2.18","3.52","3.30","Final result"
