web-scraper-order,web-scraper-start-url,Games,Games-href,Date,Teams,ODDH,ODDD,ODDA,Warning
"1600979861-1577","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Hearts - Kilmarnock","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/hearts-kilmarnock-htQtiZEo/","Saturday, 04 May  2019, 14:00","Hearts - Kilmarnock","2.88","3.11","2.60","Final result"
"1600979606-1476","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","St. Mirren - St Johnstone","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/st-mirren-st-johnstone-EHylNdcQ/","Wednesday, 26 Dec  2018, 13:00","St. Mirren - St Johnstone","3.51","3.25","2.16","Final result"
"1600979637-1488","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","St Johnstone - Livingston","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/st-johnstone-livingston-KIt2UD4g/","Wednesday, 23 Jan  2019, 18:45","St Johnstone - Livingston","2.17","2.94","3.96","Final result"
"1600979796-1551","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Rangers - Hearts","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/rangers-hearts-tSqJGlym/","Wednesday, 03 Apr  2019, 18:45","Rangers - Hearts","1.44","4.54","7.34","Final result"
"1600979883-1586","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","St. Mirren - Hamilton","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/st-mirren-hamilton-QFyHi65d/","Monday, 13 May  2019, 18:45","St. Mirren - Hamilton","1.96","3.49","3.88","Final result"
"1600979401-1404","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Livingston - Rangers","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/livingston-rangers-Y1f6SxHF/","Sunday, 30 Sep  2018, 12:30","Livingston - Rangers","7.25","4.37","1.45","Final result"
"1600979788-1548","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Celtic - Rangers","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/celtic-rangers-67AFJHiR/","Sunday, 31 Mar  2019, 11:00","Celtic - Rangers","1.83","3.55","4.45","Final result"
"1600979459-1427","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Motherwell - Dundee FC","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/motherwell-dundee-fc-hpnVmpqg/","Saturday, 03 Nov  2018, 14:00","Motherwell - Dundee FC","1.70","3.83","4.84","Final result"
"1600979746-1531","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Hibernian - Rangers","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/hibernian-rangers-KjnY6v8L/","Friday, 08 Mar  2019, 18:45","Hibernian - Rangers","5.38","4.08","1.61","Final result"
"1600979590-1470","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Motherwell - St. Mirren","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/motherwell-st-mirren-A5hs4Hjl/","Saturday, 22 Dec  2018, 14:00","Motherwell - St. Mirren","1.84","3.34","4.70","Final result"
"1600979416-1410","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","St Johnstone - Celtic","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/st-johnstone-celtic-ELByrIG2/","Sunday, 07 Oct  2018, 14:30","St Johnstone - Celtic","9.60","4.94","1.33","Final result"
"1600979489-1439","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","St. Mirren - Hearts","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/st-mirren-hearts-A9bPcLCH/","Saturday, 24 Nov  2018, 14:00","St. Mirren - Hearts","5.11","3.65","1.71","Final result"
"1600979753-1534","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Dundee FC - Hearts","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/dundee-fc-hearts-t0mU7KhF/","Saturday, 09 Mar  2019, 14:00","Dundee FC - Hearts","4.60","3.80","1.74","Final result"
"1600979339-1379","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Motherwell - Rangers","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/motherwell-rangers-SWRQb7dI/","Sunday, 26 Aug  2018, 11:15","Motherwell - Rangers","5.77","3.65","1.66","Final result"
"1600979346-1382","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Hearts - St. Mirren","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/hearts-st-mirren-MTTc10IG/","Saturday, 01 Sep  2018, 14:00","Hearts - St. Mirren","1.47","4.37","7.05","Final result"
"1600979532-1456","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Hamilton - Hibernian","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/hamilton-hibernian-Gp8NAS73/","Saturday, 08 Dec  2018, 14:00","Hamilton - Hibernian","4.79","3.75","1.73","Final result"
"1600979736-1527","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Hearts - Celtic","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/hearts-celtic-nRyZma1q/","Wednesday, 27 Feb  2019, 18:45","Hearts - Celtic","5.64","3.93","1.60","Final result"
"1600979708-1516","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Aberdeen - St. Mirren","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/aberdeen-st-mirren-YaXGsOvA/","Saturday, 16 Feb  2019, 14:00","Aberdeen - St. Mirren","1.41","4.31","8.54","Final result"
"1600979336-1378","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Hibernian - Aberdeen","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/hibernian-aberdeen-fJTI0TR5/","Saturday, 25 Aug  2018, 14:00","Hibernian - Aberdeen","2.52","3.22","2.90","Final result"
"1600979502-1444","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","St. Mirren - Hamilton","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/st-mirren-hamilton-2czjEtcb/","Saturday, 01 Dec  2018, 14:00","St. Mirren - Hamilton","2.29","3.21","3.27","Final result"
"1600979622-1482","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Rangers - Celtic","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/rangers-celtic-0E9yEhKC/","Saturday, 29 Dec  2018, 11:30","Rangers - Celtic","3.00","3.21","2.46","Final result"
"1600979768-1540","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Aberdeen - Livingston","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/aberdeen-livingston-ClRCad0e/","Saturday, 16 Mar  2019, 14:00","Aberdeen - Livingston","1.64","3.69","5.74","Final result"
"1600979831-1565","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Kilmarnock - Aberdeen","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/kilmarnock-aberdeen-YJ7Fm08g/","Saturday, 20 Apr  2019, 14:00","Kilmarnock - Aberdeen","2.28","3.09","3.44","Final result"
"1600979681-1505","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Hamilton - Dundee FC","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/hamilton-dundee-fc-UkPPqg4t/","Saturday, 02 Feb  2019, 14:00","Hamilton - Dundee FC","2.60","3.25","2.77","Final result"
"1600979507-1446","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Kilmarnock - Hibernian","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/kilmarnock-hibernian-MmSsG2So/","Saturday, 01 Dec  2018, 14:00","Kilmarnock - Hibernian","2.64","3.26","2.71","Final result"
"1600979642-1490","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Kilmarnock - Rangers","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/kilmarnock-rangers-ChwfWZZt/","Wednesday, 23 Jan  2019, 18:45","Kilmarnock - Rangers","5.75","3.92","1.60","Final result"
"1600979696-1511","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Celtic - Hibernian","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/celtic-hibernian-6mhIMM2p/","Wednesday, 06 Feb  2019, 18:45","Celtic - Hibernian","1.26","5.68","11.64","Final result"
"1600979477-1434","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Hearts - Kilmarnock","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/hearts-kilmarnock-MPwnp2rI/","Saturday, 10 Nov  2018, 14:00","Hearts - Kilmarnock","2.10","3.28","3.61","Final result"
"1600979562-1468","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","Hibernian - Rangers","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/hibernian-rangers-lvQJfe08/","Wednesday, 19 Dec  2018, 18:45","Hibernian - Rangers","4.20","3.75","1.82","Final result"
"1600979686-1507","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/results/","St. Mirren - Motherwell","https://www.oddsportal.com/soccer/scotland/premiership-2018-2019/st-mirren-motherwell-f9YCr4P3/","Wednesday, 06 Feb  2019, 18:45","St. Mirren - Motherwell","3.04","3.11","2.49","Final result"
