,web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,Tag25,ODD_15+,ODD_15-,Tag15,ODD_35+,ODD_35-,Tag35,ODD_BthScore_Yes,ODD_BthScore_No,TagBS,ODD_1X,ODD_12,ODD_X2,Tag1X,Tag12,TagX2,Current_Date
87,1600446102-36,https://www.betano.pt/sport/futebol/franca/ligue-1/215r/,"Marselha
              
                Lille",https://www.betano.pt/odds/marselha-lille/6374159/,Ligue 1,"Domingo, 20 Setembro 2020 20:00",Marselha,Lille,2.3,3.1,3.1,2.14,1.47,Mais de2.5,1.36,2.4,Mais de1.5,3.75,1.13,Mais de3.5,1.85,1.65,Ambas Equipas Marcam (Sim/Não),1.31,1.28,1.55,1X,12.0,2X,"Sexta-feira, 18 Setembro 2020 17:21"
88,1600446130-39,https://www.betano.pt/sport/futebol/franca/ligue-1/215r/,"Stade Brestois 29
              
                FC Lorient",https://www.betano.pt/odds/stade-brestois-29-fc-lorient/6374156/,Ligue 1,"Domingo, 20 Setembro 2020 14:00",Stade Brestois 29,FC Lorient,2.35,3.15,2.98,1.87,1.63,Mais de2.5,1.27,2.76,Mais de1.5,3.1,1.21,Mais de3.5,1.65,1.83,Ambas Equipas Marcam (Sim/Não),1.35,1.26,1.53,1X,12.0,2X,"Sexta-feira, 18 Setembro 2020 17:21"
89,1600446841-113,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,"FC Porto
              
                SC Braga",https://www.betano.pt/odds/fc-porto-sc-braga/6361743/,Primeira Liga,"Sábado, 19 Setembro 2020 21:00",FC Porto,SC Braga,1.63,3.85,4.9,1.65,1.91,Mais de2.5,1.19,3.45,Mais de1.5,2.6,1.35,Mais de3.5,1.65,1.91,Ambas Equipas Marcam (Sim/Não),1.14,1.19,2.16,1X,12.0,2X,"Sexta-feira, 18 Setembro 2020 17:31"
90,1600446504-77,https://www.betano.pt/sport/futebol/russia/premier-liga/17098r/,"Rubin Kazan
              
                Spartak Moscovo",https://www.betano.pt/odds/rubin-kazan-spartak-moscovo/6293927/,Premier Liga,"Domingo, 20 Setembro 2020 14:30",Rubin Kazan,Spartak Moscovo,3.35,3.2,2.13,2.02,1.5,Mais de2.5,1.32,2.5,Mais de1.5,3.45,1.15,Mais de3.5,1.78,1.67,Ambas Equipas Marcam (Sim/Não),1.63,1.26,1.28,1X,12.0,2X,"Sexta-feira, 18 Setembro 2020 17:27"
91,1600446003-26,https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/,"Hertha Berlin
              
                Eintracht Frankfurt",https://www.betano.pt/odds/hertha-berlin-eintracht-frankfurt/6172674/,Bundesliga,"Sexta-feira, 25 Setembro 2020 14:30",Hertha Berlin,Eintracht Frankfurt,2.18,3.4,3.05,1.60,2.0,Mais de2.5,1.18,3.55,Mais de1.5,2.45,1.38,Mais de3.5,1.5,2.19,Ambas Equipas Marcam (Sim/Não),1.33,1.24,1.61,1X,12.0,2X,"Sexta-feira, 18 Setembro 2020 17:18"
92,1600446892-118,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"Lázio
              
                Atalanta",https://www.betano.pt/odds/lazio-atalanta/6400671/,Série A,"Quarta-feira, 30 Setembro 2020 19:45",Lázio,Atalanta,2.3,3.55,2.74,1.50,2.17,Mais de2.5,1.14,3.95,Mais de1.5,2.2,1.47,Mais de3.5,1.42,2.35,Ambas Equipas Marcam (Sim/Não),1.40,1.22,1.53,1X,12.0,2X,"Sexta-feira, 18 Setembro 2020 17:34"
93,1600447116-142,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Tottenham
              
                Newcastle",https://www.betano.pt/odds/tottenham-newcastle/6475944/,Premier League,"Domingo, 27 Setembro 2020 14:00",Tottenham,Newcastle,1.5,4.2,5.65,1.65,1.91,Mais de2.5,1.18,3.5,Mais de1.5,2.62,1.33,Mais de3.5,1.75,1.8,Ambas Equipas Marcam (Sim/Não),1.11,1.16,2.4,1X,12.0,2X,"Sexta-feira, 18 Setembro 2020 17:37"
94,1600446734-101,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,"Belenenses SAD
              
                Famalicão",https://www.betano.pt/odds/belenenses-sad-famalicao/6486172/,Primeira Liga,"Segunda-feira, 28 Setembro 2020 19:45",Belenenses SAD,Famalicão,2.86,3.05,2.5,1.70,1.78,Mais de2.5,1.21,3.1,Mais de1.5,2.65,1.3,Mais de3.5,1.53,2.04,Ambas Equipas Marcam (Sim/Não),1.47,1.28,1.36,1X,12.0,2X,"Sexta-feira, 18 Setembro 2020 17:31"
95,1600446252-51,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Derby County
              
                Blackburn Rovers",https://www.betano.pt/odds/derby-county-blackburn-rovers/6347448/,Championship,"Sábado, 26 Setembro 2020 15:00",Derby County,Blackburn Rovers,2.5,3.1,2.8,1.87,1.63,Mais de2.5,1.27,2.76,Mais de1.5,3.1,1.21,Mais de3.5,1.65,1.85,Ambas Equipas Marcam (Sim/Não),1.38,1.27,1.47,1X,12.0,2X,"Sexta-feira, 18 Setembro 2020 17:23"
96,1600445918-17,https://www.betano.pt/sport/futebol/holanda/eredivisie/17067r/,"VVV Venlo
              
                FC Utrecht",https://www.betano.pt/odds/vvv-venlo-fc-utrecht/6277784/,Eredivisie,"Sexta-feira, 18 Setembro 2020 19:00",VVV Venlo,FC Utrecht,3.9,3.6,1.83,1.55,2.0,Mais de2.5,1.16,3.5,Mais de1.5,2.35,1.38,Mais de3.5,1.5,2.05,Ambas Equipas Marcam (Sim/Não),1.88,1.2,1.21,1X,12.0,2X,"Sexta-feira, 18 Setembro 2020 17:16"
97,1600445836-8,https://www.betano.pt/sport/futebol/holanda/eredivisie/17067r/,"FC Twente Enschede
              
                FC Groningen",https://www.betano.pt/odds/fc-twente-enschede-fc-groningen/6340356/,Eredivisie,"Sexta-feira, 25 Setembro 2020 19:00",FC Twente Enschede,FC Groningen,2.4,3.4,2.7,1.36,1.44,1X,,,,,,,,,,,,,,,,"Sexta-feira, 18 Setembro 2020 17:16"
98,1600445845-9,https://www.betano.pt/sport/futebol/holanda/eredivisie/17067r/,"Ajax
              
                RKC Waalwijk",https://www.betano.pt/odds/ajax-rkc-waalwijk/6287343/,Eredivisie,"Domingo, 20 Setembro 2020 15:45",Ajax,RKC Waalwijk,1.05,11.5,24.0,1.83,1.65,Mais de4.5,-,6.2,Mais de1.5,1.11,4.05,Mais de2.5,1.88,1.61,Ambas Equipas Marcam (Sim/Não),-,1.02,8.0,1X,12.0,2X,"Sexta-feira, 18 Setembro 2020 17:16"
99,1600447009-131,https://www.betano.pt/sport/futebol/italia/serie-a/1635/,"AC Milão
              
                Bolonha",https://www.betano.pt/odds/ac-milao-bolonha/6400672/,Série A,"Segunda-feira, 21 Setembro 2020 19:45",AC Milão,Bolonha,1.53,4.15,5.3,1.50,2.14,Mais de2.5,1.14,3.95,Mais de1.5,2.25,1.45,Mais de3.5,1.57,2.02,Ambas Equipas Marcam (Sim/Não),1.12,1.17,2.33,1X,12.0,2X,"Sexta-feira, 18 Setembro 2020 17:34"
100,1600445935-18,https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/,"Friburgo
              
                Wolfsburgo",https://www.betano.pt/odds/friburgo-wolfsburgo/6172673/,Bundesliga,"Domingo, 27 Setembro 2020 17:00",Friburgo,Wolfsburgo,2.86,3.25,2.37,1.75,1.78,Mais de2.5,1.24,3.1,Mais de1.5,2.86,1.28,Mais de3.5,1.6,2.0,Ambas Equipas Marcam (Sim/Não),1.50,1.27,1.36,1X,12.0,2X,"Sexta-feira, 18 Setembro 2020 17:18"
101,1600446699-98,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"Celta de Vigo
              
                Valência",https://www.betano.pt/odds/celta-de-vigo-valencia/6444107/,LaLiga,"Sábado, 19 Setembro 2020 20:00",Celta de Vigo,Valência,2.2,3.4,3.0,1.88,1.67,Mais de2.5,1.27,2.94,Mais de1.5,3.15,1.23,Mais de3.5,1.7,1.85,Ambas Equipas Marcam (Sim/Não),1.33,1.24,1.6,1X,12.0,2X,"Sexta-feira, 18 Setembro 2020 17:29"
102,1600446333-60,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Sheffield Wednesday
              
                Watford",https://www.betano.pt/odds/sheffield-wednesday-watford/6292144/,Championship,"Sábado, 19 Setembro 2020 15:00",Sheffield Wednesday,Watford,2.8,3.05,2.54,2.05,1.5,Mais de2.5,1.33,2.5,Mais de1.5,3.55,1.15,Mais de3.5,1.78,1.7,Ambas Equipas Marcam (Sim/Não),1.45,1.28,1.38,1X,12.0,2X,"Sexta-feira, 18 Setembro 2020 17:23"
103,1600446012-27,https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/,"Wolfsburgo
              
                Bayer Leverkusen",https://www.betano.pt/odds/wolfsburgo-bayer-leverkusen/6170715/,Bundesliga,"Domingo, 20 Setembro 2020 17:00",Wolfsburgo,Bayer Leverkusen,2.82,3.3,2.37,1.63,1.95,Mais de2.5,1.19,3.45,Mais de1.5,2.54,1.36,Mais de3.5,1.5,2.16,Ambas Equipas Marcam (Sim/Não),1.50,1.25,1.38,1X,12.0,2X,"Sexta-feira, 18 Setembro 2020 17:18"
104,1600447143-145,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"West Brom
              
                Chelsea",https://www.betano.pt/odds/west-brom-chelsea/6387647/,Premier League,"Sábado, 26 Setembro 2020 17:30",West Brom,Chelsea,8.0,4.55,1.36,1.57,2.02,Mais de2.5,1.17,3.65,Mais de1.5,2.4,1.4,Mais de3.5,1.8,1.75,Ambas Equipas Marcam (Sim/Não),2.92,1.14,1.04,1X,12.0,2X,"Sexta-feira, 18 Setembro 2020 17:37"
