,web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,Tag25,ODD_15+,ODD_15-,Tag15,ODD_35+,ODD_35-,Tag35,ODD_BthScore_Yes,ODD_BthScore_No,TagBS,ODD_1X,ODD_12,ODD_X2,Tag1X,Tag12,TagX2,Current_Date,SOdds
55,1601640010-28,https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/,"Bayern Munique
              
                Hertha Berlin",https://www.betano.pt/odds/bayern-munique-hertha-berlin/6562368/,Bundesliga,"Domingo, 4 Outubro 2020 17:00",Bayern Munique,Hertha Berlin,1.15,7.6,12.5,1.57,2.04,Mais de3.5,1.03,6.3,Mais de1.5,1.2,3.35,Mais de2.5,1.65,1.91,Ambas Equipas Marcam (Sim/Não),1.02,1.07,4.7,1X,12.0,2X,"Sexta-feira, 2 Outubro 2020 12:58",
56,1601639806-3,https://www.betano.pt/sport/futebol/holanda/eredivisie/17067r/,"FC Emmen
              
                Fortuna Sittard",https://www.betano.pt/odds/fc-emmen-fortuna-sittard/6548892/,Eredivisie,"Domingo, 18 Outubro 2020 13:30",FC Emmen,Fortuna Sittard,2.05,3.5,3.25,1.25,1.60,1X,,,,,,,,,,,,,,,,"Sexta-feira, 2 Outubro 2020 12:56",
57,1601640002-27,https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/,"Hoffenheim
              
                Borussia Dortmund",https://www.betano.pt/odds/hoffenheim-borussia-dortmund/6632977/,Bundesliga,"Sábado, 17 Outubro 2020 14:30",Hoffenheim,Borussia Dortmund,3.55,4.0,1.83,1.91,1.65,Mais de3.5,1.09,4.8,Mais de1.5,1.35,2.56,Mais de2.5,1.35,2.56,Ambas Equipas Marcam (Sim/Não),1.88,1.18,1.25,1X,12.0,2X,"Sexta-feira, 2 Outubro 2020 12:58",
58,1601640542-93,https://www.betano.pt/sport/futebol/russia/premier-liga/17098r/,"FC Ufa
              
                Rotor Volgograd",https://www.betano.pt/odds/fc-ufa-rotor-volgograd/6411714/,Premier Liga,"Sábado, 3 Outubro 2020 12:00",FC Ufa,Rotor Volgograd,1.95,3.15,4.0,1.40,2.25,Mais de1.5,2.25,1.4,Mais de2.5,4.05,1.1,Mais de3.5,2.0,1.53,Ambas Equipas Marcam (Sim/Não),1.20,1.27,1.75,1X,12.0,2X,"Sexta-feira, 2 Outubro 2020 13:07",
59,1601640800-124,https://www.betano.pt/sport/futebol/portugal/primeira-liga/17083/,"Moreirense FC
              
                Boavista FC",https://www.betano.pt/odds/moreirense-fc-boavista-fc/6568903/,Primeira Liga,"Sexta-feira, 2 Outubro 2020 19:00",Moreirense FC,Boavista FC,2.4,3.05,2.98,2.02,1.53,Mais de2.5,1.33,2.5,Mais de1.5,3.45,1.16,Mais de3.5,1.75,1.72,Ambas Equipas Marcam (Sim/Não),1.35,1.28,1.5,1X,12.0,2X,"Sexta-feira, 2 Outubro 2020 13:10",
60,1601639835-7,https://www.betano.pt/sport/futebol/holanda/eredivisie/17067r/,"Heracles Almelo
              
                RKC Waalwijk",https://www.betano.pt/odds/heracles-almelo-rkc-waalwijk/6542330/,Eredivisie,"Sábado, 17 Outubro 2020 19:00",Heracles Almelo,RKC Waalwijk,1.42,4.4,6.55,1.05,2.45,1X,,,,,,,,,,,,,,,,"Sexta-feira, 2 Outubro 2020 12:56",
61,1601640463-84,https://www.betano.pt/sport/futebol/escocia/premiership/1647r/,"Dundee United
              
                Livingston FC",https://www.betano.pt/odds/dundee-united-livingston-fc/6403489/,Premiership,"Sexta-feira, 2 Outubro 2020 19:45",Dundee United,Livingston FC,2.67,3.1,2.6,1.95,1.57,Mais de2.5,1.31,2.6,Mais de1.5,3.4,1.17,Mais de3.5,1.72,1.75,Ambas Equipas Marcam (Sim/Não),1.44,1.27,1.42,1X,12.0,2X,"Sexta-feira, 2 Outubro 2020 13:07",
62,1601639858-10,https://www.betano.pt/sport/futebol/holanda/eredivisie/17067r/,"PSV Eindhoven
              
                Fortuna Sittard",https://www.betano.pt/odds/psv-eindhoven-fortuna-sittard/6420453/,Eredivisie,"Domingo, 4 Outubro 2020 15:45",PSV Eindhoven,Fortuna Sittard,1.19,6.45,11.75,1.83,1.65,Mais de3.5,1.06,4.75,Mais de1.5,1.32,2.56,Mais de2.5,1.75,1.72,Ambas Equipas Marcam (Sim/Não),1.02,1.08,4.2,1X,12.0,2X,"Sexta-feira, 2 Outubro 2020 12:56",
63,1601640447-82,https://www.betano.pt/sport/futebol/escocia/premiership/1647r/,"FC St Johnstone
              
                Celtic",https://www.betano.pt/odds/fc-st-johnstone-celtic/6403494/,Premiership,"Domingo, 4 Outubro 2020 12:00",FC St Johnstone,Celtic,10.0,5.15,1.27,1.57,1.95,Mais de2.5,1.16,3.45,Mais de1.5,2.4,1.36,Mais de3.5,1.95,1.57,Ambas Equipas Marcam (Sim/Não),3.45,1.13,1.03,1X,12.0,2X,"Sexta-feira, 2 Outubro 2020 13:07",
64,1601641012-149,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Everton
              
                Liverpool",https://www.betano.pt/odds/everton-liverpool/6458217/,Premier League,"Sábado, 17 Outubro 2020 16:00",Everton,Liverpool,4.9,3.6,1.67,1.57,2.02,Mais de2.5,1.17,3.65,Mais de1.5,2.4,1.4,Mais de3.5,1.55,2.05,Ambas Equipas Marcam (Sim/Não),2.05,1.22,1.14,1X,12.0,2X,"Sexta-feira, 2 Outubro 2020 13:15",
