web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,Tag25,ODD_15+,ODD_15-,Tag15,ODD_35+,ODD_35-,Tag35,ODD_BthScore_Yes,ODD_BthScore_No,TagBS,ODD_1X,ODD_12,ODD_X2,Tag1X,Tag12,TagX2,Current_Date,SOdds
1604423095-78,https://www.betano.pt/sport/futebol/escocia/premiership/1647r/,"Rangers
              
                Hamilton Academical",https://www.betano.pt/odds/rangers-hamilton-academical/6732447/,Premiership,"Domingo, 8 Novembro 2020 15:00",Rangers,Hamilton Academical,1.09,7.95,17.0,1.61,1.88,Mais de3.5,1.03,5.65,Mais de1.5,1.22,3.05,Mais de2.5,1.95,1.57,Ambas Equipas Marcam (Sim/Não),-,1.04,5.8,1X,12.0,2X,"Terça-feira, 3 Novembro 2020 17:04",
1604423692-148,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Southampton
              
                Newcastle",https://www.betano.pt/odds/southampton-newcastle/6457879/,Premier League,"Sexta-feira, 6 Novembro 2020 20:00",Southampton,Newcastle,1.83,3.55,3.95,1.67,1.88,Mais de2.5,1.21,3.3,Mais de1.5,2.66,1.33,Mais de3.5,1.6,2.0,Ambas Equipas Marcam (Sim/Não),1.21,1.22,1.87,1X,12.0,2X,"Terça-feira, 3 Novembro 2020 17:12",
1604422915-56,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Rotherham
              
                Preston",https://www.betano.pt/odds/rotherham-preston/6739872/,Championship,"Sábado, 7 Novembro 2020 15:00",Rotherham,Preston,3.0,2.94,2.35,1.90,1.6,Mais de2.5,1.28,2.7,Mais de1.5,3.15,1.2,Mais de3.5,1.67,1.8,Ambas Equipas Marcam (Sim/Não),1.50,1.28,1.33,1X,12.0,2X,"Terça-feira, 3 Novembro 2020 17:01",
1604422789-42,https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/,"RB Leipzig
              
                Friburgo",https://www.betano.pt/odds/rb-leipzig-friburgo/6886181/,Bundesliga,"Sábado, 7 Novembro 2020 14:30",RB Leipzig,Friburgo,1.31,5.05,8.5,2.15,1.5,Mais de3.5,1.12,4.15,Mais de1.5,1.45,2.25,Mais de2.5,1.72,1.83,Ambas Equipas Marcam (Sim/Não),1.04,1.15,3.15,1X,12.0,2X,"Terça-feira, 3 Novembro 2020 16:56",
1604423360-109,https://www.betano.pt/sport/futebol/espanha/laliga/5/,"Huesca
              
                Eibar",https://www.betano.pt/odds/huesca-eibar/6903486/,LaLiga,"Sábado, 7 Novembro 2020 13:00",Huesca,Eibar,2.12,3.05,3.6,1.47,2.2,Mais de1.5,2.45,1.38,Mais de2.5,4.6,1.1,Mais de3.5,2.1,1.53,Ambas Equipas Marcam (Sim/Não),1.24,1.3,1.65,1X,12.0,2X,"Terça-feira, 3 Novembro 2020 17:06",
1604422749-37,https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/,"Borussia Dortmund
              
                Bayern Munique",https://www.betano.pt/odds/borussia-dortmund-bayern-munique/6886186/,Bundesliga,"Sábado, 7 Novembro 2020 17:30",Borussia Dortmund,Bayern Munique,3.95,4.1,1.72,1.75,1.8,Mais de3.5,1.07,5.2,Mais de1.5,1.3,2.8,Mais de2.5,1.31,2.74,Ambas Equipas Marcam (Sim/Não),2.00,1.17,1.21,1X,12.0,2X,"Terça-feira, 3 Novembro 2020 16:56",
1604423588-135,https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/,"Aston Villa
              
                Brighton",https://www.betano.pt/odds/aston-villa-brighton/6457938/,Premier League,"Sábado, 21 Novembro 2020 15:00",Aston Villa,Brighton,2.3,3.3,2.92,1.67,1.88,Mais de2.5,1.2,3.35,Mais de1.5,2.62,1.33,Mais de3.5,1.53,2.11,Ambas Equipas Marcam (Sim/Não),1.35,1.26,1.53,1X,12.0,2X,"Terça-feira, 3 Novembro 2020 17:12",
1604423042-72,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Cardiff
              
                Barnsley FC",https://www.betano.pt/odds/cardiff-barnsley-fc/6704631/,Championship,"Terça-feira, 3 Novembro 2020 19:45",Cardiff,Barnsley FC,2.0,3.2,3.5,1.90,1.6,Mais de2.5,1.28,2.68,Mais de1.5,3.2,1.19,Mais de3.5,1.72,1.75,Ambas Equipas Marcam (Sim/Não),1.25,1.25,1.7,1X,12.0,2X,"Terça-feira, 3 Novembro 2020 17:01",
1604422947-60,https://www.betano.pt/sport/futebol/inglaterra/championship/2r/,"Derby County
              
                Barnsley FC",https://www.betano.pt/odds/derby-county-barnsley-fc/6739858/,Championship,"Sábado, 7 Novembro 2020 15:00",Derby County,Barnsley FC,2.56,2.9,2.74,2.02,1.53,Mais de2.5,1.32,2.54,Mais de1.5,3.4,1.17,Mais de3.5,1.72,1.75,Ambas Equipas Marcam (Sim/Não),1.38,1.3,1.44,1X,12.0,2X,"Terça-feira, 3 Novembro 2020 17:01",
1604422828-46,https://www.betano.pt/sport/futebol/franca/ligue-1/215r/,"Nimes
              
                Angers",https://www.betano.pt/odds/nimes-angers/6751310/,Ligue 1,"Domingo, 8 Novembro 2020 18:00",Nimes,Angers,2.86,3.1,2.45,1.95,1.57,Mais de2.5,1.31,2.58,Mais de1.5,3.35,1.17,Mais de3.5,1.72,1.75,Ambas Equipas Marcam (Sim/Não),1.47,1.27,1.36,1X,12.0,2X,"Terça-feira, 3 Novembro 2020 16:59",
