web-scraper-order,web-scraper-start-url,Leagues,Leagues-href,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_BthScore_Yes,ODD_BthScore_No,ODD_1X,ODD_12,ODD_X2
"1595017370-56","https://www.betano.pt/sport/futebol/","Championship","https://www.betano.pt/sport/futebol/inglaterra/championship/2r/","Barnsley FC
              
                Nottingham Forest","https://www.betano.pt/odds/barnsley-fc-nottingham-forest/5735081/","Championship","Domingo, 19 Julho 2020 15:00","Barnsley FC","Nottingham Forest","2.62","3.25","2.56","1.61","1.90","1.45","1.25","1.44"
"1595017225-29","https://www.betano.pt/sport/futebol/","Série A","https://www.betano.pt/sport/futebol/italia/serie-a/1635r/","Torino
              
                Hellas Verona","https://www.betano.pt/odds/torino-hellas-verona/5976751/","Série A","Quarta-feira, 22 Julho 2020 20:45","Torino","Hellas Verona","2.30","3.30","2.92","1.65","1.90","1.36","1.26","1.53"
"1595017290-42","https://www.betano.pt/sport/futebol/","Série A","https://www.betano.pt/sport/futebol/italia/serie-a/1635r/","Parma
              
                Sampdoria","https://www.betano.pt/odds/parma-sampdoria/5949619/","Série A","Domingo, 19 Julho 2020 16:15","Parma","Sampdoria","2.94","2.82","2.60","1.60","2.00","1.44","1.33","1.35"
"1595017299-44","https://www.betano.pt/sport/futebol/","Série A","https://www.betano.pt/sport/futebol/italia/serie-a/1635r/","Cagliari
              
                Sassuolo","https://www.betano.pt/odds/cagliari-sassuolo/5949617/","Série A","Sábado, 18 Julho 2020 18:30","Cagliari","Sassuolo","3.15","3.70","2.16","1.38","2.45","1.65","1.22","1.32"
"1595017355-54","https://www.betano.pt/sport/futebol/","LaLiga","https://www.betano.pt/sport/futebol/espanha/laliga/5r/","Real Valladolid
              
                Bétis","https://www.betano.pt/odds/real-valladolid-betis/5979230/","LaLiga","Domingo, 19 Julho 2020 17:30","Real Valladolid","Bétis","2.45","3.15","2.82","1.65","1.91","1.38","1.28","1.47"
"1595017285-41","https://www.betano.pt/sport/futebol/","Série A","https://www.betano.pt/sport/futebol/italia/serie-a/1635r/","Brescia Calcio
              
                Spal","https://www.betano.pt/odds/brescia-calcio-spal/5949620/","Série A","Domingo, 19 Julho 2020 18:30","Brescia Calcio","Spal","2.33","3.45","2.78","1.55","2.05","1.38","1.24","1.53"
"1595017315-46","https://www.betano.pt/sport/futebol/","LaLiga","https://www.betano.pt/sport/futebol/espanha/laliga/5r/","Sevilha
              
                Valência","https://www.betano.pt/odds/sevilha-valencia/5979293/","LaLiga","Domingo, 19 Julho 2020 20:00","Sevilha","Valência","1.80","3.60","4.05","1.67","1.88","1.20","1.22","1.90"
"1595017325-48","https://www.betano.pt/sport/futebol/","LaLiga","https://www.betano.pt/sport/futebol/espanha/laliga/5r/","Levante
              
                Getafe","https://www.betano.pt/odds/levante-getafe/5979287/","LaLiga","Domingo, 19 Julho 2020 20:00","Levante","Getafe","4.85","3.65","1.67","1.80","1.75","2.05","1.21","1.14"
"1595017194-24","https://www.betano.pt/sport/futebol/","Premier Liga","https://www.betano.pt/sport/futebol/russia/premier-liga/17098r/","Rostov
              
                Zenit São Petersburgo","https://www.betano.pt/odds/rostov-zenit-sao-petersburgo/5984756/","Premier Liga","Quarta-feira, 22 Julho 2020 17:00","Rostov","Zenit São Petersburgo","2.17","2.96","2.62","1.55","1.88","1.35","1.24","1.50"
"1595017220-28","https://www.betano.pt/sport/futebol/","Série A","https://www.betano.pt/sport/futebol/italia/serie-a/1635r/","Spal
              
                AS Roma","https://www.betano.pt/odds/spal-as-roma/5976752/","Série A","Quarta-feira, 22 Julho 2020 20:45","Spal","AS Roma","6.70","4.75","1.38","1.57","2.02","2.78","1.13","1.07"
"1595017447-70","https://www.betano.pt/sport/futebol/","Premier League","https://www.betano.pt/sport/futebol/inglaterra/premier-league/1r/","Watford
              
                Manchester City","https://www.betano.pt/odds/watford-manchester-city/5959949/","Premier League","Terça-feira, 21 Julho 2020 18:00","Watford","Manchester City","8.50","5.55","1.28","1.67","1.87","3.35","1.13","1.04"
"1595017402-62","https://www.betano.pt/sport/futebol/","Championship","https://www.betano.pt/sport/futebol/inglaterra/championship/2r/","Blackburn Rovers
              
                Reading","https://www.betano.pt/odds/blackburn-rovers-reading/5735080/","Championship","Sábado, 18 Julho 2020 15:00","Blackburn Rovers","Reading","2.05","3.30","3.45","1.67","1.80","1.27","1.24","1.67"
"1595017275-39","https://www.betano.pt/sport/futebol/","Série A","https://www.betano.pt/sport/futebol/italia/serie-a/1635r/","Génova
              
                US Lecce","https://www.betano.pt/odds/genova-us-lecce/5949622/","Série A","Domingo, 19 Julho 2020 18:30","Génova","US Lecce","1.90","3.65","3.60","1.45","2.25","1.24","1.21","1.80"
