web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,HomeTeam,AwayTeam,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,Tag25,ODD_15+,ODD_15-,Tag15,ODD_35+,ODD_35-,Tag35,ODD_BthScore_Yes,ODD_BthScore_No,TagBS,ODD_1X,ODD_12,ODD_X2,Tag1X,Tag12,TagX2,Current_Date,SOdds
"1603111961-119","https://www.betano.pt/sport/futebol/inglaterra/premier-league/1/","Wolverhampton
              
                Crystal Palace FC","https://www.betano.pt/odds/wolverhampton-crystal-palace-fc/6457875/","Premier League","Sexta-feira, 30 Outubro 2020 20:00","Wolverhampton","Crystal Palace FC","1.83","3.30","4.33","2.05","1.55","Mais de2.5","1.35","2.58","Mais de1.5","3.65","1.17","Mais de3.5","1.90","1.65","Ambas Equipas Marcam (Sim/Não)","1.18","1.26","1.87","1X","12","2X","Segunda-feira, 19 Outubro 2020 13:51","null"
"1603111680-86","https://www.betano.pt/sport/futebol/espanha/laliga/5/","Levante
              
                Celta de Vigo","https://www.betano.pt/odds/levante-celta-de-vigo/6711915/","LaLiga","Segunda-feira, 26 Outubro 2020 20:00","Levante","Celta de Vigo","2.37","3.15","2.94","1.91","1.65","Mais de2.5","1.30","2.78","Mais de1.5","3.25","1.22","Mais de3.5","1.70","1.85","Ambas Equipas Marcam (Sim/Não)","1.36","1.28","1.50","1X","12","2X","Segunda-feira, 19 Outubro 2020 13:46","null"
"1603111325-44","https://www.betano.pt/sport/futebol/inglaterra/championship/2r/","Huddersfield
              
                Preston","https://www.betano.pt/odds/huddersfield-preston/6604622/","Championship","Sábado, 24 Outubro 2020 15:00","Huddersfield","Preston","2.74","3.10","2.54","1.87","1.63","Mais de2.5","1.27","2.76","Mais de1.5","3.05","1.22","Mais de3.5","1.65","1.85","Ambas Equipas Marcam (Sim/Não)","1.45","1.27","1.40","1X","12","2X","Segunda-feira, 19 Outubro 2020 13:41","null"
"1603111742-94","https://www.betano.pt/sport/futebol/espanha/laliga/5/","CA Osasuna
              
                Athletic Bilbao","https://www.betano.pt/odds/ca-osasuna-athletic-bilbao/6711916/","LaLiga","Sábado, 24 Outubro 2020 12:00","CA Osasuna","Athletic Bilbao","2.86","2.78","2.70","1.50","2.14","Mais de1.5","2.52","1.36","Mais de2.5","4.70","1.09","Mais de3.5","2.04","1.57","Ambas Equipas Marcam (Sim/Não)","1.40","1.35","1.36","1X","12","2X","Segunda-feira, 19 Outubro 2020 13:46","null"
"1603111318-43","https://www.betano.pt/sport/futebol/inglaterra/championship/2r/","Millwall FC
              
                Barnsley FC","https://www.betano.pt/odds/millwall-fc-barnsley-fc/6604624/","Championship","Sábado, 24 Outubro 2020 15:00","Millwall FC","Barnsley FC","2.10","3.20","3.50","1.90","1.60","Mais de2.5","1.28","2.67","Mais de1.5","3.20","1.19","Mais de3.5","1.70","1.78","Ambas Equipas Marcam (Sim/Não)","1.26","1.26","1.67","1X","12","2X","Segunda-feira, 19 Outubro 2020 13:41","null"
"1603111311-42","https://www.betano.pt/sport/futebol/inglaterra/championship/2r/","Norwich City
              
                Wycombe","https://www.betano.pt/odds/norwich-city-wycombe/6604625/","Championship","Sábado, 24 Outubro 2020 15:00","Norwich City","Wycombe","1.28","5.00","10.00","1.53","2.02","Mais de2.5","1.14","3.65","Mais de1.5","2.30","1.40","Mais de3.5","1.90","1.61","Ambas Equipas Marcam (Sim/Não)","1.03","1.13","3.35","1X","12","2X","Segunda-feira, 19 Outubro 2020 13:41","null"
"1603111100-17","https://www.betano.pt/sport/futebol/alemanha/bundesliga/216r/","Eintracht Frankfurt
              
                Werder Bremen","https://www.betano.pt/odds/eintracht-frankfurt-werder-bremen/6710246/","Bundesliga","Sábado, 31 Outubro 2020 14:30","Eintracht Frankfurt","Werder Bremen","1.78","3.80","3.90","2.14","1.50","Mais de3.5","1.13","4.10","Mais de1.5","1.45","2.25","Mais de2.5","1.44","2.30","Ambas Equipas Marcam (Sim/Não)","1.21","1.19","1.91","1X","12","2X","Segunda-feira, 19 Outubro 2020 13:37","null"
"1603111827-104","https://www.betano.pt/sport/futebol/eua/mls/195161/","","","","","","","","","","","","","","","","","","","","","","","","","","","","Segunda-feira, 19 Outubro 2020 13:50",""
"1603111303-41","https://www.betano.pt/sport/futebol/inglaterra/championship/2r/","Queens Park Rangers
              
                Birmingham","https://www.betano.pt/odds/queens-park-rangers-birmingham/6604626/","Championship","Sábado, 24 Outubro 2020 15:00","Queens Park Rangers","Birmingham","2.33","3.15","3.00","1.90","1.60","Mais de2.5","1.28","2.68","Mais de1.5","3.20","1.19","Mais de3.5","1.67","1.80","Ambas Equipas Marcam (Sim/Não)","1.35","1.26","1.53","1X","12","2X","Segunda-feira, 19 Outubro 2020 13:41","null"
"1603111874-109","https://www.betano.pt/sport/futebol/italia/serie-a/1635/","Lázio
              
                Bolonha","https://www.betano.pt/odds/lazio-bolonha/6797417/","Série A","Sábado, 24 Outubro 2020 19:45","Lázio","Bolonha","1.75","3.80","4.10","1.50","2.18","Mais de2.5","1.14","3.95","Mais de1.5","2.20","1.47","Mais de3.5","1.47","2.20","Ambas Equipas Marcam (Sim/Não)","1.19","1.19","1.95","1X","12","2X","Segunda-feira, 19 Outubro 2020 13:50","null"
