,HT,AT,League,Date,FTHG,FTAG,HxG,AxG,HShots,AShots,HST,AST,HDEEP,ADEEP,HPPDA,APPDA,HxPTS,AxPTS
401,Osasuna,Celta Vigo,La_Liga,2020-10-04,2,0,1.12,0.36,13,9,5,3,6,8,7.14,5.52,2.11,0.59
402,Southampton,West Bromwich Albion,Premier_League,2020-10-04,2,0,0.95,0.16,13,5,7,2,6,1,5.09,15.84,2.12,0.52
403,Strasbourg,Lille,Ligue_1,2020-10-04,0,3,0.84,1.96,14,12,3,6,10,8,11.86,10.22,0.52,2.28
404,Rubin Kazan,FK Akhmat,RFPL,2020-10-04,1,1,0.95,0.98,10,8,5,2,8,11,7.69,6.8,1.25,1.37
405,Lokomotiv Moscow,Khimki,RFPL,2020-10-04,2,1,1.9,1.25,18,11,7,2,10,5,9.19,8.65,1.87,0.87
406,Leicester,West Ham,Premier_League,2020-10-04,0,3,0.46,2.03,4,14,0,6,2,3,7.32,34.18,0.31,2.53
407,Benevento,Bologna,Serie_A,2020-10-04,1,0,0.89,1.82,7,17,2,7,6,5,8.96,6.08,0.66,2.1
408,PFC Sochi,FC Rostov,RFPL,2020-10-04,4,2,0.91,1.03,14,8,8,3,2,2,8.94,14.33,1.25,1.43
409,Parma Calcio 1913,Verona,Serie_A,2020-10-04,1,0,1.23,0.63,11,8,4,2,3,10,24.33,6.82,1.91,0.78
410,Aston Villa,Liverpool,Premier_League,2020-10-04,7,2,3.08,1.66,18,14,11,8,7,18,14.6,4.76,2.26,0.58
411,Nimes,Paris Saint Germain,Ligue_1,2020-10-16,0,4,0.14,4.12,5,30,2,11,0,11,14.72,3.85,0.01,2.99
412,Dijon,Rennes,Ligue_1,2020-10-16,1,1,1.11,0.77,12,12,4,3,2,8,10.45,8.22,1.66,1.02
413,Hoffenheim,Borussia Dortmund,Bundesliga,2020-10-17,0,1,0.88,1.85,9,15,3,5,3,15,13.63,10.96,0.66,2.11
414,Chelsea,Southampton,Premier_League,2020-10-17,3,3,1.99,1.42,11,13,5,6,11,5,10.91,14.61,1.84,0.88
415,Marseille,Bordeaux,Ligue_1,2020-10-17,3,1,0.98,0.51,6,8,4,4,3,1,10.78,12.67,1.91,0.74
416,Celta Vigo,Atletico Madrid,La_Liga,2020-10-17,0,2,1.9,1.51,15,9,5,4,12,7,13.83,9.52,1.65,1.1
417,Lokomotiv Moscow,FC Ufa,RFPL,2020-10-17,1,0,0.94,0.12,12,2,5,0,6,3,12.42,11.73,2.18,0.47
418,Napoli,Atalanta,Serie_A,2020-10-17,4,1,1.17,0.64,19,13,11,4,7,1,16.16,7.53,1.79,0.9
419,Mainz 05,Bayer Leverkusen,Bundesliga,2020-10-17,0,1,0.21,0.45,6,9,0,5,3,2,8.68,14.53,0.94,1.5
420,FC Krasnodar,Rubin Kazan,RFPL,2020-10-17,3,1,2.56,0.8,11,8,4,3,6,4,8.32,8.7,2.68,0.21
421,Augsburg,RasenBallsport Leipzig,Bundesliga,2020-10-17,0,2,0.55,2.4,5,15,2,5,1,19,23.47,6.22,0.21,2.67
422,Getafe,Barcelona,La_Liga,2020-10-17,1,0,1.71,0.63,9,7,4,1,4,4,11.4,5.07,2.3,0.49
423,Khimki,Spartak Moscow,RFPL,2020-10-17,2,3,1.66,2.46,22,10,10,7,12,9,19.59,6.67,0.78,2.0
424,Borussia M.Gladbach,Wolfsburg,Bundesliga,2020-10-17,1,1,2.11,1.34,13,15,2,6,6,4,8.13,9.37,1.98,0.79
425,Reims,Lorient,Ligue_1,2020-10-17,1,3,0.27,2.81,6,14,3,4,3,4,9.56,5.81,0.04,2.94
426,Manchester City,Arsenal,Premier_League,2020-10-17,1,0,1.43,0.84,13,11,5,3,7,3,13.52,20.35,1.87,0.84
427,Everton,Liverpool,Premier_League,2020-10-17,2,2,1.36,2.49,11,22,5,8,2,13,14.1,8.72,0.68,2.13
428,Zenit St. Petersburg,PFC Sochi,RFPL,2020-10-17,3,1,1.13,1.0,10,10,6,3,5,7,17.36,15.18,1.45,1.22
429,Crotone,Juventus,Serie_A,2020-10-17,1,1,1.4,1.58,10,11,3,2,7,5,12.04,11.18,1.14,1.5
430,Granada,Sevilla,La_Liga,2020-10-17,1,0,1.09,0.7,13,8,3,3,5,5,8.0,11.41,1.71,0.95
431,Newcastle United,Manchester United,Premier_League,2020-10-17,1,4,0.87,2.22,7,28,4,14,3,12,12.14,6.06,0.42,2.38
432,Sampdoria,Lazio,Serie_A,2020-10-17,3,0,1.83,0.45,12,10,7,0,8,8,14.4,12.65,2.49,0.34
433,Inter,AC Milan,Serie_A,2020-10-17,1,2,2.55,2.06,19,11,6,4,14,4,6.82,8.79,1.71,1.05
434,Arminia Bielefeld,Bayern Munich,Bundesliga,2020-10-17,1,4,1.21,3.29,11,17,5,9,4,16,34.67,7.43,0.27,2.62
435,Hertha Berlin,VfB Stuttgart,Bundesliga,2020-10-17,0,2,1.43,1.41,15,7,4,2,10,1,5.4,13.16,1.34,1.37
436,Freiburg,Werder Bremen,Bundesliga,2020-10-17,1,1,1.06,1.66,20,13,4,4,14,2,9.05,13.52,0.86,1.88
437,Real Madrid,Cadiz,La_Liga,2020-10-17,0,1,1.14,1.77,14,14,2,5,10,2,6.5,23.57,0.9,1.84
438,Arsenal Tula,Ural,RFPL,2020-10-18,1,0,0.62,0.51,9,11,1,4,7,8,8.2,9.05,1.38,1.19
439,Eibar,Osasuna,La_Liga,2020-10-18,0,0,0.37,1.26,10,8,6,2,3,6,10.38,6.0,0.53,2.21
440,Bologna,Sassuolo,Serie_A,2020-10-18,3,4,1.45,3.24,14,25,6,12,6,10,6.29,7.6,0.44,2.43
441,Tottenham,West Ham,Premier_League,2020-10-18,3,3,1.78,1.5,11,13,6,4,1,7,12.3,18.06,1.58,1.12
442,Nantes,Brest,Ligue_1,2020-10-18,3,1,1.91,0.84,12,14,8,5,5,1,12.78,4.22,2.26,0.52
443,FC Rotor Volgograd,FC Tambov,RFPL,2020-10-18,0,2,1.45,1.29,16,9,5,4,5,2,6.55,14.35,1.49,1.17
444,Athletic Club,Levante,La_Liga,2020-10-18,2,0,2.07,0.28,14,6,5,1,9,5,7.12,10.58,2.73,0.16
445,Torino,Cagliari,Serie_A,2020-10-18,2,3,1.24,1.79,13,11,6,5,4,3,8.12,15.67,0.81,1.89
446,Saint-Etienne,Nice,Ligue_1,2020-10-18,1,3,0.71,2.52,11,11,4,5,2,5,8.75,13.1,0.2,2.69
447,Udinese,Parma Calcio 1913,Serie_A,2020-10-18,3,2,1.72,0.97,16,9,4,3,9,3,11.34,10.89,1.95,0.79
448,Strasbourg,Lyon,Ligue_1,2020-10-18,2,3,1.93,4.16,20,14,9,8,6,8,7.29,12.25,0.25,2.65
449,Villarreal,Valencia,La_Liga,2020-10-18,2,1,1.6,0.68,16,11,6,3,11,1,10.35,14.57,2.16,0.6
450,Angers,Metz,Ligue_1,2020-10-18,1,1,1.09,1.16,7,7,2,3,4,5,10.5,10.17,1.17,1.35
451,Roma,Benevento,Serie_A,2020-10-18,5,2,4.19,1.56,20,10,7,4,13,4,7.51,12.95,2.8,0.13
452,SD Huesca,Real Valladolid,La_Liga,2020-10-18,2,2,1.25,0.91,12,5,7,3,2,0,9.91,10.09,1.61,1.05
453,CSKA Moscow,Dinamo Moscow,RFPL,2020-10-18,3,1,1.83,0.54,18,10,10,3,8,3,6.47,12.96,2.38,0.42
454,FC Cologne,Eintracht Frankfurt,Bundesliga,2020-10-18,1,1,1.42,1.55,9,17,5,4,4,10,7.53,8.81,1.23,1.47
455,Alaves,Elche,La_Liga,2020-10-18,0,2,0.91,0.9,13,7,2,3,9,1,9.43,12.32,1.31,1.34
456,Crystal Palace,Brighton,Premier_League,2020-10-18,1,1,0.76,1.09,1,20,1,3,1,7,13.59,6.39,1.1,1.53
457,Real Betis,Real Sociedad,La_Liga,2020-10-18,0,3,0.3,1.58,7,8,1,5,0,5,10.5,10.77,0.29,2.54
458,Monaco,Montpellier,Ligue_1,2020-10-18,1,1,1.8,0.11,21,3,7,2,19,0,2.37,35.88,2.76,0.13
459,Lille,Lens,Ligue_1,2020-10-18,4,0,2.9,0.25,17,7,6,2,4,1,10.95,11.59,2.88,0.07
460,Leicester,Aston Villa,Premier_League,2020-10-18,0,1,0.67,0.87,11,10,5,4,4,7,8.75,9.22,1.11,1.53
461,FC Rostov,FK Akhmat,RFPL,2020-10-18,3,0,3.17,1.68,20,15,9,4,6,10,9.76,8.41,2.31,0.53
462,Spezia,Fiorentina,Serie_A,2020-10-18,2,2,0.93,1.08,12,9,2,3,2,6,7.81,8.1,1.21,1.47
463,Sheffield United,Fulham,Premier_League,2020-10-18,1,1,1.66,1.36,10,15,6,6,1,1,15.17,12.71,1.63,1.05
464,Schalke 04,Union Berlin,Bundesliga,2020-10-18,1,1,0.25,0.83,8,11,4,6,1,2,12.8,21.33,0.67,1.94
465,Leeds,Wolverhampton Wanderers,Premier_League,2020-10-19,0,1,1.08,0.62,13,7,2,3,14,2,5.5,12.0,1.75,0.91
466,Verona,Genoa,Serie_A,2020-10-19,0,0,0.88,0.38,18,6,10,2,9,1,6.9,12.86,1.8,0.82
467,West Bromwich Albion,Burnley,Premier_League,2020-10-19,0,0,0.73,1.09,13,9,6,4,3,2,8.25,13.32,0.99,1.68
468,VfB Stuttgart,FC Cologne,Bundesliga,2020-10-23,1,1,0.72,2.38,9,15,4,4,4,3,11.95,16.9,0.29,2.58
469,Aston Villa,Leeds,Premier_League,2020-10-23,0,3,1.5,2.38,12,27,4,9,7,20,13.24,3.65,0.82,1.97
470,Rennes,Angers,Ligue_1,2020-10-23,1,2,1.22,1.21,11,10,1,4,8,4,8.44,28.21,1.38,1.31
471,Sassuolo,Torino,Serie_A,2020-10-23,3,3,1.69,2.09,17,17,6,10,13,7,5.0,20.52,1.09,1.67
472,Elche,Valencia,La_Liga,2020-10-23,2,1,0.17,1.24,3,14,2,4,1,8,15.83,11.41,0.33,2.43
473,Sevilla,Eibar,La_Liga,2020-10-24,0,1,1.99,0.2,21,3,3,1,5,2,5.17,15.63,2.74,0.15
474,Manchester United,Chelsea,Premier_League,2020-10-24,0,0,0.65,0.22,14,6,4,1,6,1,22.06,14.68,1.73,0.79
475,West Ham,Manchester City,Premier_League,2020-10-24,1,1,0.26,0.89,6,14,2,7,2,13,20.3,13.08,0.68,1.94
476,Atalanta,Sampdoria,Serie_A,2020-10-24,1,3,2.1,2.5,20,7,5,4,12,3,7.27,10.13,1.05,1.7
477,FC Krasnodar,Spartak Moscow,RFPL,2020-10-24,1,3,1.69,1.23,17,13,6,5,3,5,10.6,8.08,1.76,0.96
478,Barcelona,Real Madrid,La_Liga,2020-10-24,1,3,1.57,3.21,10,15,4,9,5,8,11.75,13.5,0.43,2.42
479,RasenBallsport Leipzig,Hertha Berlin,Bundesliga,2020-10-24,2,1,2.69,0.8,26,9,8,2,18,6,5.85,9.33,2.6,0.28
480,Zenit St. Petersburg,Rubin Kazan,RFPL,2020-10-24,1,2,1.05,0.97,8,9,2,2,8,2,5.1,20.93,1.41,1.26
481,Fulham,Crystal Palace,Premier_League,2020-10-24,1,2,1.05,2.81,16,14,3,10,8,9,6.24,21.53,0.33,2.54
482,Genoa,Inter,Serie_A,2020-10-24,0,2,0.01,1.64,1,14,0,4,0,8,16.64,6.76,0.12,2.76
483,Union Berlin,Freiburg,Bundesliga,2020-10-24,1,1,1.28,0.27,18,8,7,4,1,1,13.82,10.64,2.35,0.41
484,Bayern Munich,Eintracht Frankfurt,Bundesliga,2020-10-24,5,0,3.81,0.43,20,8,9,2,12,1,10.0,16.91,2.92,0.05
485,Liverpool,Sheffield United,Premier_League,2020-10-24,2,1,2.4,1.4,17,13,5,2,7,8,14.17,19.65,2.17,0.62
486,Borussia Dortmund,Schalke 04,Bundesliga,2020-10-24,3,0,1.48,0.24,18,3,7,0,16,1,9.29,18.08,2.4,0.38
487,Paris Saint Germain,Dijon,Ligue_1,2020-10-24,4,0,4.09,1.49,20,16,9,3,10,2,8.05,17.1,2.73,0.2
488,Atletico Madrid,Real Betis,La_Liga,2020-10-24,2,0,1.24,1.02,13,12,6,3,8,5,10.97,7.0,1.51,1.18
489,Lazio,Bologna,Serie_A,2020-10-24,2,1,1.43,1.76,10,21,3,5,3,9,9.21,8.97,1.13,1.61
490,Mainz 05,Borussia M.Gladbach,Bundesliga,2020-10-24,2,3,1.9,3.08,15,22,7,11,13,7,13.9,6.06,0.69,2.13
491,Lokomotiv Moscow,FC Rotor Volgograd,RFPL,2020-10-24,1,2,1.95,1.0,20,5,3,3,18,1,3.2,22.54,2.2,0.53
492,Osasuna,Athletic Club,La_Liga,2020-10-24,1,0,0.99,0.58,7,13,2,5,3,5,11.04,6.59,1.83,0.83
493,Dinamo Moscow,PFC Sochi,RFPL,2020-10-24,3,1,1.21,0.34,19,11,9,6,6,9,11.39,7.18,2.14,0.57
494,Lorient,Marseille,Ligue_1,2020-10-24,0,1,0.85,0.88,12,15,3,3,2,4,9.78,4.82,1.31,1.35
495,Brest,Strasbourg,Ligue_1,2020-10-25,0,3,0.73,1.29,14,7,4,5,10,3,10.61,25.93,0.78,1.93
496,Wolverhampton Wanderers,Newcastle United,Premier_League,2020-10-25,1,1,0.76,0.25,16,5,3,2,5,4,10.19,31.31,1.79,0.78
497,Werder Bremen,Hoffenheim,Bundesliga,2020-10-25,1,1,0.23,0.87,5,14,2,4,1,5,16.06,12.91,0.65,1.95
498,Nice,Lille,Ligue_1,2020-10-25,1,1,0.87,0.89,8,12,3,4,3,5,13.17,13.55,1.31,1.34
499,FK Akhmat,FC Ufa,RFPL,2020-10-25,3,1,2.54,0.42,8,6,3,1,7,3,11.94,4.97,2.84,0.1
500,Southampton,Everton,Premier_League,2020-10-25,2,0,0.74,0.29,12,6,6,2,6,6,13.88,11.69,1.75,0.82
501,Getafe,Granada,La_Liga,2020-10-25,0,1,1.33,0.95,10,5,1,2,4,2,2.5,5.04,1.67,0.98
502,Cadiz,Villarreal,La_Liga,2020-10-25,0,0,0.21,0.75,5,7,0,2,4,4,24.45,4.94,0.65,1.96
503,FC Rostov,Khimki,RFPL,2020-10-25,0,2,1.5,1.84,14,14,7,9,6,6,6.52,19.55,1.11,1.63
504,Wolfsburg,Arminia Bielefeld,Bundesliga,2020-10-25,2,1,2.78,0.66,14,9,4,1,12,3,13.35,10.71,2.68,0.22
505,Metz,Saint-Etienne,Ligue_1,2020-10-25,2,0,0.33,0.63,6,10,3,0,1,4,7.18,4.94,0.91,1.64
506,Fiorentina,Udinese,Serie_A,2020-10-25,3,2,1.2,2.69,5,16,3,6,5,8,12.4,6.4,0.36,2.47
507,Real Sociedad,SD Huesca,La_Liga,2020-10-25,4,1,1.8,0.59,13,6,6,4,16,2,8.86,15.06,2.36,0.42
508,Bordeaux,Nimes,Ligue_1,2020-10-25,2,0,1.93,0.71,20,8,6,4,5,5,12.26,11.03,2.33,0.47
509,Real Valladolid,Alaves,La_Liga,2020-10-25,0,2,0.31,2.31,5,14,1,4,5,4,19.38,11.33,0.13,2.79
510,Montpellier,Reims,Ligue_1,2020-10-25,0,4,0.14,4.33,5,24,1,9,0,15,51.38,13.0,0.0,3.0
511,Arsenal,Leicester,Premier_League,2020-10-25,0,1,0.74,0.74,12,6,4,2,5,2,11.0,26.21,1.27,1.35
512,Lyon,Monaco,Ligue_1,2020-10-25,4,1,3.43,1.89,15,18,6,5,6,7,18.89,6.96,2.34,0.51
513,Cagliari,Crotone,Serie_A,2020-10-25,4,2,2.08,1.41,19,12,8,6,9,6,13.81,13.06,1.88,0.88
514,Parma Calcio 1913,Spezia,Serie_A,2020-10-25,2,2,3.67,0.97,17,14,6,6,6,6,12.91,8.84,2.79,0.15
515,Ural,FC Tambov,RFPL,2020-10-25,0,0,0.64,0.17,12,6,1,1,5,0,6.56,22.07,1.8,0.72
516,Benevento,Napoli,Serie_A,2020-10-25,1,2,0.65,2.27,9,19,3,5,4,11,17.3,6.31,0.35,2.49
517,Juventus,Verona,Serie_A,2020-10-25,1,1,2.18,0.6,22,6,6,2,14,7,8.38,12.19,2.47,0.37
518,Levante,Celta Vigo,La_Liga,2020-10-26,1,1,1.19,0.82,10,11,3,3,10,3,6.03,8.41,1.72,0.95
519,Brighton,West Bromwich Albion,Premier_League,2020-10-26,1,1,0.55,0.3,5,9,3,3,4,4,10.71,14.42,1.58,0.94
520,AC Milan,Roma,Serie_A,2020-10-26,3,3,2.82,2.36,13,12,8,7,11,7,13.42,17.0,1.68,1.08
521,CSKA Moscow,Arsenal Tula,RFPL,2020-10-26,5,1,2.66,0.84,23,6,8,2,21,4,8.33,17.73,2.6,0.26
522,Burnley,Tottenham,Premier_League,2020-10-26,0,1,0.95,0.8,13,9,4,3,4,6,14.87,9.78,1.46,1.2
523,Bayer Leverkusen,Augsburg,Bundesliga,2020-10-26,3,1,2.63,0.34,16,6,8,3,6,3,7.5,19.88,2.85,0.09
524,Schalke 04,VfB Stuttgart,Bundesliga,2020-10-30,1,1,0.73,1.57,9,20,2,8,2,10,8.93,6.93,0.63,2.1
525,Eibar,Cadiz,La_Liga,2020-10-30,0,2,0.47,0.93,9,6,3,4,3,3,4.69,21.75,0.82,1.83
526,Wolverhampton Wanderers,Crystal Palace,Premier_League,2020-10-30,2,0,1.35,0.8,15,11,5,2,8,4,13.85,16.71,1.82,0.89
527,Sheffield United,Manchester City,Premier_League,2020-10-31,0,1,0.69,1.9,4,16,1,8,3,9,18.71,15.67,0.42,2.36
528,Rennes,Brest,Ligue_1,2020-10-31,2,1,1.4,1.04,24,9,8,4,10,3,14.12,27.89,1.59,1.11
529,Bologna,Cagliari,Serie_A,2020-10-31,3,2,1.47,1.27,22,7,9,3,11,9,11.0,6.54,1.5,1.24
530,Eintracht Frankfurt,Werder Bremen,Bundesliga,2020-10-31,1,1,2.49,0.73,15,11,5,4,8,1,5.04,31.15,2.53,0.33
531,Borussia M.Gladbach,RasenBallsport Leipzig,Bundesliga,2020-10-31,1,0,0.62,0.7,5,15,3,3,6,5,11.46,10.06,1.24,1.35
532,Crotone,Atalanta,Serie_A,2020-10-31,1,2,0.52,3.5,6,19,1,6,0,16,13.67,5.24,0.07,2.89
533,Spartak Moscow,FC Rostov,RFPL,2020-10-31,0,1,1.09,0.28,11,8,2,1,7,0,4.71,7.91,2.15,0.55
534,Osasuna,Atletico Madrid,La_Liga,2020-10-31,1,3,1.43,3.06,8,11,3,6,2,9,16.55,10.36,0.35,2.5
535,PFC Sochi,Lokomotiv Moscow,RFPL,2020-10-31,2,1,1.1,0.29,14,9,4,2,1,7,26.0,8.06,2.08,0.6
536,Rubin Kazan,Arsenal Tula,RFPL,2020-10-31,3,1,2.53,0.53,16,17,3,4,6,10,19.5,8.35,2.69,0.21
537,Alaves,Barcelona,La_Liga,2020-10-31,1,1,1.11,2.08,4,25,3,9,0,24,21.22,5.88,0.68,2.07
538,Athletic Club,Sevilla,La_Liga,2020-10-31,2,1,1.33,1.15,16,7,5,3,3,6,13.5,6.39,1.52,1.17
539,Arminia Bielefeld,Borussia Dortmund,Bundesliga,2020-10-31,0,2,0.26,2.76,5,21,2,10,0,18,26.5,7.57,0.09,2.85
540,FC Cologne,Bayern Munich,Bundesliga,2020-10-31,1,2,0.68,0.99,10,6,2,4,2,9,28.86,5.75,0.91,1.72
541,Inter,Parma Calcio 1913,Serie_A,2020-10-31,2,2,3.05,0.76,25,5,9,3,10,2,4.03,28.11,2.72,0.19
542,Nantes,Paris Saint Germain,Ligue_1,2020-10-31,0,3,1.63,2.73,6,13,1,4,4,8,24.52,12.52,0.6,2.19
543,Liverpool,West Ham,Premier_League,2020-10-31,2,1,1.56,0.27,9,4,5,3,12,0,6.91,35.38,2.56,0.27
544,Real Madrid,SD Huesca,La_Liga,2020-10-31,4,1,2.24,0.8,13,9,6,2,9,0,9.3,20.56,2.41,0.42
545,Burnley,Chelsea,Premier_League,2020-10-31,0,3,0.41,1.23,5,14,0,9,1,12,16.92,8.96,0.6,2.11
546,Augsburg,Mainz 05,Bundesliga,2020-10-31,3,1,1.79,1.01,13,9,6,4,6,5,16.6,8.2,2.01,0.73
547,FK Akhmat,FC Krasnodar,RFPL,2020-10-31,2,0,1.59,0.21,11,9,6,2,3,6,8.8,8.73,2.69,0.18
548,Roma,Fiorentina,Serie_A,2020-11-01,2,0,3.63,0.37,17,8,6,1,9,3,9.69,7.18,2.94,0.03
549,FC Rotor Volgograd,CSKA Moscow,RFPL,2020-11-01,0,1,0.26,1.44,7,22,2,6,1,14,27.54,6.38,0.43,2.33
550,FC Ufa,Ural,RFPL,2020-11-01,1,2,0.63,1.88,13,11,3,5,7,6,9.71,7.11,0.41,2.41
551,Dijon,Lorient,Ligue_1,2020-11-01,0,0,0.38,1.15,11,9,2,1,3,3,10.25,10.46,0.52,2.2
552,Sampdoria,Genoa,Serie_A,2020-11-01,1,1,0.86,1.18,9,11,3,4,7,5,7.48,13.04,1.05,1.64
553,Udinese,AC Milan,Serie_A,2020-11-01,1,2,0.96,1.02,9,12,2,4,4,9,14.21,8.43,1.3,1.33
554,Angers,Nice,Ligue_1,2020-11-01,0,3,0.4,2.78,11,12,5,5,7,6,7.85,13.95,0.07,2.89
555,Celta Vigo,Real Sociedad,La_Liga,2020-11-01,1,4,2.12,2.28,9,9,2,7,5,7,7.62,6.39,1.24,1.48
556,Manchester United,Arsenal,Premier_League,2020-11-01,0,1,0.39,1.0,8,7,2,2,10,7,17.65,11.85,0.62,2.06
557,Real Betis,Elche,La_Liga,2020-11-01,3,1,3.06,0.48,17,4,10,2,13,2,8.76,29.14,2.85,0.09
558,Monaco,Bordeaux,Ligue_1,2020-11-01,4,0,3.94,0.2,17,5,6,0,10,5,11.52,21.57,2.99,0.0
559,Valencia,Getafe,La_Liga,2020-11-01,2,2,1.76,2.36,11,16,5,5,4,8,6.72,3.25,0.91,1.85
560,Khimki,Zenit St. Petersburg,RFPL,2020-11-01,0,2,0.7,1.41,11,9,5,2,5,6,17.4,12.0,0.69,2.03
561,Nimes,Metz,Ligue_1,2020-11-01,0,1,0.78,0.86,16,8,2,5,6,1,6.57,15.9,1.22,1.43
562,Torino,Lazio,Serie_A,2020-11-01,3,4,2.47,1.76,11,12,4,5,2,9,23.43,7.09,1.93,0.83
563,Aston Villa,Southampton,Premier_League,2020-11-01,3,4,2.45,1.0,19,9,10,4,5,2,7.0,7.45,2.39,0.44
564,FC Tambov,Dinamo Moscow,RFPL,2020-11-01,1,2,1.79,2.54,6,26,3,10,1,14,16.19,3.89,0.85,1.9
565,Spezia,Juventus,Serie_A,2020-11-01,1,4,0.55,2.88,16,7,3,4,4,11,15.08,11.5,0.12,2.81
566,Reims,Strasbourg,Ligue_1,2020-11-01,2,1,0.91,1.42,12,8,4,2,6,4,9.0,17.06,0.84,1.86
567,Freiburg,Bayer Leverkusen,Bundesliga,2020-11-01,2,4,1.18,1.34,8,18,5,7,4,5,22.44,12.42,1.24,1.46
568,Newcastle United,Everton,Premier_League,2020-11-01,2,1,2.63,1.22,11,15,4,4,5,8,34.25,8.79,2.45,0.39
569,Hertha Berlin,Wolfsburg,Bundesliga,2020-11-01,1,1,1.25,0.4,20,11,5,4,5,7,12.47,6.24,2.09,0.62
570,Saint-Etienne,Montpellier,Ligue_1,2020-11-01,0,1,0.48,0.94,8,10,0,2,5,7,8.56,12.62,0.88,1.77
571,Tottenham,Brighton,Premier_League,2020-11-01,2,1,1.97,0.32,9,6,3,2,3,7,9.57,14.79,2.69,0.19
572,Lille,Lyon,Ligue_1,2020-11-01,1,1,0.44,0.42,15,8,6,1,9,6,7.94,13.8,1.25,1.25
573,Napoli,Sassuolo,Serie_A,2020-11-01,0,2,2.14,1.52,22,8,6,4,9,2,16.18,25.22,1.8,0.94
574,Granada,Levante,La_Liga,2020-11-01,1,1,0.23,0.81,5,19,2,4,4,15,35.17,5.06,0.7,1.88
575,Fulham,West Bromwich Albion,Premier_League,2020-11-02,2,0,1.62,0.48,13,10,6,1,4,3,12.48,5.05,2.34,0.46
576,Verona,Benevento,Serie_A,2020-11-02,3,1,2.52,1.6,14,15,6,5,8,5,7.0,6.12,2.03,0.76
577,Hoffenheim,Union Berlin,Bundesliga,2020-11-02,1,3,1.49,3.66,10,9,5,6,15,9,8.0,19.29,0.2,2.71
578,Leeds,Leicester,Premier_League,2020-11-02,1,4,1.75,3.08,11,10,4,8,7,5,6.74,36.9,0.52,2.3
579,Villarreal,Real Valladolid,La_Liga,2020-11-02,2,0,1.85,0.79,11,11,5,1,6,3,7.13,10.79,2.23,0.56
