,HT,AT,League,Date,FTHG,FTAG,HxG,AxG,HShots,AShots,HST,AST,HDEEP,ADEEP,HPPDA,APPDA,HxPTS,AxPTS
79,Valencia,Espanyol,La_Liga,2020-07-16,1,0,1.24,1.2,9,18,3,6,4,9,26.56,8.45,1.4,1.3
80,Real Sociedad,Sevilla,La_Liga,2020-07-16,0,0,0.84,0.61,11,8,4,3,4,6,11.31,6.35,1.54,1.09
81,Cagliari,Sassuolo,Serie_A,2020-07-18,1,1,0.39,0.72,2,12,1,2,2,7,20.36,4.16,0.97,1.59
82,AC Milan,Bologna,Serie_A,2020-07-18,5,1,3.14,0.53,23,8,13,3,13,2,6.16,9.84,2.78,0.14
83,Verona,Atalanta,Serie_A,2020-07-18,1,1,1.44,1.75,15,21,8,7,3,8,8.76,6.23,1.14,1.6
84,Espanyol,Celta Vigo,La_Liga,2020-07-19,0,0,0.36,0.44,8,9,1,3,1,2,9.96,9.35,1.13,1.34
85,Roma,Inter,Serie_A,2020-07-19,2,2,1.44,1.53,7,8,3,3,7,6,18.05,12.06,1.25,1.42
86,Alaves,Barcelona,La_Liga,2020-07-19,0,5,0.27,3.63,8,16,0,8,4,11,17.46,6.69,0.03,2.96
87,Villarreal,Eibar,La_Liga,2020-07-19,4,0,3.01,0.76,12,11,5,3,6,2,23.33,20.67,2.74,0.17
88,Granada,Athletic Club,La_Liga,2020-07-19,4,0,2.33,0.56,11,10,6,3,6,0,14.86,8.75,2.66,0.23
89,Fiorentina,Torino,Serie_A,2020-07-19,2,0,1.29,0.24,17,7,4,0,6,6,19.93,5.74,2.27,0.46
90,Sevilla,Valencia,La_Liga,2020-07-19,1,0,0.73,0.3,16,8,4,2,10,2,8.27,27.25,1.71,0.86
91,Napoli,Udinese,Serie_A,2020-07-19,2,1,1.13,0.84,24,4,9,3,11,3,11.7,23.06,1.55,1.13
92,Parma Calcio 1913,Sampdoria,Serie_A,2020-07-19,2,3,1.15,1.65,17,20,5,4,7,11,10.72,9.17,0.96,1.78
93,Genoa,Lecce,Serie_A,2020-07-19,2,1,0.45,1.7,10,18,3,1,7,5,14.6,12.65,0.37,2.44
94,Real Valladolid,Real Betis,La_Liga,2020-07-19,2,0,0.92,0.55,13,9,4,3,9,6,17.65,9.38,1.67,0.96
95,Atletico Madrid,Real Sociedad,La_Liga,2020-07-19,1,1,1.5,0.34,6,10,3,4,6,0,20.81,10.73,2.46,0.35
96,Leganes,Real Madrid,La_Liga,2020-07-19,2,2,1.16,1.06,15,7,7,4,7,11,15.42,10.06,1.4,1.3
97,Levante,Getafe,La_Liga,2020-07-19,1,0,2.59,1.73,14,13,5,4,3,8,6.18,7.21,2.03,0.75
98,Osasuna,Mallorca,La_Liga,2020-07-19,2,2,1.01,0.6,12,12,5,4,6,4,6.71,7.19,1.72,0.93
99,Brescia,SPAL 2013,Serie_A,2020-07-19,2,1,1.62,1.58,17,15,3,6,11,9,12.79,10.94,1.36,1.36
100,Wolverhampton Wanderers,Crystal Palace,Premier_League,2020-07-20,2,0,1.49,0.44,11,7,5,3,4,1,14.12,11.68,2.36,0.42
