web-scraper-order,web-scraper-start-url,Games,Games-href,Date,Teams,ODDH,ODDD,ODDA,Warning
"1600978506-1352","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Vitesse - Groningen","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/vitesse-groningen-d2dt9nJT/","Tuesday, 21 May  2019, 18:45","Vitesse - Groningen","1.68","4.11","4.71","Final result"
"1600978078-1181","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","PSV - AZ Alkmaar","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/psv-az-alkmaar-Ie9xw33H/","Saturday, 22 Dec  2018, 17:45","PSV - AZ Alkmaar","1.36","5.33","7.70","Final result"
"1600977856-1092","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Excelsior - Venlo","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/excelsior-venlo-lK98WoOf/","Saturday, 29 Sep  2018, 18:45","Excelsior - Venlo","2.34","3.42","3.01","Final result"
"1600977719-1038","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","PSV - Utrecht","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/psv-utrecht-U3UBQ4wE/","Saturday, 11 Aug  2018, 18:45","PSV - Utrecht","1.37","4.99","8.33","Final result"
"1600977795-1068","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Vitesse - Ajax","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/vitesse-ajax-fPYEQJe4/","Sunday, 02 Sep  2018, 12:30","Vitesse - Ajax","5.87","4.58","1.51","Final result"
"1600977964-1135","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Vitesse - Utrecht","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/vitesse-utrecht-vViB9tw3/","Saturday, 10 Nov  2018, 17:45","Vitesse - Utrecht","2.27","3.41","3.16","Final result"
"1600978210-1234","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Utrecht - Excelsior","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/utrecht-excelsior-Mm6O5DfI/","Saturday, 23 Feb  2019, 16:30","Utrecht - Excelsior","1.44","4.58","7.22","Final result"
"1600978075-1180","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Sittard - Groningen","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/sittard-groningen-OdGTvPY4/","Saturday, 22 Dec  2018, 16:30","Sittard - Groningen","2.19","3.56","3.18","Final result"
"1600978481-1342","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Den Haag - Willem II","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/den-haag-willem-ii-M3tNR9ZR/","Wednesday, 15 May  2019, 17:30","Den Haag - Willem II","2.99","3.80","2.20","Final result"
"1600978000-1150","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/results/","Venlo - AZ Alkmaar","https://www.oddsportal.com/soccer/netherlands/eredivisie-2018-2019/venlo-az-alkmaar-S85XEyFr/","Sunday, 25 Nov  2018, 14:45","Venlo - AZ Alkmaar","3.96","3.70","1.89","Final result"
