web-scraper-order,web-scraper-start-url,Games,Games-href,Date,Teams,ODDH,ODDD,ODDA,Warning
"1600976803-896","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Venlo - Sittard","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/venlo-sittard-2PtTnHPq/","Saturday, 29 Feb  2020, 17:45","Venlo - Sittard","2.16","3.48","3.31","Final result"
"1600976332-711","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Utrecht - Venlo","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/utrecht-venlo-Q7g0ng0q/","Sunday, 25 Aug  2019, 12:30","Utrecht - Venlo","1.30","5.60","9.55","Final result"
"1600976503-779","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Zwolle - Ajax","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/zwolle-ajax-pzNCM5gl/","Friday, 01 Nov  2019, 18:00","Zwolle - Ajax","15.37","8.60","1.15","Final result"
"1600976317-705","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","AZ Alkmaar - Groningen","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/az-alkmaar-groningen-C4TQXgoj/","Sunday, 18 Aug  2019, 14:45","AZ Alkmaar - Groningen","1.61","4.05","5.48","Final result"
"1600976888-930","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Utrecht - Ajax","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/utrecht-ajax-lvAPUr4b/","Thursday, 09 Apr  2020, 17:15","Utrecht - Ajax","-","-","-","Canceled"
"1600976586-810","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Utrecht - Waalwijk","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/utrecht-waalwijk-WQ130Lyg/","Sunday, 01 Dec  2019, 12:30","Utrecht - Waalwijk","1.28","6.26","8.79","Final result"
"1600976515-784","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Venlo - Feyenoord","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/venlo-feyenoord-xruKKqO0/","Sunday, 03 Nov  2019, 12:30","Venlo - Feyenoord","5.61","4.70","1.52","Final result"
"1600976374-728","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Heracles - Willem II","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/heracles-willem-ii-xtK8DVbr/","Sunday, 15 Sep  2019, 12:30","Heracles - Willem II","2.05","3.73","3.38","Final result"
"1600976397-737","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","FC Emmen - Feyenoord","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/fc-emmen-feyenoord-SY4hDM4a/","Sunday, 22 Sep  2019, 12:30","FC Emmen - Feyenoord","6.02","4.76","1.48","Final result"
"1600976949-954","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/results/","Feyenoord - Vitesse","https://www.oddsportal.com/soccer/netherlands/eredivisie-2019-2020/feyenoord-vitesse-tSg7teL0/","Sunday, 10 May  2020, 12:30","Feyenoord - Vitesse","1.40","4.51","6.49","Canceled"
