web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,Time,HomeTeam,AwayTeam,ODDH,ODDD,ODDA
"1595258920-27","https://betway.pt/desportos/futebol/inglaterra-campeonato/","Sheffield WedMiddlesbrough22 Julho19:30","https://betway.pt/desportos/futebol/inglaterra-campeonato/20200722/sheffield-wed-vs-middlesbrough/","Inglaterra - Campeonato","22 Julho","19:30","Sheffield Wed","Middlesbrough","2,25","3,05","3,05"
"1595258913-26","https://betway.pt/desportos/futebol/inglaterra-campeonato/","Bristol CityPreston22 Julho19:30","https://betway.pt/desportos/futebol/inglaterra-campeonato/20200722/bristol-city-vs-preston/","Inglaterra - Campeonato","22 Julho","19:30","Bristol City","Preston","2,60","3,15","2,55"
"1595258871-21","https://betway.pt/desportos/futebol/liga-dos-campe%C3%B5es/","AtalantaParis St-Germain12 Agosto20:00","https://betway.pt/desportos/futebol/liga-dos-campe%C3%B5es/20200812/atalanta-vs-paris-st-germain/","null","null","null","null","null","null","null","null"
"1595258941-30","https://betway.pt/desportos/futebol/inglaterra-campeonato/","LeedsCharlton22 Julho19:30","https://betway.pt/desportos/futebol/inglaterra-campeonato/20200722/leeds-vs-charlton/","Inglaterra - Campeonato","22 Julho","19:30","Leeds","Charlton","1,66","3,75","4,40"
"1595259147-56","https://betway.pt/desportos/futebol/eua-mls/","LyngbyHobroHoje18:00","https://betway.pt/desportos/futebol/dinamarca-superligaen/20200720/lyngby-vs-hobro/","Dinamarca - Superligaen","20 Julho","18:00","Lyngby","Hobro","2,10","3,30","2,95"
"1595258949-31","https://betway.pt/desportos/futebol/inglaterra-campeonato/","Luton TownBlackburn22 Julho19:30","https://betway.pt/desportos/futebol/inglaterra-campeonato/20200722/luton-town-vs-blackburn/","Inglaterra - Campeonato","22 Julho","19:30","Luton Town","Blackburn","1,71","3,60","4,25"
"1595258778-10","https://betway.pt/desportos/futebol/portugal-primeira-liga/","CD TondelaBragaHoje19:15","https://betway.pt/desportos/futebol/portugal-primeira-liga/20200720/cd-tondela-vs-braga/","Portugal - Primeira Liga","20 Julho","19:15","CD Tondela","Braga","5,00","4,00","1,48"
"1595259083-48","https://betway.pt/desportos/futebol/it%C3%A1lia-s%C3%A9rie-a/","LecceBrescia22 Julho20:45","https://betway.pt/desportos/futebol/it%C3%A1lia-s%C3%A9rie-a/20200722/lecce-vs-brescia/","Itália - Série A","22 Julho","20:45","Lecce","Brescia","1,76","3,90","3,95"
"1595259169-57","https://betway.pt/desportos/futebol/esc%C3%B3cia-premiership/","Ross CountyMotherwell3 Agosto19:45","https://betway.pt/desportos/futebol/esc%C3%B3cia-premiership/20200803/ross-county-vs-motherwell/","Escócia - Premiership","3 Agosto","19:45","Ross County","Motherwell","2,75","3,10","2,15"
"1595258863-20","https://betway.pt/desportos/futebol/liga-dos-campe%C3%B5es/","RB LeipzigAtlético de Madrid13 Agosto20:00","https://betway.pt/desportos/futebol/liga-dos-campe%C3%B5es/20200813/rb-leipzig-vs-atl%C3%A9tico-de-madrid/","Liga dos Campeões","13 Agosto","20:00","RB Leipzig","Atlético de Madrid","3,40","3,05","2,25"
"1595258722-3","https://betway.pt/desportos/futebol/r%C3%BAssia-premier-liga/","FC RostovZenit S. Petersburgo22 Julho17:00","https://betway.pt/desportos/futebol/r%C3%BAssia-premier-liga/20200722/fc-rostov-vs-zenit-s-petersburgo/","Rússia - Premier Liga","22 Julho","17:00","FC Rostov","Zenit S. Petersburgo","1,95","3,60","3,05"
"1595258878-22","https://betway.pt/desportos/futebol/liga-dos-campe%C3%B5es/","BarcelonaNapoli8 Agosto20:00","https://betway.pt/desportos/futebol/liga-dos-campe%C3%B5es/20200808/barcelona-vs-napoli/","Liga dos Campeões","8 Agosto","20:00","Barcelona","Napoli","1,60","4,15","5,00"
"1595259048-44","https://betway.pt/desportos/futebol/inglaterra-premier-league/","BrightonNewcastleHoje18:00","https://betway.pt/desportos/futebol/inglaterra-premier-league/20200720/brighton-vs-newcastle/","Inglaterra - Premier League","20 Julho","18:00","Brighton","Newcastle","1,90","3,40","4,10"
"1595258764-8","https://betway.pt/desportos/futebol/portugal-primeira-liga/","Sporting CPSetúbalAmanhã19:00","https://betway.pt/desportos/futebol/portugal-primeira-liga/20200721/sporting-cp-vs-set%C3%BAbal/","Portugal - Primeira Liga","21 Julho","19:00","Sporting CP","Setúbal","1,31","4,40","7,00"
"1595258970-34","https://betway.pt/desportos/futebol/inglaterra-campeonato/","ReadingSwansea22 Julho19:30","https://betway.pt/desportos/futebol/inglaterra-campeonato/20200722/reading-vs-swansea/","Inglaterra - Campeonato","22 Julho","19:30","Reading","Swansea","3,60","3,45","1,86"
"1595258842-18","https://betway.pt/desportos/futebol/liga-europa/","Man UtdLASK Linz5 Agosto17:55","https://betway.pt/desportos/futebol/liga-europa/20200805/man-utd-vs-lask-linz/","Liga Europa","5 Agosto","17:55","Man Utd","LASK Linz","1,26","5,30","8,25"
"1595258885-23","https://betway.pt/desportos/futebol/liga-dos-campe%C3%B5es/","Bayern de MuniqueChelsea8 Agosto20:00","https://betway.pt/desportos/futebol/liga-dos-campe%C3%B5es/20200808/bayern-de-munique-vs-chelsea/","null","null","null","null","null","null","null","null"
"1595259176-58","https://betway.pt/desportos/futebol/esc%C3%B3cia-premiership/","CelticHamilton Accies2 Agosto16:30","https://betway.pt/desportos/futebol/esc%C3%B3cia-premiership/20200802/celtic-vs-hamilton-accies/","Escócia - Premiership","2 Agosto","16:30","Celtic","Hamilton Accies","1,06","7,00","13,75"
"1595258715-2","https://betway.pt/desportos/futebol/r%C3%BAssia-premier-liga/","Dínamo de MoscovoGazovik Orenburg22 Julho17:00","https://betway.pt/desportos/futebol/r%C3%BAssia-premier-liga/20200722/d%C3%ADnamo-de-moscovo-vs-gazovik-orenburg/","Rússia - Premier Liga","22 Julho","17:00","Dínamo de Moscovo","Gazovik Orenburg","1,35","4,00","7,00"
"1595259197-61","https://betway.pt/desportos/futebol/esc%C3%B3cia-premiership/","Dundee UtdSaint Johnstone1 Agosto15:00","https://betway.pt/desportos/futebol/esc%C3%B3cia-premiership/20200801/dundee-utd-vs-saint-johnstone/","Escócia - Premiership","1 Agosto","15:00","Dundee Utd","Saint Johnstone","2,55","2,95","2,40"
"1595259012-39","https://betway.pt/desportos/futebol/inglaterra-premier-league/","Man UtdWest Ham22 Julho18:00","https://betway.pt/desportos/futebol/inglaterra-premier-league/20200722/man-utd-vs-west-ham/","Inglaterra - Premier League","22 Julho","18:00","Man Utd","West Ham","1,23","6,05","11,00"
"1595259119-53","https://betway.pt/desportos/futebol/it%C3%A1lia-s%C3%A9rie-a/","SassuoloAC MilanAmanhã20:45","https://betway.pt/desportos/futebol/it%C3%A1lia-s%C3%A9rie-a/20200721/sassuolo-vs-ac-milan/","Itália - Série A","21 Julho","20:45","Sassuolo","AC Milan","3,40","3,70","1,95"
"1595258729-4","https://betway.pt/desportos/futebol/r%C3%BAssia-premier-liga/","Rubin KazanSpartak de Moscovo22 Julho17:00","https://betway.pt/desportos/futebol/r%C3%BAssia-premier-liga/20200722/rubin-kazan-vs-spartak-de-moscovo/","Rússia - Premier Liga","22 Julho","17:00","Rubin Kazan","Spartak de Moscovo","2,65","3,00","2,45"
