League,Date,Time,HT,AT,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,ODD_BthScore_Yes,ODD_BthScore_No,ODD_1X,ODD_12,ODD_X2,SO,Scrape_Date,Scrape_Time
Primeira_Liga,2020-10-20,2000,SC Braga,CD Nacional Madeira,1.35,4.75,7.75,1.55,2.0,1.8,1.67,1.05,None,2.94,None,2020-10-04,2307
Champions,2020-10-20,2000,RB Leipzig,Istanbul Basaksehir,1.35,5.15,7.15,None,None,None,None,None,None,None,None,2020-10-04,2259
Primeira_Liga,2020-10-20,2000,CS Maritimo,Portimonense,2.3,3.15,3.05,2.05,1.5,1.8,1.67,1.33,None,1.55,None,2020-10-04,2307
Primeira_Liga,2020-10-20,2000,Sporting CP,FC Porto,3.05,3.3,2.25,1.83,1.65,1.65,1.83,1.57,None,1.33,None,2020-10-04,2307
Champions,2020-10-20,2000,Lazio,Borussia Dortmund,2.9,3.6,2.19,None,None,None,None,None,None,None,None,2020-10-04,2259
Champions,2020-10-20,2000,Barcelona,Ferencvaros,1.11,8.0,19.5,None,None,None,None,None,None,None,None,2020-10-04,2259
Champions,2020-10-20,2000,Rennes,Krasnodar,1.8,3.6,4.05,None,None,None,None,None,None,None,None,2020-10-04,2259
Primeira_Liga,2020-10-20,2000,Gil Vicente FC,CD Tondela,2.25,3.25,3.05,2.13,1.47,1.87,1.63,1.33,None,1.55,None,2020-10-04,2307
Primeira_Liga,2020-10-20,2000,Rio Ave FC,SL Benfica,5.85,4.55,1.45,1.38,2.33,1.5,2.05,2.54,None,1.1,None,2020-10-04,2307
Primeira_Liga,2020-10-20,2000,Belenenses SAD,Moreirense FC,2.35,3.2,2.92,2.05,1.5,1.83,1.65,1.36,None,1.53,None,2020-10-04,2307
Champions,2020-10-20,2000,PSG,Manchester United,1.63,4.0,4.6,None,None,None,None,None,None,None,None,2020-10-04,2259
Champions,2020-10-20,2000,Chelsea,Sevilha,1.91,3.45,3.75,None,None,None,None,None,None,None,None,2020-10-04,2259
Champions,2020-10-21,1755,Salzburgo,Lokomotiv Moscovo,1.55,4.2,5.05,None,None,None,None,None,None,None,None,2020-10-04,2259
Champions,2020-10-21,1755,Real Madrid,Shakhtar Donetsk,1.36,4.95,6.95,None,None,None,None,None,None,None,None,2020-10-04,2259
Championship,2020-10-21,1945,Cardiff,Bournemouth,2.66,3.2,2.56,None,None,None,None,None,None,None,None,2020-10-04,2251
Championship,2020-10-21,1945,Queens Park Rangers,Preston,2.45,3.25,2.74,None,None,None,None,None,None,None,None,2020-10-04,2251
Championship,2020-10-21,1945,Huddersfield,Derby County,2.4,3.25,2.82,None,None,None,None,None,None,None,None,2020-10-04,2251
Championship,2020-10-21,1945,Sheffield Wednesday,Brentford FC,3.15,3.25,2.2,None,None,None,None,None,None,None,None,2020-10-04,2251
Championship,2020-10-21,1945,Watford,Blackburn Rovers,1.95,3.35,3.7,None,None,None,None,None,None,None,None,2020-10-04,2251
Champions,2020-10-21,2000,Bayern Munique,Atletico de Madrid,1.61,3.95,4.85,None,None,None,None,None,None,None,None,2020-10-04,2259
Champions,2020-10-21,2000,Inter de Milao,Borussia Monchengladbach,1.7,3.7,4.5,None,None,None,None,None,None,None,None,2020-10-04,2259
Champions,2020-10-21,2000,Olympiacos,Marselha,2.33,3.2,2.96,None,None,None,None,None,None,None,None,2020-10-04,2259
Champions,2020-10-21,2000,Ajax,Liverpool,4.75,3.95,1.63,None,None,None,None,None,None,None,None,2020-10-04,2259
Champions,2020-10-21,2000,FC Midtjylland,Atalanta,4.65,4.15,1.6,None,None,None,None,None,None,None,None,2020-10-04,2259
Champions,2020-10-21,2000,Manchester City,FC Porto,1.36,5.05,6.85,None,None,None,None,None,None,None,None,2020-10-04,2259
Championship,2020-10-21,2000,Stoke City,Barnsley FC,2.0,3.35,3.55,None,None,None,None,None,None,None,None,2020-10-04,2251
Liga_Europa,2020-10-22,1755,CSKA Sofia,Cluj,2.67,3.15,2.58,None,None,None,None,None,None,None,None,2020-10-04,2256
Liga_Europa,2020-10-22,1755,Napoles,AZ Alkmaar,1.47,4.33,5.85,None,None,None,None,None,None,None,None,2020-10-04,2256
Liga_Europa,2020-10-22,1755,FC Dundalk,Molde FK,3.7,3.5,1.91,None,None,None,None,None,None,None,None,2020-10-04,2256
Liga_Europa,2020-10-22,1755,Young Boys,AS Roma,4.15,3.5,1.8,None,None,None,None,None,None,None,None,2020-10-04,2256
Liga_Europa,2020-10-22,1755,Standard Liege,Rangers,2.3,3.25,2.96,None,None,None,None,None,None,None,None,2020-10-04,2256
Liga_Europa,2020-10-22,1755,Lech Poznan,SL Benfica,4.7,3.5,1.72,None,None,None,None,None,None,None,None,2020-10-04,2256
Liga_Europa,2020-10-22,1755,PAOK Salonica,AC Omonia Nicosia,1.53,3.95,5.8,None,None,None,None,None,None,None,None,2020-10-04,2256
Liga_Europa,2020-10-22,1755,Hapoel Beer Sheva,Slavia Praga,4.15,3.3,1.87,None,None,None,None,None,None,None,None,2020-10-04,2256
Liga_Europa,2020-10-22,1755,HNK Rijeka,Real Sociedad,4.35,3.75,1.72,None,None,None,None,None,None,None,None,2020-10-04,2256
Liga_Europa,2020-10-22,1755,Rapid Viena,Arsenal,4.45,3.75,1.7,None,None,None,None,None,None,None,None,2020-10-04,2256
Liga_Europa,2020-10-22,1755,Bayer Leverkusen,Nice,1.65,3.8,4.75,None,None,None,None,None,None,None,None,2020-10-04,2256
Liga_Europa,2020-10-22,1755,PSV Eindhoven,Granada CF,2.3,3.2,3.0,None,None,None,None,None,None,None,None,2020-10-04,2256
Liga_Europa,2020-10-22,2000,Maccabi Tel Aviv,Qarabag FK,1.87,3.25,4.25,None,None,None,None,None,None,None,None,2020-10-04,2256
