League,Date,Time,HT,AT,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,ODD_BthScore_Yes,ODD_BthScore_No,ODD_1X,ODD_12,ODD_X2,SO,Scrape_Date,Scrape_Time
Primeira_Liga,2020-10-18,1730,SC Farense,Famalicao,2.8,3.35,2.35,1.75,1.72,1.6,1.91,1.53,None,1.38,None,2020-10-09,1559
La_Liga,2020-10-18,1800,Huesca,Real Valladolid,2.33,2.8,3.4,2.68,1.32,2.17,1.5,1.27,None,1.53,None,2020-10-09,1555
La_Liga,2020-10-18,1800,Athletic Bilbao,Levante,1.95,3.2,3.9,2.20,1.47,1.95,1.61,1.21,None,1.75,None,2020-10-09,1555
Serie_A,2020-10-18,1945,AS Roma,Benevento Calcio,1.31,5.25,7.9,1.44,2.3,1.75,1.8,1.04,None,3.15,None,2020-10-09,1600
La_Liga,2020-10-18,2000,Getafe,Barcelona,4.4,3.7,1.72,1.67,1.88,1.65,1.91,2.00,None,1.17,None,2020-10-09,1555
La_Liga,2020-10-18,2000,Real Madrid,Cadiz CF,1.2,6.2,11.75,1.50,2.15,2.14,1.5,1.02,None,4.05,None,2020-10-09,1555
La_Liga,2020-10-18,2000,Eibar,CA Osasuna,2.4,3.05,3.0,2.20,1.47,1.91,1.65,1.35,None,1.5,None,2020-10-09,1555
La_Liga,2020-10-18,2000,Celta de Vigo,Atletico de Madrid,4.95,3.3,1.75,2.19,1.50,2.04,1.57,1.95,None,1.14,None,2020-10-09,1555
Ligue_1,2020-10-18,2000,Lille,RC Lens,1.88,3.35,4.0,1.91,1.60,1.75,1.72,1.20,None,1.83,None,2020-10-09,1537
La_Liga,2020-10-18,2000,Betis,Real Sociedad,2.4,3.4,2.7,1.75,1.80,1.6,2.0,1.40,None,1.5,None,2020-10-09,1555
Primeira_Liga,2020-10-18,2000,Rio Ave FC,SL Benfica,5.3,4.05,1.55,1.60,1.91,1.63,1.87,2.25,None,1.12,None,2020-10-09,1559
La_Liga,2020-10-18,2000,Villarreal,Valencia,1.65,3.8,4.75,1.67,1.88,1.65,1.91,1.15,None,2.1,None,2020-10-09,1555
La_Liga,2020-10-18,2000,Granada CF,Sevilha,4.0,3.45,1.85,1.95,1.61,1.83,1.72,1.85,None,1.2,None,2020-10-09,1555
La_Liga,2020-10-18,2000,Alaves,Elche CF,1.8,3.25,4.6,2.52,1.36,2.25,1.45,1.16,None,1.9,None,2020-10-09,1555
RFPL,2020-10-19,1800,CSKA Moscovo,Dinamo Moscovo,2.02,3.25,3.6,2.05,1.50,1.83,1.63,1.24,None,1.7,None,2020-10-09,1543
RFPL,2020-10-19,1800,FK Khimki,Spartak Moscovo,5.85,3.75,1.55,2.00,1.53,2.04,1.5,2.25,None,1.1,None,2020-10-09,1543
RFPL,2020-10-19,1800,Lokomotiv Moscovo,FC Ufa,1.55,3.55,6.6,2.13,1.45,2.14,1.44,1.07,None,2.3,None,2020-10-09,1543
RFPL,2020-10-19,1800,Rotor Volgograd,Tambov,2.66,3.05,2.66,2.00,1.53,1.72,1.72,1.42,None,1.42,None,2020-10-09,1543
RFPL,2020-10-19,1800,Zenit Sao Petersburgo,PFC Sochi,1.4,4.15,7.85,1.70,1.75,1.9,1.57,1.05,None,2.7,None,2020-10-09,1543
RFPL,2020-10-19,1800,Krasnodar,Rubin Kazan,1.78,3.65,4.15,1.75,1.70,1.67,1.78,1.19,None,1.95,None,2020-10-09,1543
RFPL,2020-10-19,1800,Rostov,FC Akhmat Grozny,1.95,3.25,3.8,2.05,1.50,1.83,1.63,1.22,None,1.72,None,2020-10-09,1543
RFPL,2020-10-19,1800,Arsenal Tula,Ural Sverdlovskaya Oblast,2.3,3.2,3.0,2.00,1.53,1.75,1.7,1.33,None,1.55,None,2020-10-09,1543
Premier_League,2020-10-19,2000,Leeds United,Wolverhampton,2.5,3.1,2.78,1.95,1.63,1.72,1.83,1.38,None,1.47,None,2020-10-09,1601
Primeira_Liga,2020-10-19,2015,Boavista FC,Vitoria Guimaraes,3.25,3.15,2.2,2.05,1.50,1.8,1.67,1.60,None,1.3,None,2020-10-09,1559
Champions,2020-10-20,1755,Zenit Sao Petersburgo,Club Brugge,1.78,3.5,4.3,None,None,None,None,None,None,None,None,2020-10-09,1548
Champions,2020-10-20,1755,Dinamo Kiev,Juventus,5.9,3.8,1.55,None,None,None,None,None,None,None,None,2020-10-09,1548
Championship,2020-10-20,1945,Bristol City,Middlesbrough,2.4,3.25,2.82,None,None,None,None,None,None,None,None,2020-10-09,1539
Championship,2020-10-20,1945,Norwich City,Birmingham,1.72,3.65,4.4,None,None,None,None,None,None,None,None,2020-10-09,1539
Championship,2020-10-20,1945,Nottingham Forest,Rotherham,1.85,3.35,4.15,None,None,None,None,None,None,None,None,2020-10-09,1539
Championship,2020-10-20,1945,Millwall FC,Luton Town,1.9,3.4,3.85,None,None,None,None,None,None,None,None,2020-10-09,1539
Championship,2020-10-20,1945,Coventry City,Swansea City,2.56,3.2,2.66,None,None,None,None,None,None,None,None,2020-10-09,1539
Champions,2020-10-20,2000,Rennes,Krasnodar,1.8,3.6,4.05,None,None,None,None,None,None,None,None,2020-10-09,1548
Champions,2020-10-20,2000,Barcelona,Ferencvaros,1.07,9.5,24.0,None,None,None,None,None,None,None,None,2020-10-09,1548
Championship,2020-10-20,2000,Reading,Wycombe,1.6,4.1,4.85,None,None,None,None,None,None,None,None,2020-10-09,1539
Champions,2020-10-20,2000,PSG,Manchester United,1.55,4.2,5.1,None,None,None,None,None,None,None,None,2020-10-09,1548
Champions,2020-10-20,2000,Chelsea,Sevilha,1.95,3.45,3.55,None,None,None,None,None,None,None,None,2020-10-09,1548
Champions,2020-10-20,2000,RB Leipzig,Istanbul Basaksehir,1.32,5.15,7.8,None,None,None,None,None,None,None,None,2020-10-09,1548
Champions,2020-10-20,2000,Lazio,Borussia Dortmund,2.9,3.6,2.19,None,None,None,None,None,None,None,None,2020-10-09,1548
Champions,2020-10-21,1755,Salzburgo,Lokomotiv Moscovo,1.55,4.15,5.15,None,None,None,None,None,None,None,None,2020-10-09,1548
Champions,2020-10-21,1755,Real Madrid,Shakhtar Donetsk,1.24,5.75,10.0,None,None,None,None,None,None,None,None,2020-10-09,1548
Championship,2020-10-21,1945,Sheffield Wednesday,Brentford FC,3.35,3.25,2.11,None,None,None,None,None,None,None,None,2020-10-09,1539
Championship,2020-10-21,1945,Cardiff,Bournemouth,2.66,3.2,2.56,None,None,None,None,None,None,None,None,2020-10-09,1539
Championship,2020-10-21,1945,Huddersfield,Derby County,2.4,3.25,2.82,None,None,None,None,None,None,None,None,2020-10-09,1539
Championship,2020-10-21,1945,Queens Park Rangers,Preston,2.45,3.25,2.74,None,None,None,None,None,None,None,None,2020-10-09,1539
Championship,2020-10-21,1945,Watford,Blackburn Rovers,1.95,3.35,3.7,None,None,None,None,None,None,None,None,2020-10-09,1539
Champions,2020-10-21,2000,Inter de Milao,Borussia Monchengladbach,1.65,3.85,4.65,None,None,None,None,None,None,None,None,2020-10-09,1548
Champions,2020-10-21,2000,Manchester City,FC Porto,1.32,5.25,7.55,None,None,None,None,None,None,None,None,2020-10-09,1548
Championship,2020-10-21,2000,Stoke City,Barnsley FC,2.0,3.35,3.55,None,None,None,None,None,None,None,None,2020-10-09,1539
Champions,2020-10-21,2000,Olympiacos,Marselha,2.3,3.15,3.05,None,None,None,None,None,None,None,None,2020-10-09,1548
Champions,2020-10-21,2000,Ajax,Liverpool,5.05,3.9,1.6,None,None,None,None,None,None,None,None,2020-10-09,1548
Champions,2020-10-21,2000,Bayern Munique,Atletico de Madrid,1.53,4.1,5.45,None,None,None,None,None,None,None,None,2020-10-09,1548
Liga_Europa,2020-10-22,1755,PSV Eindhoven,Granada CF,2.3,3.25,2.96,None,None,None,None,None,None,None,None,2020-10-09,1544
Liga_Europa,2020-10-22,1755,Bayer Leverkusen,Nice,1.63,4.0,4.6,None,None,None,None,None,None,None,None,2020-10-09,1544
Liga_Europa,2020-10-22,1755,Young Boys,AS Roma,3.9,3.7,1.8,None,None,None,None,None,None,None,None,2020-10-09,1544
Liga_Europa,2020-10-22,1755,Lech Poznan,SL Benfica,4.95,3.8,1.63,None,None,None,None,None,None,None,None,2020-10-09,1544
Liga_Europa,2020-10-22,1755,Standard Liege,Rangers,2.33,3.4,2.8,None,None,None,None,None,None,None,None,2020-10-09,1544
Liga_Europa,2020-10-22,1755,PAOK Salonica,AC Omonia Nicosia,1.57,3.95,5.25,None,None,None,None,None,None,None,None,2020-10-09,1544
Liga_Europa,2020-10-22,1755,Hapoel Beer Sheva,Slavia Praga,4.95,3.55,1.67,None,None,None,None,None,None,None,None,2020-10-09,1544
