web-scraper-order,web-scraper-start-url,Games,Games-href,HomeTeam,AwayTeam,League,Date,HGoals,AGoals,HxG,AxG,HShots,AShots,HST,AST,HDEEP,ADEEP,HPPDA,APPDA,HxPTS,AxPTS
1603835366-181,https://understat.com/league/Bundesliga,212.690.80,https://understat.com/match/15179,RasenBallsport Leipzig,Hertha Berlin,Bundesliga,Oct 24 2020,2,1,2.69,0.8,26,9,8,2,18,6,5.85,9.33,2.6,0.28
1603835610-211,https://understat.com/league/Ligue_1,040.144.33,https://understat.com/match/15829,Montpellier,Reims,Ligue 1,Oct 25 2020,0,4,0.14,4.33,5,24,1,9,0,15,51.38,13.0,0.0,3.0
1603835529-201,https://understat.com/league/La_liga,020.312.31,https://understat.com/match/14843,Real Valladolid,Alaves,La liga,Oct 25 2020,0,2,0.31,2.31,5,14,1,4,5,4,19.38,11.33,0.13,2.79
1603835225-164,https://understat.com/league/RFPL,311.210.34,https://understat.com/match/14315,Dinamo Moscow,PFC Sochi,RFPL,Oct 24 2020,3,1,1.21,0.34,19,11,9,6,6,9,11.39,7.18,2.14,0.57
1603835543-203,https://understat.com/league/La_liga,011.990.20,https://understat.com/match/14842,Sevilla,Eibar,La liga,Oct 24 2020,0,1,1.99,0.2,21,3,3,1,5,2,5.17,15.63,2.74,0.15
1603835647-216,https://understat.com/league/Ligue_1,121.221.21,https://understat.com/match/15832,Rennes,Angers,Ligue 1,Oct 23 2020,1,2,1.22,1.21,11,10,1,4,8,4,8.44,28.21,1.38,1.31
1603835625-213,https://understat.com/league/Ligue_1,201.930.71,https://understat.com/match/15826,Bordeaux,Nimes,Ligue 1,Oct 25 2020,2,0,1.93,0.71,20,8,6,4,5,5,12.26,11.03,2.33,0.47
1603835469-194,https://understat.com/league/EPL,011.080.62,https://understat.com/match/14478,Leeds,Wolverhampton Wanderers,EPL,Oct 19 2020,0,1,1.08,0.62,13,7,2,3,14,2,5.5,12.0,1.75,0.91
1603835189-159,https://understat.com/league/RFPL,021.501.84,https://understat.com/match/14319,FC Rostov,Khimki,RFPL,Oct 25 2020,0,2,1.5,1.84,14,14,7,9,6,6,6.52,19.55,1.11,1.63
1603835284-171,https://understat.com/league/Serie_A,211.431.76,https://understat.com/match/15472,Lazio,Bologna,Serie A,Oct 24 2020,2,1,1.43,1.76,10,21,3,5,3,9,9.21,8.97,1.13,1.61
