web-scraper-order,web-scraper-start-url,Games,Games-href,HomeTeam,AwayTeam,League,Date,HGoals,AGoals,HxG,AxG,HShots,AShots,HST,AST,HDEEP,ADEEP,HPPDA,APPDA,HxPTS,AxPTS
1601555043-213,https://understat.com/league/Ligue_1,001.180.65,https://understat.com/match/14217,Bordeaux,Nice,Ligue 1,Sep 27 2020,0,0,1.18,0.65,18,13,5,2,5,9,17.71,10.26,1.82,0.87
1601553762-46,https://understat.com/league/RFPL,303.450.39,https://understat.com/match/14031,Rubin Kazan,FC Ufa,RFPL,Aug 26 2020,3,0,3.45,0.39,20,12,11,3,7,2,13.82,23.45,2.94,0.03
1601554530-144,https://understat.com/league/La_liga,000.720.77,https://understat.com/match/14152,Real Sociedad,Real Madrid,La liga,Sep 20 2020,0,0,0.72,0.77,6,16,1,4,4,7,13.24,7.0,1.26,1.37
1601554153-95,https://understat.com/league/Bundesliga,140.502.05,https://understat.com/match/14177,Werder Bremen,Hertha Berlin,Bundesliga,Sep 19 2020,1,4,0.5,2.05,16,13,6,6,6,3,12.09,4.79,0.35,2.49
1601553507-11,https://understat.com/league/RFPL,202.590.35,https://understat.com/match/14007,Spartak Moscow,FK Akhmat,RFPL,Aug 14 2020,2,0,2.59,0.35,19,7,4,3,9,4,3.69,13.16,2.84,0.1
1601554211-103,https://understat.com/league/Bundesliga,110.911.20,https://understat.com/match/14187,Bayer Leverkusen,RasenBallsport Leipzig,Bundesliga,Sep 26 2020,1,1,0.91,1.2,11,7,4,2,5,3,6.77,12.48,1.08,1.59
1601554617-156,https://understat.com/league/La_liga,130.722.99,https://understat.com/match/14160,Osasuna,Levante,La liga,Sep 27 2020,1,3,0.72,2.99,8,11,4,5,1,8,9.87,6.0,0.13,2.79
1601554661-162,https://understat.com/league/La_liga,011.060.38,https://understat.com/match/14166,Eibar,Elche,La liga,Sep 30 2020,0,1,1.06,0.38,12,5,4,2,6,4,4.0,12.8,2.13,0.57
1601553645-30,https://understat.com/league/RFPL,201.950.66,https://understat.com/match/14015,FC Krasnodar,Arsenal Tula,RFPL,Aug 18 2020,2,0,1.95,0.66,14,11,7,4,9,2,6.0,11.33,2.42,0.39
1601554745-172,https://understat.com/league/Ligue_1,010.742.02,https://understat.com/match/13978,Dijon,Angers,Ligue 1,Aug 22 2020,0,1,0.74,2.02,9,12,1,4,5,6,22.0,24.13,0.42,2.38
1601554941-199,https://understat.com/league/Ligue_1,102.380.49,https://understat.com/match/14208,Strasbourg,Dijon,Ligue 1,Sep 20 2020,1,0,2.38,0.49,17,5,6,2,10,5,13.45,20.18,2.68,0.21
1601554218-104,https://understat.com/league/Bundesliga,111.480.77,https://understat.com/match/14186,Borussia M.Gladbach,Union Berlin,Bundesliga,Sep 26 2020,1,1,1.48,0.77,14,14,6,2,1,3,11.05,14.18,1.96,0.78
1601554523-143,https://understat.com/league/La_liga,000.340.78,https://understat.com/match/14136,Eibar,Celta Vigo,La liga,Sep 12 2020,0,0,0.34,0.78,8,6,1,3,1,2,4.41,5.23,0.81,1.8
1601554825-183,https://understat.com/league/Ligue_1,012.220.50,https://understat.com/match/14200,Paris Saint Germain,Marseille,Ligue 1,Sep 13 2020,0,1,2.22,0.5,14,5,4,2,6,1,4.38,12.38,2.68,0.21
1601554574-150,https://understat.com/league/La_liga,212.991.11,https://understat.com/match/14146,Villarreal,Eibar,La liga,Sep 19 2020,2,1,2.99,1.11,14,12,8,4,6,1,7.63,8.93,2.57,0.31
