League,Date,Time,HT,AT,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,ODD_BthScore_Yes,ODD_BthScore_No,ODD_1X,ODD_12,ODD_X2,SO,Scrape_Date,Scrape_Time
RFPL,2020-10-19,1800,CSKA Moscovo,Dinamo Moscovo,2.0,3.2,3.75,2.00,1.53,1.78,1.67,1.23,None,1.72,None,2020-10-06,1246
RFPL,2020-10-19,1800,Rotor Volgograd,Tambov,2.66,3.05,2.66,2.00,1.53,1.72,1.72,1.42,None,1.42,None,2020-10-06,1246
RFPL,2020-10-19,1800,Krasnodar,Rubin Kazan,1.83,3.5,4.1,1.72,1.72,1.63,1.83,1.20,None,1.88,None,2020-10-06,1246
Premier_League,2020-10-19,2000,Leeds United,Wolverhampton,2.5,3.1,2.82,1.95,1.61,1.72,1.83,1.38,None,1.47,None,2020-10-06,1303
Champions,2020-10-20,1755,Dinamo Kiev,Juventus,5.7,3.85,1.55,None,None,None,None,None,None,None,None,2020-10-06,1251
Champions,2020-10-20,1755,Zenit Sao Petersburgo,Club Brugge,1.75,3.55,4.35,None,None,None,None,None,None,None,None,2020-10-06,1251
Championship,2020-10-20,1945,Nottingham Forest,Rotherham,1.85,3.35,4.15,None,None,None,None,None,None,None,None,2020-10-06,1242
Championship,2020-10-20,1945,Millwall FC,Luton Town,1.9,3.4,3.85,None,None,None,None,None,None,None,None,2020-10-06,1242
Championship,2020-10-20,1945,Coventry City,Swansea City,2.56,3.2,2.66,None,None,None,None,None,None,None,None,2020-10-06,1242
Championship,2020-10-20,1945,Norwich City,Birmingham,1.72,3.65,4.4,None,None,None,None,None,None,None,None,2020-10-06,1242
Championship,2020-10-20,1945,Bristol City,Middlesbrough,2.4,3.25,2.82,None,None,None,None,None,None,None,None,2020-10-06,1242
Primeira_Liga,2020-10-20,2000,CS Maritimo,Portimonense,2.3,3.15,3.05,2.05,1.50,1.8,1.67,1.33,None,1.55,None,2020-10-06,1300
Primeira_Liga,2020-10-20,2000,Belenenses SAD,Moreirense FC,2.35,3.2,2.92,2.05,1.50,1.83,1.65,1.36,None,1.53,None,2020-10-06,1300
Primeira_Liga,2020-10-20,2000,Sporting CP,FC Porto,3.05,3.3,2.25,1.83,1.65,1.65,1.83,1.57,None,1.33,None,2020-10-06,1300
Primeira_Liga,2020-10-20,2000,Gil Vicente FC,CD Tondela,2.25,3.25,3.05,2.13,1.47,1.87,1.63,1.33,None,1.55,None,2020-10-06,1300
Primeira_Liga,2020-10-20,2000,SC Braga,CD Nacional Madeira,1.35,4.75,7.75,1.55,2.00,1.8,1.67,1.05,None,2.94,None,2020-10-06,1300
Champions,2020-10-20,2000,RB Leipzig,Istanbul Basaksehir,1.32,5.15,7.7,None,None,None,None,None,None,None,None,2020-10-06,1251
Champions,2020-10-20,2000,PSG,Manchester United,1.55,4.2,5.05,None,None,None,None,None,None,None,None,2020-10-06,1251
Championship,2020-10-20,2000,Reading,Wycombe,1.6,4.1,4.85,None,None,None,None,None,None,None,None,2020-10-06,1242
Champions,2020-10-20,2000,Rennes,Krasnodar,1.8,3.6,4.05,None,None,None,None,None,None,None,None,2020-10-06,1251
Primeira_Liga,2020-10-20,2000,Boavista FC,Vitoria Guimaraes,3.2,3.2,2.2,2.05,1.50,1.8,1.67,1.57,None,1.31,None,2020-10-06,1300
Primeira_Liga,2020-10-20,2000,SC Farense,Famalicao,2.8,3.35,2.35,1.75,1.72,1.6,1.91,1.53,None,1.38,None,2020-10-06,1300
Primeira_Liga,2020-10-20,2000,Rio Ave FC,SL Benfica,5.85,4.55,1.45,1.38,2.33,1.5,2.05,2.54,None,1.1,None,2020-10-06,1300
Champions,2020-10-20,2000,Chelsea,Sevilha,1.95,3.4,3.65,None,None,None,None,None,None,None,None,2020-10-06,1251
Champions,2020-10-20,2000,Barcelona,Ferencvaros,1.08,9.0,23.0,None,None,None,None,None,None,None,None,2020-10-06,1251
Champions,2020-10-20,2000,Lazio,Borussia Dortmund,2.86,3.6,2.2,None,None,None,None,None,None,None,None,2020-10-06,1251
Primeira_Liga,2020-10-20,2000,FC Pacos Ferreira,CD Santa Clara,2.54,3.3,2.6,2.05,1.50,1.8,1.67,1.44,None,1.45,None,2020-10-06,1300
Champions,2020-10-21,1755,Salzburgo,Lokomotiv Moscovo,1.55,4.15,5.15,None,None,None,None,None,None,None,None,2020-10-06,1251
Champions,2020-10-21,1755,Real Madrid,Shakhtar Donetsk,1.33,5.0,7.55,None,None,None,None,None,None,None,None,2020-10-06,1251
Championship,2020-10-21,1945,Huddersfield,Derby County,2.4,3.25,2.82,None,None,None,None,None,None,None,None,2020-10-06,1242
Championship,2020-10-21,1945,Sheffield Wednesday,Brentford FC,3.35,3.25,2.11,None,None,None,None,None,None,None,None,2020-10-06,1242
Championship,2020-10-21,1945,Queens Park Rangers,Preston,2.45,3.25,2.74,None,None,None,None,None,None,None,None,2020-10-06,1242
Championship,2020-10-21,1945,Cardiff,Bournemouth,2.66,3.2,2.56,None,None,None,None,None,None,None,None,2020-10-06,1242
