,Unnamed: 0,League,Date,Time,HT,AT,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,ODD_BthScore_Yes,ODD_BthScore_No,ODD_1X,ODD_12,ODD_X2,Scrape_Date,Scrape_Time
76,76,Championship,2020-07-22,1930,Nottingham Forest,Stoke City,2.11,3.25,3.35,1.87,1.63,1.67,1.8,1.27,1.25,1.65,2020-07-19,1145
77,77,Championship,2020-07-22,1930,Sheffield Wednesday,Middlesbrough,2.15,3.1,3.4,1.87,1.63,1.65,1.83,1.27,1.27,1.63,2020-07-19,1145
78,78,La_Liga,2020-07-19,2000,Atletico de Madrid,Real Sociedad,2.17,2.72,4.6,2.37,1.45,1.91,1.65,1.18,1.38,1.65,2020-07-19,1145
79,79,Primeira_Liga,2020-07-20,1700,Pacos Ferreira,Portimonense,3.05,3.05,2.35,1.78,1.75,1.57,2.02,1.53,1.3,1.32,2020-07-19,1145
80,80,MLS,2020-07-22,100,Atlanta United,Columbus Crew,2.52,3.35,2.6,1.65,1.8,1.50,2.02,1.44,1.23,1.45,2020-07-19,1145
81,81,La_Liga,2020-07-19,1600,Alaves,Barcelona,6.2,4.2,1.47,1.57,2.02,1.67,1.87,2.52,1.16,1.08,2020-07-19,1145
82,82,Primeira_Liga,2020-07-19,2115,Vitoria Guimaraes,Maritimo,1.67,4.0,5.25,1.70,1.91,1.65,1.9,1.14,1.2,2.11,2020-07-19,1145
83,83,Premiership,2020-08-01,1500,Hibernian FC,Kilmarnock FC,2.13,3.25,3.3,1.75,1.72,1.60,1.9,1.28,1.25,1.63,2020-07-19,1145
84,84,MLS,2020-07-23,100,FC Cincinnati,New York Red Bulls,4.0,3.55,1.83,1.55,1.95,1.50,2.05,1.88,1.21,1.2,2020-07-19,1145
85,85,Championship,2020-07-22,1930,West Brom,Queens Park Rangers,1.21,5.8,12.25,1.47,2.15,1.95,1.57,1.02,1.1,3.9,2020-07-19,1145
86,86,La_Liga,2020-07-19,2000,Granada CF,Athletic Bilbao,2.05,3.2,3.6,1.91,1.65,1.72,1.83,1.25,1.27,1.67,2020-07-19,1145
87,87,Serie_A,2020-07-22,2045,Sampdoria,Genova,2.35,3.3,2.86,1.80,1.75,1.63,1.95,1.36,1.26,1.53,2020-07-19,1145
88,88,Serie_A,2020-07-19,1830,Brescia Calcio,Spal,2.3,3.35,2.9,1.61,1.95,1.47,2.2,1.36,1.25,1.55,2020-07-19,1145
89,89,RFPL,2020-07-22,1700,Ural Sverdlovskaya Oblast,Lokomotiv Moscovo,5.4,4.0,1.35,1.53,1.9,1.72,1.67,2.66,1.12,1.06,2020-07-19,1145
90,90,RFPL,2020-07-22,1700,Dinamo Moscovo,FK Gazovik Orenburg,1.28,3.8,7.1,1.80,1.6,2.14,1.4,1.03,1.17,2.92,2020-07-19,1145
91,91,Champions,2020-08-13,2000,RB Leipzig,Atletico de Madrid,3.3,3.1,2.2,None,None,None,None,None,None,None,2020-07-19,1145
92,92,Liga_Europa,2020-08-06,2000,Basileia,Eintracht Frankfurt,2.58,3.35,2.54,None,None,None,None,None,None,None,2020-07-19,1145
