League,Date,Time,HT,AT,ODDH,ODDD,ODDA,ODD_25+,ODD_25-,ODD_BthScore_Yes,ODD_BthScore_No,ODD_1X,ODD_12,ODD_X2,SO,Scrape_Date,Scrape_Time
Ligue_1,2020-10-03,2000,Nice,Nantes,2.4,3.15,2.9,2.00,1.55,1.75,1.72,1.36,None,1.5,None,2020-10-02,1301
Primeira_Liga,2020-10-03,2100,CD Tondela,SC Braga,6.0,3.85,1.53,1.80,1.67,1.83,1.65,2.35,None,1.09,None,2020-10-02,1310
La_Liga,2020-10-04,1100,CA Osasuna,Celta de Vigo,2.6,2.98,2.78,2.10,1.53,1.8,1.75,1.38,None,1.44,None,2020-10-02,1309
Eredivisie,2020-10-04,1115,FC Groningen,Ajax,6.4,4.75,1.4,1.38,2.35,1.55,2.0,2.74,None,1.08,None,2020-10-02,1256
Serie_A,2020-10-04,1130,Atalanta,Cagliari,1.24,5.8,10.0,1.31,2.72,1.63,1.95,1.03,None,3.65,None,2020-10-02,1313
Premiership,2020-10-04,1200,FC St Johnstone,Celtic,10.0,5.15,1.27,1.57,1.95,1.95,1.57,3.45,None,1.03,None,2020-10-02,1307
RFPL,2020-10-04,1200,Lokomotiv Moscovo,FK Khimki,1.53,4.0,5.7,1.72,1.72,1.8,1.65,1.10,None,2.35,None,2020-10-02,1307
Premier_League,2020-10-04,1200,Southampton,West Brom,1.72,3.7,4.4,1.72,1.83,1.67,1.88,1.17,None,2.0,None,2020-10-02,1315
Ligue_1,2020-10-04,1200,Montpellier,Nimes,1.67,3.65,4.85,1.70,1.78,1.65,1.83,1.15,None,2.05,None,2020-10-02,1301
Premier_League,2020-10-04,1200,Leicester,West Ham,1.65,3.9,4.55,1.55,2.05,1.57,2.02,1.16,None,2.1,None,2020-10-02,1315
La_Liga,2020-10-04,1300,Alaves,Athletic Bilbao,3.3,2.86,2.35,2.56,1.35,2.1,1.53,1.53,None,1.28,None,2020-10-02,1309
Eredivisie,2020-10-04,1330,Sparta Rotterdam,AZ Alkmaar,4.5,3.95,1.65,1.50,2.05,1.53,2.04,2.10,None,1.17,None,2020-10-02,1256
Eredivisie,2020-10-04,1330,Willem II Tilburg,Feyenoord,3.8,3.9,1.78,1.47,2.13,1.47,2.15,1.91,None,1.22,None,2020-10-02,1256
Premier_League,2020-10-04,1400,Arsenal,Sheffield United,1.53,3.95,5.75,1.80,1.75,1.87,1.67,1.10,None,2.33,None,2020-10-02,1315
Serie_A,2020-10-04,1400,Parma,Hellas Verona,2.82,3.05,2.52,1.95,1.63,1.67,1.87,1.45,None,1.38,None,2020-10-02,1313
Ligue_1,2020-10-04,1400,FC Metz,FC Lorient,2.2,3.2,3.2,2.15,1.47,1.87,1.63,1.31,None,1.57,None,2020-10-02,1301
Ligue_1,2020-10-04,1400,Estrasburgo,Lille,3.15,3.2,2.2,2.05,1.50,1.8,1.67,1.57,None,1.31,None,2020-10-02,1301
Ligue_1,2020-10-04,1400,Stade Brestois 29,Monaco,2.92,3.55,2.19,1.57,1.95,1.47,2.1,1.61,None,1.35,None,2020-10-02,1301
Ligue_1,2020-10-04,1400,Bordeus,Dijon,1.67,3.65,4.75,1.87,1.63,1.83,1.65,1.15,None,2.05,None,2020-10-02,1301
Serie_A,2020-10-04,1400,Benevento Calcio,Bolonha,3.0,3.5,2.16,1.57,2.02,1.5,2.19,1.61,None,1.33,None,2020-10-02,1313
Serie_A,2020-10-04,1400,Lazio,Inter de Milao,2.92,3.65,2.15,1.45,2.25,1.4,2.4,1.63,None,1.36,None,2020-10-02,1313
Championship,2020-10-04,1400,Brentford FC,Preston,1.7,3.7,4.5,1.75,1.72,1.7,1.78,1.17,None,2.04,None,2020-10-02,1303
Premier_League,2020-10-04,1400,Wolverhampton,Fulham,1.5,4.0,6.15,1.95,1.63,2.05,1.55,1.09,None,2.4,None,2020-10-02,1315
RFPL,2020-10-04,1430,PFC Sochi,Rostov,2.58,3.05,2.74,2.11,1.45,1.8,1.65,1.40,None,1.44,None,2020-10-02,1307
Bundesliga,2020-10-04,1430,Wolfsburgo,Augsburgo,1.95,3.45,3.6,1.67,1.87,1.57,2.02,1.24,None,1.75,None,2020-10-02,1258
RFPL,2020-10-04,1430,Rubin Kazan,FC Akhmat Grozny,2.05,3.1,3.7,1.91,1.57,1.7,1.75,1.23,None,1.7,None,2020-10-02,1307
La_Liga,2020-10-04,1500,Levante,Real Madrid,5.75,4.3,1.47,1.45,2.25,1.55,2.05,2.45,None,1.1,None,2020-10-02,1309
Premiership,2020-10-04,1500,Rangers,Ross County,1.1,8.0,21.0,1.42,2.25,2.45,1.35,-,None,5.8,None,2020-10-02,1307
Championship,2020-10-04,1500,Stoke City,Birmingham,2.25,3.0,3.3,2.12,1.47,1.83,1.65,1.28,None,1.57,None,2020-10-02,1303
Primeira_Liga,2020-10-04,1530,CD Nacional Madeira,Belenenses SAD,2.3,2.98,3.25,2.20,1.44,1.88,1.61,1.30,None,1.55,None,2020-10-02,1310
Eredivisie,2020-10-04,1545,PSV Eindhoven,Fortuna Sittard,1.19,6.45,11.75,1.32,2.56,1.75,1.72,1.02,None,4.2,None,2020-10-02,1256
Ligue_1,2020-10-04,1600,Rennes,Stade Reims,1.63,3.6,5.35,2.00,1.55,1.95,1.57,1.11,None,2.14,None,2020-10-02,1301
Premier_League,2020-10-04,1630,Manchester United,Tottenham,1.88,3.5,3.8,1.65,1.91,1.57,2.02,1.22,None,1.83,None,2020-10-02,1315
Bundesliga,2020-10-04,1700,Bayern Munique,Hertha Berlin,1.15,7.6,12.5,1.2,3.35,1.65,1.91,1.02,None,4.7,None,2020-10-02,1258
Serie_A,2020-10-04,1700,AC Milao,Spezia,1.28,5.45,8.5,1.50,2.18,1.88,1.67,1.03,None,3.35,None,2020-10-02,1313
La_Liga,2020-10-04,1730,Cadiz CF,Granada CF,2.92,2.86,2.58,2.4,1.4,2.0,1.6,1.45,None,1.35,None,2020-10-02,1309
RFPL,2020-10-04,1800,Dinamo Moscovo,Krasnodar,2.8,3.1,2.5,1.91,1.57,1.67,1.78,1.47,None,1.38,None,2020-10-02,1307
Primeira_Liga,2020-10-04,1830,Famalicao,Rio Ave FC,2.54,3.3,2.62,1.90,1.60,1.7,1.78,1.42,None,1.45,None,2020-10-02,1310
Primeira_Liga,2020-10-04,1830,SL Benfica,SC Farense,1.1,8.5,20.0,1.36,2.4,2.25,1.42,-,None,5.85,None,2020-10-02,1310
Premier_League,2020-10-04,1915,Aston Villa,Liverpool,8.5,5.0,1.31,1.47,2.2,1.75,1.8,3.15,None,1.04,None,2020-10-02,1315
Serie_A,2020-10-04,1945,Juventus,Napoles,1.95,3.45,3.6,1.80,1.75,1.67,1.88,1.25,None,1.75,None,2020-10-02,1313
Ligue_1,2020-10-04,2000,Lyon,Marselha,1.7,3.7,4.5,1.75,1.72,1.72,1.75,1.17,None,2.04,None,2020-10-02,1301
La_Liga,2020-10-04,2000,Barcelona,Sevilha,1.57,4.0,5.05,1.45,2.25,1.5,2.19,1.13,None,2.2,None,2020-10-02,1309
Primeira_Liga,2020-10-04,2100,Portimonense,Sporting CP,3.85,3.45,1.88,1.72,1.75,1.63,1.87,1.80,None,1.22,None,2020-10-02,1310
Championship,2020-10-16,1945,Derby County,Watford,3.15,3.25,2.2,None,None,None,None,None,None,None,None,2020-10-02,1303
Serie_A,2020-10-17,1400,Napoles,Atalanta,2.35,3.65,2.62,1.45,2.25,1.4,2.4,1.42,None,1.53,None,2020-10-02,1313
Bundesliga,2020-10-17,1430,Hertha Berlin,Estugarda,2.05,3.45,3.3,1.50,2.16,1.42,2.35,1.28,None,1.67,None,2020-10-02,1258
Bundesliga,2020-10-17,1430,Augsburgo,RB Leipzig,4.8,4.25,1.57,1.4,2.4,1.45,2.25,2.25,None,1.15,None,2020-10-02,1258
Bundesliga,2020-10-17,1430,Hoffenheim,Borussia Dortmund,3.55,4.0,1.83,1.35,2.56,1.35,2.56,1.88,None,1.25,None,2020-10-02,1258
Bundesliga,2020-10-17,1430,Mainz 05,Bayer Leverkusen,4.5,3.95,1.65,1.38,2.45,1.4,2.4,2.10,None,1.16,None,2020-10-02,1258
Bundesliga,2020-10-17,1430,Friburgo,Werder Bremen,2.25,3.3,3.0,1.80,1.75,1.63,1.95,1.33,None,1.57,None,2020-10-02,1258
Championship,2020-10-17,1500,Birmingham,Sheffield Wednesday,2.45,3.3,2.72,None,None,None,None,None,None,None,None,2020-10-02,1303
Championship,2020-10-17,1500,Barnsley FC,Bristol City,2.4,3.25,2.82,None,None,None,None,None,None,None,None,2020-10-02,1303
Championship,2020-10-17,1500,Blackburn Rovers,Nottingham Forest,2.25,3.35,2.96,None,None,None,None,None,None,None,None,2020-10-02,1303
Championship,2020-10-17,1500,Swansea City,Huddersfield,2.11,3.25,3.35,None,None,None,None,None,None,None,None,2020-10-02,1303
Championship,2020-10-17,1500,Luton Town,Stoke City,2.96,3.25,2.3,None,None,None,None,None,None,None,None,2020-10-02,1303
Championship,2020-10-17,1500,Middlesbrough,Reading,2.05,3.3,3.45,None,None,None,None,None,None,None,None,2020-10-02,1303
Championship,2020-10-17,1500,Bournemouth,Queens Park Rangers,1.83,3.5,4.05,None,None,None,None,None,None,None,None,2020-10-02,1303
Championship,2020-10-17,1500,Rotherham,Norwich City,3.7,3.35,1.95,None,None,None,None,None,None,None,None,2020-10-02,1303
Championship,2020-10-17,1500,Brentford FC,Coventry City,1.6,3.8,5.25,None,None,None,None,None,None,None,None,2020-10-02,1303
Championship,2020-10-17,1500,Wycombe,Millwall FC,4.7,3.4,1.75,None,None,None,None,None,None,None,None,2020-10-02,1303
Premier_League,2020-10-17,1600,Chelsea,Southampton,1.5,3.95,6.0,1.44,2.3,1.5,2.16,1.10,None,2.37,None,2020-10-02,1315
Premier_League,2020-10-17,1600,Newcastle,Manchester United,5.95,3.85,1.53,1.65,1.91,1.7,1.85,2.35,None,1.09,None,2020-10-02,1315
Premier_League,2020-10-17,1600,Crystal Palace FC,Brighton,2.45,3.15,2.82,2.05,1.55,1.8,1.75,1.38,None,1.47,None,2020-10-02,1315
Premier_League,2020-10-17,1600,Sheffield United,Fulham,1.87,3.3,4.15,2.02,1.57,1.85,1.7,1.19,None,1.83,None,2020-10-02,1315
Premier_League,2020-10-17,1600,Leeds United,Wolverhampton,2.74,3.15,2.52,2.02,1.57,1.75,1.78,1.47,None,1.4,None,2020-10-02,1315
Premier_League,2020-10-17,1600,Leicester,Aston Villa,1.55,3.85,5.6,1.55,2.05,1.6,2.0,1.11,None,2.3,None,2020-10-02,1315
Premier_League,2020-10-17,1600,Everton,Liverpool,4.9,3.6,1.67,1.57,2.02,1.55,2.05,2.05,None,1.14,None,2020-10-02,1315
Premier_League,2020-10-17,1600,West Brom,Burnley,2.52,3.1,2.78,2.00,1.60,1.75,1.8,1.38,None,1.45,None,2020-10-02,1315
Premier_League,2020-10-17,1600,Manchester City,Arsenal,1.38,4.5,7.3,1.36,2.5,1.5,2.13,1.06,None,2.78,None,2020-10-02,1315
Serie_A,2020-10-17,1700,Sampdoria,Lazio,4.5,3.7,1.7,1.63,1.95,1.6,2.0,2.04,None,1.16,None,2020-10-02,1313
Serie_A,2020-10-17,1700,Inter de Milao,AC Milao,2.05,3.55,3.2,1.63,1.95,1.53,2.12,1.30,None,1.7,None,2020-10-02,1313
Bundesliga,2020-10-17,1730,Arminia Bielefeld,Bayern Munique,11.0,6.4,1.2,1.27,2.94,1.63,1.95,4.05,None,1.02,None,2020-10-02,1258
Eredivisie,2020-10-17,1745,Ajax,SC Heerenveen,1.09,9.0,18.5,None,None,None,None,None,None,None,None,2020-10-02,1256
Eredivisie,2020-10-17,1900,Heracles Almelo,RKC Waalwijk,1.42,4.4,6.55,None,None,None,None,None,None,None,None,2020-10-02,1256
Eredivisie,2020-10-17,1900,Willem II Tilburg,FC Twente Enschede,1.91,3.6,3.6,None,None,None,None,None,None,None,None,2020-10-02,1256
Bundesliga,2020-10-17,1930,Borussia Monchengladbach,Wolfsburgo,2.1,3.45,3.2,1.57,2.02,1.5,2.19,1.30,None,1.67,None,2020-10-02,1258
Serie_A,2020-10-17,1945,FC Crotone,Juventus,10.0,5.1,1.28,1.50,2.14,1.87,1.67,3.40,None,1.03,None,2020-10-02,1313
Eredivisie,2020-10-17,2000,AZ Alkmaar,VVV Venlo,1.22,6.3,10.0,None,None,None,None,None,None,None,None,2020-10-02,1256
Eredivisie,2020-10-18,1115,Feyenoord,Sparta Rotterdam,1.22,6.3,10.0,None,None,None,None,None,None,None,None,2020-10-02,1256
Serie_A,2020-10-18,1130,Bolonha,Sassuolo,2.65,3.4,2.45,1.53,2.10,1.44,2.3,1.47,None,1.42,None,2020-10-02,1313
Championship,2020-10-18,1200,Preston,Cardiff,2.3,3.25,2.96,None,None,None,None,None,None,None,None,2020-10-02,1303
Eredivisie,2020-10-18,1330,FC Emmen,Fortuna Sittard,2.05,3.5,3.25,None,None,None,None,None,None,None,None,2020-10-02,1256
Eredivisie,2020-10-18,1330,Den Haag,Vitesse,3.6,3.6,1.91,None,None,None,None,None,None,None,None,2020-10-02,1256
Serie_A,2020-10-18,1400,Torino,Cagliari,2.35,3.15,2.96,1.75,1.80,1.57,2.02,1.35,None,1.53,None,2020-10-02,1313
Bundesliga,2020-10-18,1430,Colonia,Eintracht Frankfurt,2.52,3.4,2.58,1.44,2.3,1.36,2.54,1.45,None,1.47,None,2020-10-02,1258
Eredivisie,2020-10-18,1545,PEC Zwolle,PSV Eindhoven,6.55,4.4,1.42,None,None,None,None,None,None,None,None,2020-10-02,1256
Eredivisie,2020-10-18,1545,FC Groningen,FC Utrecht,3.05,3.35,2.2,None,None,None,None,None,None,None,None,2020-10-02,1256
Bundesliga,2020-10-18,1700,FC Schalke 04,1. FC Union Berlin,2.37,3.1,2.98,1.88,1.67,1.67,1.88,1.33,None,1.5,None,2020-10-02,1258
Serie_A,2020-10-18,1700,Udinese,Parma,2.33,3.15,3.0,1.78,1.75,1.6,2.0,1.33,None,1.53,None,2020-10-02,1313
Ligue_1,2020-10-18,1900,Nantes,Stade Brestois 29,2.25,3.2,3.1,None,None,None,None,None,None,None,None,2020-10-02,1301
Ligue_1,2020-10-18,1900,Angers,FC Metz,2.1,3.15,3.5,None,None,None,None,None,None,None,None,2020-10-02,1301
Ligue_1,2020-10-18,1900,Saint-Etienne,Nice,2.11,3.25,3.35,None,None,None,None,None,None,None,None,2020-10-02,1301
Ligue_1,2020-10-18,1900,Marselha,Bordeus,1.72,3.6,4.55,None,None,None,None,None,None,None,None,2020-10-02,1301
Ligue_1,2020-10-18,1900,Lille,RC Lens,1.67,3.6,4.95,None,None,None,None,None,None,None,None,2020-10-02,1301
Ligue_1,2020-10-18,1900,Estrasburgo,Lyon,2.78,3.2,2.45,None,None,None,None,None,None,None,None,2020-10-02,1301
Ligue_1,2020-10-18,1900,Dijon,Rennes,3.35,3.25,2.11,None,None,None,None,None,None,None,None,2020-10-02,1301
Ligue_1,2020-10-18,1900,Monaco,Montpellier,1.91,3.35,3.85,None,None,None,None,None,None,None,None,2020-10-02,1301
Ligue_1,2020-10-18,1900,Nimes,PSG,11.5,6.65,1.19,None,None,None,None,None,None,None,None,2020-10-02,1301
Ligue_1,2020-10-18,1900,Stade Reims,FC Lorient,2.11,3.25,3.35,None,None,None,None,None,None,None,None,2020-10-02,1301
Serie_A,2020-10-18,1945,AS Roma,Benevento Calcio,1.27,5.25,10.0,1.47,2.20,1.85,1.7,1.03,None,3.45,None,2020-10-02,1313
Primeira_Liga,2020-10-20,2000,CS Maritimo,Portimonense,2.3,3.15,3.05,2.05,1.50,1.8,1.67,1.33,None,1.55,None,2020-10-02,1310
Primeira_Liga,2020-10-20,2000,Gil Vicente FC,CD Tondela,2.25,3.25,3.05,2.13,1.47,1.87,1.63,1.33,None,1.55,None,2020-10-02,1310
Primeira_Liga,2020-10-20,2000,FC Pacos Ferreira,CD Santa Clara,2.54,3.3,2.6,2.05,1.50,1.8,1.67,1.44,None,1.45,None,2020-10-02,1310
Primeira_Liga,2020-10-20,2000,Belenenses SAD,Moreirense FC,2.35,3.2,2.92,2.05,1.50,1.83,1.65,1.36,None,1.53,None,2020-10-02,1310
Primeira_Liga,2020-10-20,2000,SC Braga,CD Nacional Madeira,1.35,4.75,7.75,1.55,2.00,1.8,1.67,1.05,None,2.94,None,2020-10-02,1310
Primeira_Liga,2020-10-20,2000,Rio Ave FC,SL Benfica,5.85,4.55,1.45,1.38,2.33,1.5,2.05,2.54,None,1.1,None,2020-10-02,1310
Primeira_Liga,2020-10-20,2000,Sporting CP,FC Porto,3.05,3.3,2.25,1.83,1.65,1.65,1.83,1.57,None,1.33,None,2020-10-02,1310
Primeira_Liga,2020-10-20,2000,SC Farense,Famalicao,3.55,3.45,1.95,1.75,1.72,1.65,1.85,1.75,None,1.25,None,2020-10-02,1310
Primeira_Liga,2020-10-20,2000,Boavista FC,Vitoria Guimaraes,3.2,3.2,2.2,2.05,1.50,1.8,1.67,1.57,None,1.31,None,2020-10-02,1310
La_Liga,2020-10-25,2000,Barcelona,Real Madrid,2.25,3.65,2.76,1.45,2.25,1.4,2.4,1.38,None,1.57,None,2020-10-02,1309
