web-scraper-order,web-scraper-start-url,Games,Games-href,League,Date,Teams,Warning,Country
1601206973-71,https://www.oddsportal.com/soccer/germany/bundesliga/,Dortmund - Freiburg,https://www.oddsportal.com/soccer/germany/bundesliga/dortmund-freiburg-tzUHwFbt/,Bundesliga,"Saturday, 03 Oct  2020, 13:30",Dortmund - Freiburg,,Germany
1601206492-1,https://www.oddsportal.com/soccer/spain/laliga/,Granada CF - Osasuna,https://www.oddsportal.com/soccer/spain/laliga/granada-cf-osasuna-h6s8wLWl/,LaLiga,"Tuesday, 12 Jan  2021, 15:00",Granada CF - Osasuna,,Spain
1601207585-162,https://www.oddsportal.com/soccer/england/premier-league/,Manchester City - Leicester,https://www.oddsportal.com/soccer/england/premier-league/manchester-city-leicester-KMrfnPF1/,Premier League,"Today, 27 Sep  2020, 15:30",Manchester City - Leicester,,England
1601206612-19,https://www.oddsportal.com/soccer/russia/premier-league/,Rubin Kazan - Akhmat Grozny,https://www.oddsportal.com/soccer/russia/premier-league/rubin-kazan-akhmat-grozny-d6dEuEZp/,Premier League,"Sunday, 04 Oct  2020, 13:30",Rubin Kazan - Akhmat Grozny,,Russia
1601207462-143,https://www.oddsportal.com/soccer/england/premier-league/,Manchester City - Arsenal,https://www.oddsportal.com/soccer/england/premier-league/manchester-city-arsenal-rwyJBuqD/,Premier League,"Saturday, 17 Oct  2020, 14:00",Manchester City - Arsenal,,England
1601206705-32,https://www.oddsportal.com/soccer/scotland/premiership/,Rangers - Ross County,https://www.oddsportal.com/soccer/scotland/premiership/rangers-ross-county-Y3H22ZEC/,Premiership,"Sunday, 04 Oct  2020, 14:00",Rangers - Ross County,,Scotland
1601206934-65,https://www.oddsportal.com/soccer/germany/bundesliga/,Bayern Munich - Hertha Berlin,https://www.oddsportal.com/soccer/germany/bundesliga/bayern-munich-hertha-berlin-4A6lesUD/,Bundesliga,"Sunday, 04 Oct  2020, 16:00",Bayern Munich - Hertha Berlin,,Germany
1601206960-69,https://www.oddsportal.com/soccer/germany/bundesliga/,Stuttgart - Bayer Leverkusen,https://www.oddsportal.com/soccer/germany/bundesliga/vfb-stuttgart-bayer-leverkusen-byEoXUsO/,Bundesliga,"Saturday, 03 Oct  2020, 13:30",Stuttgart - Bayer Leverkusen,,Germany
1601207151-97,https://www.oddsportal.com/soccer/france/ligue-1/,Rennes - Reims,https://www.oddsportal.com/soccer/france/ligue-1/rennes-reims-AV3Qgt4f/,Ligue 1,"Sunday, 04 Oct  2020, 15:00",Rennes - Reims,,France
1601206788-44,https://www.oddsportal.com/soccer/netherlands/eredivisie/,Sparta Rotterdam - AZ Alkmaar,https://www.oddsportal.com/soccer/netherlands/eredivisie/sparta-rotterdam-az-alkmaar-fgvNUQn2/,Eredivisie,"Sunday, 04 Oct  2020, 12:30",Sparta Rotterdam - AZ Alkmaar,,Netherlands
1601207579-161,https://www.oddsportal.com/soccer/england/premier-league/,West Ham - Wolves,https://www.oddsportal.com/soccer/england/premier-league/west-ham-wolves-MoPl86xL/,Premier League,"Today, 27 Sep  2020, 18:00",West Ham - Wolves,,England
1601207493-148,https://www.oddsportal.com/soccer/england/premier-league/,Chelsea - Southampton,https://www.oddsportal.com/soccer/england/premier-league/chelsea-southampton-pOvbG3Us/,Premier League,"Saturday, 17 Oct  2020, 14:00",Chelsea - Southampton,,England
1601206882-57,https://www.oddsportal.com/soccer/germany/bundesliga/,FC Koln - Eintracht Frankfurt,https://www.oddsportal.com/soccer/germany/bundesliga/1-fc-koln-eintracht-frankfurt-tUQ7nAsB/,Bundesliga,"Sunday, 18 Oct  2020, 13:30",FC Koln - Eintracht Frankfurt,,Germany
1601207272-114,https://www.oddsportal.com/soccer/england/championship/,Preston - Cardiff,https://www.oddsportal.com/soccer/england/championship/preston-cardiff-CY6DAOHb/,Championship,"Sunday, 18 Oct  2020, 11:00",Preston - Cardiff,,England
1601206889-58,https://www.oddsportal.com/soccer/germany/bundesliga/,B. Monchengladbach - Wolfsburg,https://www.oddsportal.com/soccer/germany/bundesliga/b-monchengladbach-wolfsburg-CvIkWlcU/,Bundesliga,"Saturday, 17 Oct  2020, 18:30",B. Monchengladbach - Wolfsburg,,Germany
1601207367-129,https://www.oddsportal.com/soccer/england/championship/,Rotherham - Huddersfield,https://www.oddsportal.com/soccer/england/championship/rotherham-huddersfield-tUAREf3n/,Championship,"Saturday, 03 Oct  2020, 14:00",Rotherham - Huddersfield,,England
1601207393-133,https://www.oddsportal.com/soccer/england/championship/,Luton - Wycombe,https://www.oddsportal.com/soccer/england/championship/luton-wycombe-U9Pi2HJt/,Championship,"Saturday, 03 Oct  2020, 14:00",Luton - Wycombe,,England
1601207231-109,https://www.oddsportal.com/soccer/france/ligue-1/,Monaco - Strasbourg,https://www.oddsportal.com/soccer/france/ligue-1/monaco-strasbourg-fHrncfgk/,Ligue 1,"Today, 27 Sep  2020, 13:00",Monaco - Strasbourg,,France
1601206909-61,https://www.oddsportal.com/soccer/germany/bundesliga/,Hoffenheim - Dortmund,https://www.oddsportal.com/soccer/germany/bundesliga/hoffenheim-dortmund-l0geiYSu/,Bundesliga,"Saturday, 17 Oct  2020, 13:30",Hoffenheim - Dortmund,,Germany
1601206947-67,https://www.oddsportal.com/soccer/germany/bundesliga/,RB Leipzig - Schalke,https://www.oddsportal.com/soccer/germany/bundesliga/rb-leipzig-schalke-zcTLxZDn/,Bundesliga,"Saturday, 03 Oct  2020, 16:30",RB Leipzig - Schalke,,Germany
1601206743-38,https://www.oddsportal.com/soccer/scotland/premiership/,Ross County - Aberdeen,https://www.oddsportal.com/soccer/scotland/premiership/ross-county-aberdeen-pvqFBwhQ/,Premiership,"Today, 27 Sep  2020, 14:00",Ross County - Aberdeen,,Scotland
1601206854-54,https://www.oddsportal.com/soccer/netherlands/eredivisie/,Feyenoord - Den Haag,https://www.oddsportal.com/soccer/netherlands/eredivisie/feyenoord-den-haag-KM6yJTmj/,Eredivisie,"Today, 27 Sep  2020, 10:15",Feyenoord - Den Haag,The match has already started.,Netherlands
